date,open,high,low,close,adj_close,volume
2017-11-09,0.0252,0.0351,0.0250,0.0321,0.0321,18716200
2017-11-10,0.0322,0.0333,0.0265,0.0271,0.0271,6766780
2017-11-11,0.0269,0.0297,0.0257,0.0274,0.0274,5532220
2017-11-12,0.0275,0.0280,0.0226,0.0240,0.0240,7280250
2017-11-13,0.0244,0.0263,0.0235,0.0258,0.0258,4419440
2017-11-14,0.0258,0.0268,0.0253,0.0262,0.0262,3033290
2017-11-15,0.0261,0.0278,0.0253,0.0264,0.0264,6858800
2017-11-16,0.0266,0.0282,0.0257,0.0276,0.0276,4888130
2017-11-17,0.0271,0.0274,0.0252,0.0258,0.0258,3578870
2017-11-18,0.0256,0.0271,0.0247,0.0264,0.0264,2930550
2017-11-19,0.0262,0.0285,0.0256,0.0281,0.0281,4725050
2017-11-20,0.0282,0.0323,0.0276,0.0296,0.0296,16172400
2017-11-21,0.0296,0.0297,0.0274,0.0283,0.0283,5836790
2017-11-22,0.0284,0.0290,0.0279,0.0285,0.0285,4938480
2017-11-23,0.0285,0.0287,0.0274,0.0274,0.0274,5132300
2017-11-24,0.0274,0.0286,0.0270,0.0284,0.0284,5502350
2017-11-25,0.0283,0.0304,0.0277,0.0304,0.0304,6156460
2017-11-26,0.0304,0.0399,0.0301,0.0363,0.0363,30527100
2017-11-27,0.0366,0.0571,0.0366,0.0506,0.0506,77777296
2017-11-28,0.0506,0.1317,0.0479,0.1197,0.1197,240338000
2017-11-29,0.1182,0.1469,0.0814,0.0897,0.0897,210624992
2017-11-30,0.0949,0.1283,0.0949,0.1199,0.1199,124345000
2017-12-01,0.1166,0.1314,0.1130,0.1314,0.1314,73657600
2017-12-02,0.1316,0.1389,0.1291,0.1324,0.1324,56712600
2017-12-03,0.1324,0.1392,0.1249,0.1318,0.1318,46458900
2017-12-04,0.1315,0.1459,0.1264,0.1359,0.1359,76392704
2017-12-05,0.1356,0.1364,0.1268,0.1275,0.1275,50381100
2017-12-06,0.1267,0.1329,0.1139,0.1178,0.1178,75688800
2017-12-07,0.1178,0.1242,0.1055,0.1055,0.1055,71024600
2017-12-08,0.1061,0.1207,0.0991,0.1155,0.1155,70092400
2017-12-09,0.1147,0.1387,0.1136,0.1196,0.1196,63308600
2017-12-10,0.1198,0.1198,0.1001,0.1103,0.1103,46376600
2017-12-11,0.1089,0.1214,0.1086,0.1214,0.1214,39513900
2017-12-12,0.1212,0.1380,0.1142,0.1339,0.1339,60056800
2017-12-13,0.1337,0.1419,0.1224,0.1343,0.1343,61575000
2017-12-14,0.1337,0.2408,0.1318,0.2408,0.2408,309307008
