date,open,high,low,close,adj_close,volume
2017-11-09,308.6450,329.4520,307.0560,320.8840,320.8840,893249984
2017-11-10,320.6710,324.7180,294.5420,299.2530,299.2530,885985984
2017-11-11,298.5860,319.4530,298.1920,314.6810,314.6810,842300992
2017-11-12,314.6900,319.1530,298.5130,307.9080,307.9080,1613479936
2017-11-13,307.0250,328.4150,307.0250,316.7160,316.7160,1041889984
2017-11-14,316.7630,340.1770,316.7630,337.6310,337.6310,1069680000
2017-11-15,337.9640,340.9120,329.8130,333.3570,333.3570,722665984
2017-11-16,333.4430,336.1590,323.6060,330.9240,330.9240,797254016
2017-11-17,330.1670,334.9640,327.5230,332.3940,332.3940,621732992
2017-11-18,331.9800,349.6160,327.6870,347.6120,347.6120,649638976
2017-11-19,347.4010,371.2910,344.7400,354.3860,354.3860,1181529984
2017-11-20,354.0940,372.1370,353.2890,366.7300,366.7300,807027008
2017-11-21,367.4430,372.4700,350.6930,360.4010,360.4010,949912000
2017-11-22,360.3120,381.4200,360.1470,380.6520,380.6520,800819008
2017-11-23,381.4390,425.5480,376.0880,410.1660,410.1660,1845680000
2017-11-24,412.5010,480.9730,402.7580,474.9110,474.9110,2292829952
2017-11-25,475.6760,485.1920,461.0530,466.2760,466.2760,1422080000
2017-11-26,465.9740,472.7230,451.6060,471.3300,471.3300,1197779968
2017-11-27,471.5310,493.4050,468.4850,480.3550,480.3550,1396480000
2017-11-28,480.5180,482.4800,466.3470,472.9020,472.9020,1346499968
2017-11-29,473.2810,522.3070,425.0710,427.5230,427.5230,2675940096
2017-11-30,431.2150,465.4970,401.2430,447.1140,447.1140,1903040000
2017-12-01,445.2090,472.6090,428.3120,466.5400,466.5400,1247879936
2017-12-02,466.8510,476.2390,456.6530,463.4490,463.4490,943649984
2017-12-03,463.7050,482.8140,451.8520,465.8530,465.8530,990556992
2017-12-04,466.0540,474.7770,453.3120,470.2040,470.2040,1005550016
2017-12-05,470.2940,473.5580,457.6600,463.2810,463.2810,1216720000
2017-12-06,462.6040,462.7080,420.2100,428.5880,428.5880,1998259968
2017-12-07,426.3690,441.3970,414.4110,434.4080,434.4080,2129570048
2017-12-08,434.9890,466.0620,422.3670,456.0310,456.0310,2336379904
2017-12-09,457.3440,504.1470,456.2530,473.5020,473.5020,2003849984
