date,open,high,low,close,adj_close,volume
2020-04-10,0.8320,1.3135,0.6942,0.9511,0.9511,87364276
2020-04-11,0.9511,1.0491,0.7650,0.7768,0.7768,43862444
2020-04-12,0.7854,0.9567,0.7624,0.8825,0.8825,38736897
2020-04-13,0.8908,0.8916,0.7740,0.7778,0.7778,18211285
2020-04-14,0.7778,0.7965,0.6282,0.6619,0.6619,16747614
2020-04-15,0.6693,0.7050,0.6215,0.6467,0.6467,13075275
2020-04-16,0.6309,0.7742,0.6251,0.6908,0.6908,21346031
2020-04-17,0.6893,0.7196,0.6607,0.6607,0.6607,9870810
2020-04-18,0.6607,0.7176,0.6594,0.6811,0.6811,9782112
2020-04-19,0.6815,0.6846,0.5985,0.6070,0.6070,9289670
2020-04-20,0.6129,0.6393,0.5206,0.5388,0.5388,8342616
2020-04-21,0.5414,0.6046,0.5085,0.5877,0.5877,9711507
2020-04-22,0.5812,0.7070,0.5696,0.6916,0.6916,18828400
2020-04-23,0.6853,0.6981,0.6003,0.6275,0.6275,13485271
2020-04-24,0.6240,0.6710,0.6139,0.6342,0.6342,9064190
2020-04-25,0.6305,0.6709,0.6215,0.6433,0.6433,7311905
2020-04-26,0.6532,0.6915,0.6312,0.6355,0.6355,8320760
2020-04-27,0.6357,0.6603,0.5610,0.5724,0.5724,7406934
2020-04-28,0.5783,0.6921,0.5685,0.6613,0.6613,7470201
2020-04-29,0.6623,0.7778,0.6553,0.7458,0.7458,8801144
2020-04-30,0.7472,0.8008,0.6879,0.6910,0.6910,5016892
2020-05-01,0.6910,0.7371,0.6859,0.7288,0.7288,4164272
2020-05-02,0.7273,0.7490,0.7079,0.7159,0.7159,3441356
2020-05-03,0.7148,0.7298,0.6566,0.6795,0.6795,3328344
2020-05-04,0.6796,0.7058,0.6184,0.6675,0.6675,3443698
2020-05-05,0.6734,0.6862,0.6265,0.6418,0.6418,2847469
2020-05-06,0.6425,0.6739,0.6226,0.6226,0.6226,2677563
2020-05-07,0.6226,0.6323,0.5734,0.6130,0.6130,3355830
2020-05-08,0.6130,0.6366,0.5899,0.6049,0.6049,2488195
2020-05-09,0.6040,0.6254,0.5884,0.6045,0.6045,2128503
2020-05-10,0.6045,0.6123,0.5131,0.5370,0.5370,2327581
2020-05-11,0.5363,0.5719,0.5052,0.5153,0.5153,2098481
2020-05-12,0.5134,0.5598,0.5053,0.5386,0.5386,2198625
2020-05-13,0.5384,0.5649,0.5180,0.5505,0.5505,2326446
2020-05-14,0.5505,0.5809,0.5501,0.5691,0.5691,2047897
2020-05-15,0.5692,0.5746,0.5471,0.5598,0.5598,1850070
2020-05-16,0.5590,0.6065,0.5544,0.5991,0.5991,2300409
2020-05-17,0.5952,0.6402,0.5892,0.6130,0.6130,2936428
2020-05-18,0.6127,0.6744,0.6096,0.6527,0.6527,3314359
2020-05-19,0.6510,0.6545,0.6112,0.6245,0.6245,2380263
2020-05-20,0.6225,0.6267,0.5753,0.5792,0.5792,2302926
2020-05-21,0.5797,0.6138,0.5433,0.6089,0.6089,2863017
2020-05-22,0.6052,0.6764,0.5828,0.6389,0.6389,3411419
2020-05-23,0.6374,0.6388,0.5882,0.6130,0.6130,2638524
2020-05-24,0.6133,0.6133,0.5484,0.5491,0.5491,2786816
2020-05-25,0.5486,0.6501,0.5381,0.6009,0.6009,4509580
2020-05-26,0.5991,0.6124,0.5665,0.5733,0.5733,2689697
2020-05-27,0.5733,0.6111,0.5714,0.5910,0.5910,2536916
2020-05-28,0.5909,0.5924,0.5669,0.5752,0.5752,2662788
2020-05-29,0.5747,0.5934,0.5669,0.5794,0.5794,2066857
2020-05-30,0.5814,0.6025,0.5670,0.5879,0.5879,2449095
2020-05-31,0.5879,0.5940,0.5692,0.5700,0.5700,1892967
2020-06-01,0.5735,0.5878,0.5673,0.5775,0.5775,2159877
2020-06-02,0.5771,0.5897,0.5523,0.5647,0.5647,1295757
2020-06-03,0.5647,0.5910,0.5645,0.5866,0.5866,877446
2020-06-04,0.5869,0.5916,0.5645,0.5873,0.5873,901641
2020-06-05,0.5873,0.6983,0.5779,0.6612,0.6612,4322092
2020-06-06,0.6611,0.6616,0.6118,0.6224,0.6224,1604055
2020-06-07,0.6224,0.6244,0.5934,0.6166,0.6166,716785
2020-06-08,0.6151,0.6790,0.6133,0.6683,0.6683,1440234
2020-06-09,0.6678,0.6681,0.6272,0.6580,0.6580,988327
2020-06-10,0.6580,0.6700,0.6334,0.6449,0.6449,1096203
2020-06-11,0.6449,0.6505,0.5701,0.5737,0.5737,1122221
2020-06-12,0.5741,0.6047,0.5699,0.5939,0.5939,940323
2020-06-13,0.5939,0.6114,0.5855,0.6089,0.6089,764757
2020-06-14,0.6109,0.6183,0.5809,0.5871,0.5871,873416
2020-06-15,0.5884,0.5919,0.5473,0.5706,0.5706,942666
2020-06-16,0.5706,0.5898,0.5687,0.5856,0.5856,652020
2020-06-17,0.5855,0.5901,0.5651,0.5816,0.5816,673274
2020-06-18,0.5816,0.6503,0.5793,0.6210,0.6210,1349341
2020-06-19,0.6224,0.8364,0.6204,0.6843,0.6843,6577471
2020-06-20,0.6825,0.6886,0.6256,0.6436,0.6436,1714405
2020-06-21,0.6461,0.7485,0.6369,0.6731,0.6731,2238347
2020-06-22,0.6726,0.7431,0.6459,0.7268,0.7268,1620388
2020-06-23,0.7268,0.7606,0.7007,0.7083,0.7083,1327340
2020-06-24,0.7085,0.8007,0.6935,0.7370,0.7370,2769054
2020-06-25,0.7371,0.7567,0.6992,0.7132,0.7132,1751581
2020-06-26,0.7125,0.7520,0.6815,0.7411,0.7411,1664662
2020-06-27,0.7396,0.7522,0.6758,0.7135,0.7135,1681428
2020-06-28,0.7135,0.8440,0.6871,0.7985,0.7985,3412582
2020-06-29,0.7985,0.8853,0.7700,0.8525,0.8525,2147791
2020-06-30,0.8530,1.0292,0.8501,0.8601,0.8601,3887548
2020-07-01,0.8634,0.9017,0.8209,0.8326,0.8326,1772560
2020-07-02,0.8321,0.8371,0.7537,0.7802,0.7802,1749581
2020-07-03,0.7820,0.7860,0.7551,0.7681,0.7681,1144958
2020-07-04,0.7679,0.8232,0.7615,0.7804,0.7804,1644301
2020-07-05,0.7801,0.7855,0.6426,0.6917,0.6917,3799016
2020-07-06,0.6917,0.7210,0.6866,0.7079,0.7079,1120773
2020-07-07,0.7079,0.7809,0.7019,0.7530,0.7530,1700041
2020-07-08,0.7530,0.8275,0.7434,0.7967,0.7967,2220223
2020-07-09,0.7940,0.8824,0.7599,0.8535,0.8535,2668724
2020-07-10,0.8533,0.9396,0.8429,0.9136,0.9136,1856095
2020-07-11,0.9136,0.9263,0.8591,0.9246,0.9246,1788814
2020-07-12,0.9239,1.1310,0.9141,1.0167,1.0167,4693371
2020-07-13,1.0167,1.2877,1.0089,1.1757,1.1757,4062069
2020-07-14,1.1725,1.2460,1.1192,1.1481,1.1481,2213135
2020-07-15,1.1475,1.3968,1.1415,1.2896,1.2896,3355229
2020-07-16,1.2840,1.3750,0.8550,0.8724,0.8724,7486568
2020-07-17,0.8708,1.0468,0.8019,0.9778,0.9778,8973774
2020-07-18,0.9775,1.0007,0.9317,0.9666,0.9666,2923007
2020-07-19,0.9680,0.9704,0.8995,0.9203,0.9203,2206671
2020-07-20,0.9205,0.9216,0.8519,0.8731,0.8731,3036871
2020-07-21,0.8729,1.0083,0.8603,0.9772,0.9772,4299502
2020-07-22,0.9772,1.1047,0.9725,1.0441,1.0441,5295002
2020-07-23,1.0462,1.1012,0.9974,1.0498,1.0498,2970423
2020-07-24,1.0498,1.0540,0.9748,0.9953,0.9953,1991763
2020-07-25,0.9954,1.4327,0.9954,1.2522,1.2522,9978279
2020-07-26,1.2447,1.6246,1.2383,1.5651,1.5651,10463130
2020-07-27,1.5651,2.0427,1.5611,1.7786,1.7786,32838355
2020-07-28,1.7841,1.8587,1.6118,1.7841,1.7841,9692632
2020-07-29,1.7857,2.0956,1.5932,1.6583,1.6583,10348945
