date,open,high,low,close,adj_close,volume
2017-11-09,0.2179,0.2218,0.2149,0.2175,0.2175,147916992
2017-11-10,0.2183,0.2191,0.2053,0.2065,0.2065,141032992
2017-11-11,0.2059,0.2145,0.2055,0.2104,0.2104,134503008
2017-11-12,0.2102,0.2102,0.1954,0.1973,0.1973,251175008
2017-11-13,0.1975,0.2041,0.1975,0.2034,0.2034,132567000
2017-11-14,0.2037,0.2137,0.2037,0.2098,0.2098,127361000
2017-11-15,0.2089,0.2131,0.2081,0.2130,0.2130,100294000
2017-11-16,0.2127,0.2718,0.2093,0.2271,0.2271,1022579968
2017-11-17,0.2248,0.2394,0.2203,0.2266,0.2266,397071008
2017-11-18,0.2265,0.2304,0.2224,0.2286,0.2286,144298000
2017-11-19,0.2281,0.2362,0.2260,0.2310,0.2310,193808000
2017-11-20,0.2313,0.2434,0.2309,0.2388,0.2388,214663008
2017-11-21,0.2380,0.2410,0.2272,0.2333,0.2333,217851008
2017-11-22,0.2326,0.2408,0.2323,0.2389,0.2389,167078000
2017-11-23,0.2390,0.2501,0.2373,0.2424,0.2424,240684992
2017-11-24,0.2429,0.2454,0.2384,0.2446,0.2446,211486000
2017-11-25,0.2442,0.2557,0.2436,0.2524,0.2524,212592992
2017-11-26,0.2529,0.2529,0.2486,0.2488,0.2488,133297000
2017-11-27,0.2483,0.2547,0.2479,0.2539,0.2539,196735008
2017-11-28,0.2540,0.3011,0.2534,0.2992,0.2992,720742976
2017-11-29,0.2979,0.2979,0.2394,0.2431,0.2431,541177984
2017-11-30,0.2464,0.2615,0.2296,0.2509,0.2509,270907008
2017-12-01,0.2504,0.2588,0.2394,0.2557,0.2557,182992000
2017-12-02,0.2557,0.2592,0.2508,0.2555,0.2555,118250000
2017-12-03,0.2555,0.2631,0.2474,0.2526,0.2526,134710000
2017-12-04,0.2529,0.2554,0.2472,0.2536,0.2536,104650000
2017-12-05,0.2536,0.2540,0.2452,0.2461,0.2461,174591008
2017-12-06,0.2454,0.2457,0.2277,0.2325,0.2325,274526016
2017-12-07,0.2326,0.2338,0.2213,0.2228,0.2228,275204992
2017-12-08,0.2236,0.2787,0.2222,0.2521,0.2521,660172032
2017-12-09,0.2522,0.2557,0.2401,0.2447,0.2447,205288992
2017-12-10,0.2455,0.2455,0.2293,0.2373,0.2373,198174000
2017-12-11,0.2366,0.2528,0.2358,0.2517,0.2517,176100992
