date,open,high,low,close,adj_close,volume
2003-04-14,11.1444,11.2222,11.1444,11.2222,7.1993,93600
2003-04-15,11.2911,11.3889,11.2911,11.3556,7.2848,421200
2003-04-16,11.4778,11.5333,11.4778,11.4867,7.3689,9000
2003-04-17,11.5500,11.5722,11.5300,11.5689,7.4217,17100
2003-04-21,11.5822,11.5833,11.5556,11.5644,7.4188,72900
2003-04-22,11.5633,11.6033,11.5278,11.6033,7.4438,19800
2003-04-23,11.6111,11.6578,11.5722,11.6578,7.4787,31500
2003-04-24,11.5667,11.5667,11.4000,11.4278,7.3312,90000
2003-04-25,11.2678,11.2678,11.2222,11.2389,7.2100,102600
2003-04-28,11.2678,11.4244,11.2667,11.4244,7.3290,91800
2003-04-29,11.6011,11.7556,11.6011,11.7500,7.5379,76500
2003-04-30,11.7222,11.7322,11.6867,11.7167,7.5165,228600
2003-05-01,11.6833,11.7300,11.6667,11.6711,7.4873,234900
2003-05-02,11.7089,11.8500,11.7089,11.8500,7.6020,67500
2003-05-05,11.8944,11.9800,11.8944,11.9778,7.6840,47700
2003-05-06,11.9778,12.0533,11.9667,12.0389,7.7232,109800
2003-05-07,11.9889,12.0189,11.9789,12.0167,7.7089,313200
2003-05-08,11.9444,11.9511,11.9000,11.9111,7.6412,417600
2003-05-09,11.9278,12.0600,11.9278,12.0511,7.7310,63000
2003-05-12,12.1056,12.2189,12.1000,12.2189,7.8387,752400
2003-05-13,12.1756,12.1756,12.1167,12.1500,7.7945,276300
2003-05-14,12.1500,12.1500,12.0656,12.0889,7.7553,206100
2003-05-15,12.1133,12.1133,12.0833,12.1133,7.7709,337500
2003-05-16,12.1444,12.1667,12.0889,12.1222,7.7766,256500
2003-05-19,12.0444,12.0444,11.7889,11.8333,7.5913,128700
2003-05-20,11.8611,11.9067,11.8278,11.8922,7.6291,53100
2003-05-21,11.8711,11.9056,11.8089,11.9022,7.6355,45900
2003-05-22,11.9056,12.0100,11.9056,12.0100,7.7047,84600
2003-05-23,12.0944,12.1622,12.0944,12.1333,7.7838,74700
2003-05-27,12.1622,12.5756,12.1622,12.5678,8.0625,864000
2003-05-28,12.5678,12.6400,12.5678,12.6222,8.0974,396000
2003-05-29,12.6111,12.6644,12.5889,12.6389,8.1081,306900
2003-05-30,12.6667,12.7856,12.6411,12.7856,8.2022,368100
2003-06-02,12.8222,13.0222,12.8222,12.8778,8.2614,587700
2003-06-03,12.8889,12.8889,12.6744,12.7800,8.1986,244800
2003-06-04,12.7778,12.9456,12.7778,12.9444,8.3041,241200
2003-06-05,12.9911,12.9911,12.8733,12.9578,8.3127,509400
2003-06-06,13.0278,13.2111,13.0267,13.0789,8.3904,608400
2003-06-09,13.0956,13.0956,12.9256,12.9667,8.3184,208800
2003-06-10,12.9711,13.1000,12.9711,13.1000,8.4039,233100
2003-06-11,13.0944,13.1211,13.0000,13.1111,8.4110,294300
2003-06-12,13.1333,13.2100,13.1233,13.2100,8.4745,402300
2003-06-13,13.1789,13.2167,13.1689,13.2056,8.4716,694800
2003-06-16,13.2444,13.3489,13.2278,13.3478,8.5629,163800
2003-06-17,13.4844,13.6333,13.4844,13.6222,8.7389,352800
2003-06-18,13.5856,13.6489,13.5422,13.5722,8.7069,171900
2003-06-19,13.6833,13.7056,13.5556,13.5722,8.7069,225900
2003-06-20,13.6111,13.6333,13.5333,13.5722,8.7069,300600
2003-06-23,13.5278,13.5278,13.2356,13.2389,8.4930,332100
2003-06-24,13.1833,13.1833,13.0667,13.1411,8.4303,188100
2003-06-25,13.1744,13.3311,13.1744,13.2500,8.5001,1045800
2003-06-26,13.3133,13.4000,13.2900,13.3933,8.5921,210600
2003-06-27,13.4111,13.4167,13.2978,13.3311,8.5522,373500
2003-06-30,13.3689,13.3689,13.3000,13.3222,8.5465,279900
2003-07-01,13.3722,13.4778,13.3333,13.4667,8.6391,679500
2003-07-02,13.6167,13.7933,13.6167,13.7833,8.8423,1129500
2003-07-03,13.8222,13.8289,13.7944,13.8222,8.8672,110700
2003-07-07,13.9667,14.1644,13.9667,14.1644,9.0868,569700
2003-07-08,14.1911,14.2300,14.1389,14.2044,9.1124,347400
2003-07-09,14.1944,14.1944,14.1111,14.1711,9.0911,472500
2003-07-10,14.0933,14.0933,13.8778,13.9222,8.9314,1603800
2003-07-11,13.9222,14.0389,13.9222,14.0389,9.0062,212400
2003-07-14,14.1944,14.3444,14.1944,14.2856,9.1645,683100
2003-07-15,14.3556,14.3556,14.1056,14.1056,9.0490,2222100
2003-07-16,14.0778,14.1556,14.0367,14.1167,9.0561,828000
2003-07-17,14.0278,14.0278,13.7478,13.7478,8.8195,367200
2003-07-18,13.7722,13.9311,13.7722,13.9311,8.9371,205200
2003-07-21,13.8767,13.8767,13.7289,13.7467,8.8188,2148300
2003-07-22,13.7822,13.9289,13.7667,13.9111,8.9243,1022400
2003-07-23,13.8667,13.8667,13.7400,13.8222,8.8672,904500
2003-07-24,13.9167,14.0100,13.8889,13.8889,8.9100,749700
2003-07-25,13.9911,14.1167,13.9722,14.1167,9.0561,212400
2003-07-28,14.2000,14.2389,14.1556,14.1944,9.1060,1040400
2003-07-29,14.2167,14.2233,14.1000,14.1144,9.0547,805500
2003-07-30,14.0811,14.0833,13.9833,14.0111,8.9884,56700
2003-07-31,14.0333,14.1211,14.0333,14.0778,9.0312,339300
2003-08-01,14.1056,14.1333,14.0900,14.1089,9.0511,441000
2003-08-04,14.1278,14.1356,14.0000,14.0467,9.0112,394200
2003-08-05,14.0467,14.0467,13.8956,13.8956,8.9143,290700
2003-08-06,13.8922,13.9078,13.7978,13.8333,8.8744,371700
2003-08-07,13.9333,13.9767,13.9000,13.9344,8.9392,288900
2003-08-08,14.0500,14.0556,13.9933,14.0278,8.9991,153000
2003-08-11,14.1111,14.1389,14.0556,14.0889,9.0383,665100
2003-08-12,14.1144,14.1567,14.0944,14.1444,9.0739,727200
2003-08-13,14.3189,14.3889,14.2533,14.3444,9.2023,721800
2003-08-14,14.3533,14.5433,14.3533,14.5333,9.3234,404100
2003-08-15,14.3889,14.3889,14.3889,14.3889,9.2308,48600
2003-08-18,14.5222,14.6978,14.5078,14.6956,9.4275,1189800
2003-08-19,14.7778,14.7778,14.6778,14.7678,9.4738,453600
2003-08-20,14.7333,14.7700,14.6800,14.7700,9.4753,1125000
2003-08-21,14.8900,15.0467,14.8722,15.0411,9.6492,1083600
2003-08-22,15.2222,15.2222,15.0722,15.1178,9.6984,1008000
2003-08-25,15.0967,15.0967,14.9844,15.0000,9.6228,391500
2003-08-26,14.9389,14.9389,14.7278,14.8167,9.5052,1186200
2003-08-27,14.8400,14.9889,14.7867,14.9889,9.6157,632700
2003-08-28,15.0411,15.0933,14.9522,15.0933,9.6827,441900
2003-08-29,15.1889,15.2333,15.1889,15.2022,9.7525,417600
2003-09-02,15.3333,15.4300,15.3111,15.4278,9.8972,1471500
2003-09-03,15.6389,15.6389,15.5389,15.5500,9.9756,887400
2003-09-04,15.5622,15.6278,15.5456,15.6056,10.0113,458100
2003-09-05,15.6333,15.6333,15.5611,15.5911,10.0020,532800
2003-09-08,15.7456,15.9056,15.7456,15.8867,10.1916,659700
2003-09-09,15.9200,15.9200,15.5867,15.6111,10.0148,387900
2003-09-10,15.5867,15.5867,15.2711,15.3511,9.8480,569700
2003-09-11,15.3567,15.4856,15.3333,15.3333,9.8366,1097100
2003-09-12,15.3833,15.4422,15.2778,15.4422,9.9065,948600
2003-09-15,15.4644,15.4644,15.1667,15.2144,9.7604,809100
2003-09-16,15.3667,15.5278,15.3322,15.5278,9.9614,1987200
2003-09-17,15.5544,15.5689,15.4511,15.4611,9.9186,982800
2003-09-18,15.4989,15.6667,15.4444,15.6389,10.0327,762300
2003-09-19,15.6611,15.6611,15.5322,15.5667,9.9863,466200
2003-09-22,15.4967,15.4967,15.2456,15.3122,9.8231,4203900
2003-09-23,15.3289,15.3611,15.3089,15.3500,9.8473,453600
2003-09-24,15.5467,15.5767,15.3667,15.3778,9.8652,789300
2003-09-25,15.3778,15.3778,15.1500,15.1500,9.7190,530100
2003-09-26,15.1500,15.1500,15.0444,15.0444,9.6513,2994300
2003-09-29,15.0689,15.1644,15.0556,15.1511,9.7197,1071000
2003-09-30,15.2456,15.2456,15.0556,15.1033,9.6891,2218500
2003-10-01,15.3122,15.5044,15.3011,15.5000,9.9436,1123200
2003-10-02,15.6456,15.7500,15.6111,15.7222,10.0861,1017900
2003-10-03,15.9444,15.9478,15.8511,15.8778,10.1859,2016900
2003-10-06,15.9578,15.9733,15.8922,15.9389,10.2251,356400
2003-10-07,15.9889,15.9889,15.8889,15.9222,10.2144,529200
2003-10-08,16.0622,16.0722,16.0211,16.0411,10.2907,351000
2003-10-09,16.2978,16.3889,16.2778,16.3111,10.4639,987300
2003-10-10,16.3978,16.5156,16.3978,16.5111,10.5922,1278000
2003-10-13,16.6111,16.7767,16.6111,16.7611,10.7526,1638000
2003-10-14,16.7133,16.7133,16.4333,16.4411,10.5473,1341000
2003-10-15,16.6389,16.7000,16.6000,16.6400,10.6749,2833200
2003-10-16,16.6400,16.6778,16.6111,16.6356,10.6720,284400
2003-10-17,16.6422,16.6422,16.5000,16.5344,10.6072,273600
2003-10-20,16.6578,16.6767,16.6056,16.6267,10.6663,448200
2003-10-21,16.6656,16.7100,16.6444,16.7100,10.7198,977400
2003-10-22,16.6778,16.6778,16.3967,16.4644,10.5623,1390500
2003-10-23,16.2222,16.2222,16.1133,16.2222,10.4069,849600
2003-10-24,16.1111,16.1367,16.0567,16.1367,10.3520,1303200
2003-10-27,16.2444,16.3333,16.2444,16.3222,10.4710,1175400
2003-10-28,16.5333,16.5656,16.4889,16.5456,10.6143,625500
2003-10-29,16.6000,16.6889,16.5667,16.6833,10.7027,775800
2003-10-30,16.7578,16.7722,16.6222,16.6233,10.6642,603900
2003-10-31,16.6367,16.6467,16.4689,16.4900,10.5787,305100
2003-11-03,16.7778,16.8889,16.7556,16.8833,10.8310,1420200
2003-11-04,16.9967,17.0000,16.9044,16.9300,10.8609,923400
2003-11-05,16.9700,16.9967,16.8956,16.9522,10.8752,1408500
2003-11-06,16.8833,16.8833,16.7456,16.8311,10.7975,745200
2003-11-07,16.8467,16.9100,16.8278,16.8489,10.8089,659700
2003-11-10,16.8122,16.8122,16.6056,16.6167,10.6599,644400
2003-11-11,16.4944,16.4944,16.3444,16.4033,10.5231,731700
2003-11-12,16.5089,16.7156,16.4856,16.6956,10.7105,657900
2003-11-13,16.8144,16.8256,16.6811,16.8244,10.7932,972900
2003-11-14,16.7867,16.8422,16.6811,16.7389,10.7383,451800
2003-11-17,16.6111,16.6111,16.3133,16.4122,10.5288,1896300
2003-11-18,16.5167,16.5611,16.4444,16.4444,10.5494,1236600
2003-11-19,16.3889,16.3889,16.2844,16.3378,10.4810,1089900
2003-11-20,16.1944,16.2167,16.1111,16.1267,10.3456,505800
2003-11-21,16.1822,16.2667,16.1822,16.2667,10.4354,363600
2003-11-24,16.2667,16.4500,16.2389,16.4433,10.5487,1182600
2003-11-25,16.4933,16.5444,16.4444,16.5000,10.5851,2041200
2003-11-26,16.6456,16.6511,16.5611,16.6511,10.6820,1207800
2003-11-28,16.6656,16.8478,16.6444,16.8000,10.7775,619200
2003-12-01,17.0444,17.2811,17.0444,17.2811,11.0862,1340100
2003-12-02,17.2811,17.2811,17.1833,17.2044,11.0370,2511900
2003-12-03,17.2911,17.3056,17.1444,17.1444,10.9985,824400
2003-12-04,17.1444,17.1444,16.9722,17.0267,10.9230,709200
2003-12-05,17.0033,17.0411,16.9089,16.9944,10.9023,1263600
2003-12-08,16.9722,17.0444,16.9622,17.0278,10.9237,753300
2003-12-09,17.1222,17.1500,16.9567,16.9567,10.8780,1598400
2003-12-10,17.0444,17.0556,16.8556,16.8889,10.8346,561600
2003-12-11,17.0389,17.2067,17.0222,17.1967,11.0320,819000
2003-12-12,17.2756,17.2778,17.2233,17.2756,11.0826,1101600
2003-12-15,17.4200,17.4467,17.2444,17.2889,11.0912,1232100
2003-12-16,17.3056,17.3056,17.1356,17.2167,11.0448,669600
2003-12-17,17.1067,17.1067,16.9756,17.0167,10.9165,1114200
2003-12-18,17.0867,17.2911,17.0867,17.2911,11.0926,657900
2003-12-19,17.2500,17.3567,17.2500,17.3333,11.1197,559800
2003-12-22,17.3222,17.5000,17.2833,17.5000,11.2767,1562400
2003-12-23,17.5000,17.5478,17.4633,17.5478,11.3075,1328400
2003-12-24,17.6022,17.6333,17.5667,17.6044,11.3440,279000
2003-12-26,17.6667,17.6667,17.6344,17.6489,11.3726,216900
2003-12-29,17.7778,17.9156,17.7556,17.9156,11.5445,1450800
2003-12-30,18.0211,18.0944,17.9956,18.0011,11.5996,1374300
2003-12-31,18.0889,18.2333,18.0889,18.2144,11.7458,979200
2004-01-02,18.3444,18.7100,18.3444,18.6200,12.0074,1845000
2004-01-05,19.1333,19.2733,19.0000,19.2733,12.4287,2981700
