date,open,high,low,close,adj_close,volume
2010-09-09,102.5000,102.5000,101.1400,101.3200,76.3131,26500
2010-09-10,101.6800,101.8600,101.3000,101.7800,76.6596,8600
2010-09-13,102.9600,103.1400,102.5000,103.0600,77.6237,33750
2010-09-14,102.8400,103.4800,102.3800,103.0400,77.6086,59400
2010-09-15,102.6200,103.3800,102.4000,103.3000,77.8045,9250
2010-09-16,103.0200,103.3200,102.7000,103.2600,77.7743,59550
2010-09-17,103.8800,103.8800,103.0200,103.3600,77.8497,49350
2010-09-20,103.7400,105.0400,103.4600,105.0400,79.1150,19000
2010-09-21,105.0200,105.4400,104.2800,104.7200,78.8740,19250
2010-09-22,104.5600,105.0400,103.9600,104.1600,78.4522,18100
2010-09-23,103.3200,104.3400,103.1200,103.3000,77.8045,33350
2010-09-24,103.9400,104.9000,103.8600,104.8400,79.3932,24100
2010-09-27,104.9800,104.9800,104.3400,104.3400,79.0146,15000
2010-09-28,104.3200,105.0200,103.4200,105.0200,79.5295,49850
2010-09-29,104.5800,104.9200,104.2200,104.5200,79.1509,15900
2010-09-30,105.2000,105.6800,103.9600,104.3600,79.0297,44750
2010-10-01,105.0800,105.1600,104.1600,104.7200,79.3024,17100
2010-10-04,105.2600,105.2600,103.5000,103.8400,78.6359,88700
2010-10-05,105.0200,106.2000,104.8200,106.1200,80.3625,19850
2010-10-06,106.1200,106.2800,105.6200,105.9400,80.2262,276900
2010-10-07,106.5000,106.5000,105.3200,105.8800,80.1808,49900
2010-10-08,106.0200,106.7400,105.6600,106.6800,80.7866,61550
2010-10-11,106.7200,106.8400,106.2800,106.5000,80.6503,14200
2010-10-12,106.3800,107.2400,105.7400,107.1200,81.1198,42050
2010-10-13,107.5800,108.2800,107.2400,107.7600,81.6045,74450
2010-10-14,107.7000,107.8200,106.8000,107.3600,81.3016,19100
2010-10-15,108.0400,108.0800,106.7200,107.5600,81.4530,54950
2010-10-18,107.6200,108.4400,107.4400,108.3400,82.0437,22850
2010-10-19,107.1400,107.6800,106.0200,106.6200,80.7412,38550
2010-10-20,106.9400,108.1600,106.9400,107.7600,81.6045,22800
2010-10-21,108.2600,108.7600,107.3000,107.9200,81.7256,29400
2010-10-22,108.1600,108.2000,107.9400,108.1800,81.9225,24850
2010-10-25,109.0200,109.2800,108.4600,108.5000,82.1649,29600
2010-10-26,107.9200,108.5600,107.8800,108.4800,82.1497,15000
2010-10-27,107.7400,108.2200,107.2200,108.1400,81.8922,17150
2010-10-28,108.7600,108.8200,107.7600,108.2200,81.9528,19250
2010-10-29,108.1000,108.4200,108.0000,108.3000,82.0134,13400
2010-11-01,108.9200,109.4200,107.7600,108.3600,82.0588,51550
2010-11-02,109.2200,109.4200,108.8600,109.2000,82.6949,26100
2010-11-03,109.4200,109.6600,108.3200,109.6600,83.0433,31850
2010-11-04,110.9000,111.8000,110.7400,111.7200,84.6033,49000
2010-11-05,111.9000,112.3000,111.6800,112.1600,84.9365,48300
2010-11-08,111.8800,112.0800,111.5000,112.0200,84.8305,43400
2010-11-09,112.1800,112.3000,110.8000,111.1400,84.1641,35700
2010-11-10,111.1600,111.6000,110.3200,111.5600,84.4821,28200
2010-11-11,110.6800,111.2800,110.4200,111.2000,84.2095,24000
2010-11-12,110.4000,110.8600,109.3800,109.8200,83.1645,39450
2010-11-15,110.3000,110.5200,109.6400,109.7200,83.0887,202750
2010-11-16,109.0200,109.0200,107.4800,107.9600,81.7559,32850
2010-11-17,108.0600,108.4600,107.7800,108.0400,81.8165,42450
2010-11-18,109.0800,109.9200,109.0800,109.6400,83.0282,26100
2010-11-19,109.5000,109.9400,109.0400,109.9000,83.2250,20250
2010-11-22,109.4200,109.8000,108.5800,109.8000,83.1493,25350
2010-11-23,108.5600,108.6400,107.9200,108.2600,81.9831,142400
2010-11-24,108.9400,109.7800,108.9400,109.6600,83.0433,30100
2010-11-26,108.9600,109.4000,108.8200,109.0400,82.5738,32650
2010-11-29,108.3600,109.1600,107.6600,108.9400,82.4981,46000
2010-11-30,107.9600,108.8600,107.8200,108.1800,81.9225,91950
2010-12-01,109.9200,110.7400,109.8800,110.6200,83.7703,33350
2010-12-02,110.7400,112.1000,110.7400,112.0600,84.8608,60650
