date,open,high,low,close,adj_close,volume
2001-06-15,55.4250,56.0050,55.1750,55.6650,35.8121,1067400
2001-06-18,55.8150,55.9150,55.3100,55.3100,35.5837,282600
2001-06-19,56.1500,56.1650,55.2350,55.4650,35.6835,1777600
2001-06-20,55.3750,56.0750,55.3750,56.0500,36.0598,476000
2001-06-21,56.0000,56.7250,55.8750,56.5000,36.3493,240400
2001-06-22,56.4500,56.4500,55.8750,56.1400,36.1177,180600
2001-06-25,56.1000,56.1900,55.3900,55.6400,35.8855,30400
2001-06-26,55.0500,55.7750,55.0300,55.4950,35.7920,146600
2001-06-27,55.6000,55.8400,55.2350,55.5000,35.7952,114000
2001-06-28,55.9000,56.6900,55.9000,56.1800,36.2338,357400
2001-06-29,56.0250,56.8100,55.9550,56.5000,36.4402,215000
2001-07-02,56.3000,56.9700,56.3000,56.6500,36.5369,290000
2001-07-03,56.5750,56.6750,56.4150,56.6200,36.5176,56800
2001-07-05,56.4450,56.4700,55.9750,55.9750,36.1016,627600
2001-07-06,55.5000,55.5400,54.5000,54.5000,35.1503,777000
2001-07-09,54.7150,55.1000,54.6500,54.8500,35.3760,850000
2001-07-10,55.1300,55.1550,54.1250,54.1250,34.9084,218000
2001-07-11,54.2250,54.2600,53.6300,54.1950,34.9536,47200
2001-07-12,54.7250,55.5450,54.7200,55.4800,35.7823,64800
2001-07-13,55.2000,55.8700,55.1500,55.7450,35.9533,430000
2001-07-16,55.7750,55.7750,55.0400,55.1000,35.5373,46400
2001-07-17,55.0000,55.7500,54.8700,55.7500,35.9565,183400
2001-07-18,55.2750,55.5450,54.9550,55.1700,35.5824,54400
2001-07-19,55.8750,56.1200,55.2500,55.4800,35.7823,18600
2001-07-20,55.5000,55.6450,55.2500,55.4850,35.7856,11600
2001-07-23,55.6250,55.6950,54.5250,54.5250,35.1664,52000
2001-07-24,54.3350,54.5200,53.4000,53.7700,34.6795,102400
2001-07-25,53.8500,54.4700,53.7300,54.4500,35.1180,519200
2001-07-26,54.3400,55.1450,54.1950,55.1450,35.5663,65000
2001-07-27,55.1850,55.4200,54.8700,55.2400,35.6276,208000
2001-07-30,55.4000,55.4000,54.9550,55.1950,35.5985,25600
2001-07-31,55.2500,55.9200,55.2050,55.4200,35.7437,119200
2001-08-01,55.6000,55.9700,55.4750,55.6600,35.8984,237400
2001-08-02,56.1750,56.2000,55.6250,55.8350,36.0113,62200
2001-08-03,55.8000,55.8000,55.2700,55.6400,35.8855,17600
2001-08-06,55.6000,55.6000,54.9100,55.0000,35.4728,30400
2001-08-07,54.9500,55.1700,54.9000,55.1000,35.5373,29200
2001-08-08,54.9250,55.2200,54.0500,54.1000,34.8923,54400
2001-08-09,54.0450,54.2600,53.8050,54.2600,34.9955,56200
2001-08-10,54.3000,54.6250,53.5750,54.4800,35.1374,114200
2001-08-13,54.6200,54.7300,54.3600,54.5750,35.1987,34200
2001-08-14,54.7750,54.9500,54.3550,54.4550,35.1213,38600
2001-08-15,54.6950,54.6950,53.9850,53.9850,34.8181,49800
2001-08-16,53.9450,54.1500,53.5500,54.1500,34.9245,42800
2001-08-17,53.8600,53.9000,53.1700,53.3250,34.3924,84600
2001-08-20,53.3750,53.7250,53.3500,53.7000,34.6343,71800
2001-08-21,53.8000,54.1500,52.9500,52.9500,34.1506,69800
2001-08-22,53.2900,53.5750,52.8600,53.4400,34.4666,326800
2001-08-23,53.4500,53.5350,53.2500,53.3700,34.4215,31000
2001-08-24,53.5000,54.3450,53.4050,54.3450,35.0503,52400
2001-08-27,54.2000,54.3500,54.0000,54.1500,34.9245,75600
2001-08-28,54.0750,54.0750,53.2450,53.2450,34.3409,61600
2001-08-29,53.4750,53.4750,52.6500,52.7450,34.0184,90000
2001-08-30,52.6250,52.8200,51.7050,51.9550,33.5089,111800
2001-08-31,52.0750,52.5600,51.9150,52.1750,33.6507,69800
2001-09-04,52.1700,53.0350,51.9000,51.9000,33.4734,71600
2001-09-05,51.9250,52.0600,51.2600,51.8250,33.4250,45800
2001-09-06,51.7050,51.7050,50.7750,50.7750,32.7478,90600
2001-09-07,50.5200,50.8400,49.7500,49.7500,32.0867,133200
2001-09-10,49.6500,50.3000,49.3750,50.1250,32.3286,75200
2001-09-17,47.1250,48.5500,47.1250,47.7450,30.7936,410000
2001-09-18,47.7250,48.0000,47.0750,47.1350,30.4002,318400
2001-09-19,47.2500,47.5250,45.1000,46.5000,29.9906,257200
2001-09-20,45.7500,45.9500,45.0000,45.0000,29.0232,218200
2001-09-21,43.5000,45.0000,43.4000,44.2750,28.5556,223200
2001-09-24,45.5000,45.9750,45.1300,45.6950,29.5766,578000
2001-09-25,45.9750,46.3200,45.5000,46.1250,29.8550,190000
2001-09-26,46.4250,46.4250,45.6350,45.7700,29.6252,244200
2001-09-27,45.8000,46.4450,45.3800,46.2250,29.9197,406200
2001-09-28,46.6750,47.4750,46.6750,47.4750,30.7288,365800
2001-10-01,47.1000,47.3000,46.6550,47.0450,30.4504,922000
2001-10-02,47.0250,47.6700,47.0000,47.6250,30.8259,983400
2001-10-03,47.1750,48.9000,47.1750,48.4650,31.3695,722600
2001-10-04,49.0950,49.4900,48.6250,48.6250,31.4731,579000
2001-10-05,48.6250,48.7750,47.9650,48.6500,31.4893,338000
2001-10-08,48.2250,48.6450,48.1550,48.3250,31.2789,726800
2001-10-09,48.3000,48.3250,47.9550,48.0050,31.0718,466400
2001-10-10,48.0750,49.1750,48.0750,49.1450,31.8097,665600
2001-10-11,49.8750,50.1300,49.7250,50.0450,32.3922,540200
2001-10-12,49.7250,49.9550,48.8700,49.6650,32.1463,353400
2001-10-15,49.4000,49.7750,49.1750,49.7350,32.1916,458600
2001-10-16,49.7000,50.3050,49.6500,50.0150,32.3728,1283000
2001-10-17,50.3950,50.5050,49.0000,49.0000,31.7158,516200
2001-10-18,49.0050,49.1400,48.5400,48.7450,31.5508,476600
2001-10-19,48.5550,49.0450,48.2500,48.8800,31.6382,536800
2001-10-22,48.8500,49.7150,48.8050,49.6100,32.1106,449800
2001-10-23,49.8500,50.0850,49.3750,49.4250,31.9909,397600
2001-10-24,49.5000,49.6950,49.2050,49.4000,31.9748,445000
2001-10-25,49.0000,50.1500,48.6950,50.1000,32.4278,773600
2001-10-26,50.1250,50.5750,49.9900,50.3700,32.6026,308000
2001-10-29,50.2000,50.2000,49.2000,49.2000,31.8453,339800
2001-10-30,48.8900,48.8900,48.0850,48.3900,31.3210,436800
2001-10-31,48.6750,49.0700,48.4500,48.4500,31.3598,227400
2001-11-01,48.7250,49.5300,48.0650,49.4700,32.0200,343200
2001-11-02,49.1000,49.7450,49.1000,49.5500,32.0718,308000
2001-11-05,50.4000,50.4300,50.1050,50.2600,32.5314,241400
2001-11-06,50.2100,51.0050,50.0000,50.9900,33.0039,388000
2001-11-07,51.0000,51.3700,50.8400,50.9000,32.9456,154800
2001-11-08,51.2750,51.7450,50.8900,50.9300,32.9650,128200
2001-11-09,50.9150,51.1300,50.6650,51.0400,33.0362,207400
2001-11-12,50.4900,51.0650,50.0300,50.9500,32.9780,368400
2001-11-13,51.6000,51.9400,51.4400,51.8500,33.5605,153400
2001-11-14,52.4250,52.4250,51.7150,52.1700,33.7676,207800
2001-11-15,52.1000,52.3000,51.8100,52.0050,33.6609,203800
2001-11-16,52.1250,52.1650,51.5550,51.9850,33.6479,163800
2001-11-19,52.2500,52.5150,52.0400,52.5150,33.9910,273800
2001-11-20,52.5750,52.6100,52.1350,52.1400,33.7482,84000
2001-11-21,52.2000,52.2000,51.6300,51.8200,33.5411,128600
2001-11-23,51.9000,52.5450,51.9000,52.4550,33.9521,90800
2001-11-26,52.6650,52.8800,52.3350,52.7750,34.1592,139000
2001-11-27,52.7500,53.1750,52.2000,52.6300,34.0654,241400
2001-11-28,52.4500,52.4500,51.5200,51.5200,33.3469,207600
2001-11-29,51.9100,52.3100,51.5550,52.3100,33.8583,170400
2001-11-30,52.1900,52.3950,52.1400,52.1400,33.7482,331800
