date,open,high,low,close,adj_close,volume
2000-01-03,986.1660,986.1660,986.1660,986.1660,968.7964,0
2000-01-04,920.9486,920.9486,920.9486,920.9486,904.7275,2484367
2000-01-05,893.2806,893.2806,893.2806,893.2806,877.5469,3599806
2000-01-06,885.3754,885.3754,885.3754,885.3754,869.7808,2065416
2000-01-07,905.1383,905.1383,905.1383,905.1383,889.1956,4175658
2000-01-10,911.0671,911.0671,911.0671,911.0671,895.0201,3350102
2000-01-11,889.3280,889.3280,889.3280,889.3280,873.6638,2792138
2000-01-12,871.5415,871.5415,871.5415,871.5415,856.1907,1339980
2000-01-13,863.6363,863.6363,863.6363,863.6363,848.4247,3374661
2000-01-14,865.6126,865.6126,865.6126,865.6126,850.3661,3998831
2000-01-17,841.8972,841.8972,841.8972,841.8972,827.0686,5895766
2000-01-18,837.9446,837.9446,837.9446,837.9446,823.1853,3948377
2000-01-19,796.4426,796.4426,796.4426,796.4426,782.4146,6779822
2000-01-20,760.8695,760.8695,760.8695,760.8695,747.4680,9684885
2000-01-21,786.5612,786.5612,786.5612,786.5612,772.7072,6505806
2000-01-24,806.3241,806.3241,806.3241,806.3241,792.1218,2845621
2000-01-25,800.3952,800.3952,800.3952,800.3952,786.2974,2132123
2000-01-26,838.9328,838.9328,838.9328,838.9328,824.1563,8281972
2000-01-27,828.0632,828.0632,828.0632,828.0632,813.4783,6574387
2000-01-28,821.1462,821.1462,821.1462,821.1462,806.6829,3773047
2000-01-31,808.3003,808.3003,808.3003,808.3003,794.0634,3155294
2000-02-01,810.2766,810.2766,810.2766,810.2766,796.0048,3263416
2000-02-02,814.2292,814.2292,814.2292,814.2292,799.8879,2444596
2000-02-03,818.1818,818.1818,818.1818,818.1818,803.7709,3649260
2000-02-04,794.4664,794.4664,794.4664,794.4664,780.4731,7983995
2000-02-07,774.7035,774.7035,774.7035,774.7035,761.0582,2234170
2000-02-08,775.6916,775.6916,775.6916,775.6916,762.0293,7229041
2000-02-09,775.6916,775.6916,775.6916,775.6916,762.0293,5049627
2000-02-10,782.6086,782.6086,782.6086,782.6086,768.8242,3033758
2000-02-11,764.8221,764.8221,764.8221,764.8221,751.3510,3967438
2000-02-14,711.4624,711.4624,711.4624,711.4624,698.9309,5039239
2000-02-15,727.2727,727.2727,727.2727,727.2727,714.4626,3969916
2000-02-16,737.1541,737.1541,737.1541,737.1541,724.1703,3978871
2000-02-17,741.1067,741.1067,741.1067,741.1067,728.0531,4983768
2000-02-18,786.5612,786.5612,786.5612,786.5612,772.7072,2374078
2000-02-21,764.8221,764.8221,764.8221,764.8221,751.3510,9185603
2000-02-22,721.3438,721.3438,721.3438,721.3438,708.6386,10471265
2000-02-23,715.4150,715.4150,715.4150,715.4150,702.8143,8462048
