date,open,high,low,close,adj_close,volume
2000-01-03,2505.7700,2505.7700,2505.7700,2505.7700,2483.4363,0
2000-01-04,2501.8999,2506.7800,2395.8201,2395.8201,2374.4673,3528307
2000-01-05,2399.4800,2399.4800,2314.1399,2346.8101,2325.8936,2653877
2000-01-06,2355.5901,2389.7300,2321.4500,2341.9399,2321.0667,3802392
2000-01-07,2340.9600,2401.4299,2316.5701,2397.5300,2376.1614,4439411
2000-01-10,2370.2200,2501.8999,2370.2200,2463.8601,2441.9011,4602466
2000-01-11,2418.9900,2477.5200,2418.9900,2446.3000,2424.4958,3756718
2000-01-12,2428.7500,2466.7900,2403.3899,2425.8201,2404.1990,3837461
2000-01-13,2443.3799,2462.8899,2409.2400,2427.7700,2406.1328,6038233
2000-01-14,2497.0200,2504.8301,2438.5000,2462.8899,2440.9382,3924456
2000-01-17,2462.8899,2482.3899,2420.7000,2455.0801,2433.1987,4807018
2000-01-18,2442.3999,2483.1201,2377.7800,2387.7800,2366.4971,2706107
2000-01-19,2394.6101,2394.6101,2313.6499,2318.5300,2297.8660,3268432
2000-01-20,2335.6001,2385.8301,2292.1899,2298.0400,2277.5581,5428056
2000-01-21,2292.1899,2329.2600,2256.1001,2290.2400,2269.8267,3304599
2000-01-24,2299.0200,2492.1499,2238.5400,2245.3701,2225.3572,2063539
2000-01-25,2239.5200,2256.1001,2208.3101,2245.3701,2225.3572,2506717
2000-01-26,2267.8000,2301.9399,2243.4199,2280.4900,2260.1650,3913897
2000-01-27,2345.8401,2345.8401,2295.1201,2328.2800,2307.5281,2757687
2000-01-28,2341.9399,2373.1499,2246.3501,2263.8999,2243.7222,3271353
2000-01-31,2262.9299,2292.1899,2197.5801,2216.1101,2196.3594,2792718
2000-02-01,2214.6799,2258.0500,2180.0200,2215.1299,2195.3872,3878900
2000-02-02,2204.3999,2266.8301,2191.2400,2262.9299,2242.7610,3717276
2000-02-03,2354.6201,2354.6201,2275.6101,2296.0901,2275.6257,4482588
2000-02-04,2315.2200,2315.2200,2180.9900,2201.4800,2181.8584,4759141
2000-02-07,2194.6499,2204.3999,2106.8601,2138.0801,2119.0237,4442048
2000-02-08,2138.0801,2220.9900,2135.1499,2199.5300,2179.9265,3745749
2000-02-09,2199.5300,2287.5601,2199.5300,2275.6101,2255.3281,3907874
2000-02-10,2268.7800,2297.0701,2221.9600,2253.1699,2233.0876,4610012
2000-02-11,2275.1799,2294.1399,2141.9800,2163.4399,2144.1567,4183059
2000-02-14,2156.6101,2156.6101,2085.4099,2090.2800,2071.6492,2741174
2000-02-15,2087.3601,2175.8701,2082.4800,2159.5400,2140.2932,3073413
2000-02-16,2155.6299,2184.8999,2108.8101,2141.0000,2121.9175,2479645
2000-02-17,2132.5200,2155.6299,2097.1101,2135.1499,2116.1196,2875567
2000-02-18,2131.2500,2184.8999,2093.2100,2099.0601,2080.3525,2530595
2000-02-21,2144.1399,2157.5801,2059.0701,2075.6499,2057.1499,3432915
2000-02-22,2062.0000,2121.7400,2052.2400,2064.9199,2046.5160,6664913
2000-02-23,2064.9199,2118.5701,2058.0901,2088.3301,2069.7175,5494078
2000-02-24,2078.1599,2128.0801,1863.0100,1878.6200,1861.8762,6632856
2000-02-25,2000.1801,2093.2100,1882.5200,2063.9500,2045.5553,8262668
2000-02-28,2062.9700,2107.8401,2020.0500,2058.0901,2039.7465,5577407
2000-02-29,2087.3601,2101.9900,2032.0000,2032.0000,2013.8889,5158358
2000-03-01,2044.4399,2104.9099,2028.8300,2101.0100,2082.2842,7067868
2000-03-02,2101.9900,2175.1399,2079.5500,2168.3101,2148.9839,5433453
2000-03-03,2145.8799,2184.8999,2118.5701,2140.0300,2120.9570,2799687
2000-03-06,2145.8799,2165.3899,2101.9900,2146.8601,2128.0151,6093144
2000-03-07,2146.8601,2212.2100,2111.7400,2181.9700,2162.8169,4850605
2000-03-08,2193.6699,2194.6499,2136.1299,2186.8501,2167.6541,5044144
2000-03-09,2243.4199,2345.8401,2243.4199,2268.7800,2248.8647,4464664
2000-03-10,2274.6299,2445.3301,2274.6299,2424.8401,2403.5549,6013713
2000-03-13,2564.4199,2564.4199,2516.7800,2516.7800,2494.6873,5001249
2000-03-14,2491.1699,2528.2400,2424.8401,2431.6699,2410.3240,5923234
2000-03-15,2459.4700,2538.9700,2399.4800,2528.2400,2506.0471,3691606
2000-03-16,2560.4199,2657.9600,2560.4199,2647.2400,2624.0024,6490079
2000-03-17,2657.9600,2702.8301,2499.9500,2517.5100,2495.4114,4263288
2000-03-20,2536.0400,2557.5000,2487.2700,2539.9399,2517.6445,2136660
2000-03-21,2540.4299,2682.8401,2540.4299,2631.6299,2608.5298,2986045
2000-03-22,2649.1899,2688.9299,2632.6001,2682.3501,2658.8040,4802077
2000-03-23,2656.0100,2692.1001,2633.5801,2682.3501,2658.8040,2956623
2000-03-24,2673.0801,2762.3301,2653.0901,2722.3401,2698.4436,6112635
2000-03-27,2707.6201,2731.1201,2638.4600,2669.6699,2646.2354,3425901
2000-03-28,2658.6399,2680.3999,2576.0300,2615.0500,2592.0957,6726237
2000-03-29,2618.9900,2618.9900,2472.6399,2488.2500,2466.4080,4264121
2000-03-30,2477.5200,2481.4199,2409.2400,2446.3000,2424.8257,4633367
2000-03-31,2489.7100,2510.6799,2443.3799,2476.5400,2454.8008,2593524
2000-04-03,2476.5400,2618.9500,2442.3999,2604.3201,2581.4597,4428818
2000-04-04,2590.6599,2733.0701,2565.3000,2710.6399,2686.8452,6373948
2000-04-05,2590.6599,2710.6399,2565.3000,2668.6899,2645.2637,1125893
2000-04-06,2627.7300,2732.1001,2599.4399,2715.5100,2691.6724,5344115
2000-04-07,2715.5100,2731.1201,2645.2800,2704.7800,2681.0378,3809871
2000-04-10,2683.8101,2738.9199,2622.8501,2727.2200,2703.2800,2618368
2000-04-11,2727.2200,2804.2700,2602.3701,2776.9600,2752.5840,4987995
2000-04-12,2765.2600,2789.8899,2738.9199,2776.9600,2752.5840,5261522
2000-04-13,2779.6101,2793.5500,2732.1001,2779.8899,2755.4880,4863793
2000-04-14,2735.0200,2770.1399,2700.8799,2700.8799,2677.1714,5336605
2000-04-17,2633.5801,2676.5000,2536.0400,2640.4099,2617.2314,2780470
2000-04-18,2640.4099,2677.4700,2565.3000,2619.9199,2596.9221,2275216
2000-04-19,2682.2700,2750.6299,2682.2700,2703.8101,2680.0767,2476053
2000-04-20,2633.5801,2814.0300,2633.5801,2768.1899,2743.8914,5031317
2000-04-21,2769.2200,2769.2200,2769.2200,2769.2200,2744.9119,0
2000-04-24,2769.2200,2769.2200,2769.2200,2769.2200,2744.9119,0
2000-04-25,2772.4900,2801.3501,2749.6499,2768.1899,2743.8914,3919229
2000-04-26,2750.6299,2776.9600,2721.3701,2737.9500,2713.9165,3713008
2000-04-27,2707.7100,2710.6399,2575.0601,2608.2200,2585.3254,6084363
2000-04-28,2619.9199,2634.8999,2537.9900,2622.8501,2599.8267,3387336
2000-05-01,2623.8301,2623.8301,2623.8301,2623.8301,2600.7983,0
2000-05-02,2653.0901,2653.0901,2582.8601,2606.2700,2583.3914,1999162
2000-05-03,2593.1001,2653.0901,2526.2900,2538.9700,2516.6829,3210521
2000-05-04,2515.5601,2607.2400,2506.7800,2557.5000,2535.0498,2157874
2000-05-05,2570.1799,2626.7500,2513.6101,2550.6699,2528.2793,2275842
2000-05-08,2584.8101,2674.5500,2584.8101,2648.2100,2624.9639,3929015
2000-05-09,2656.9900,2763.3101,2648.2100,2716.4900,2692.6448,3125400
2000-05-10,2667.7200,2764.2800,2667.7200,2731.1201,2707.1467,5641504
2000-05-11,2682.3501,2808.1799,2682.3501,2782.8201,2758.3923,4967723
2000-05-12,2721.3701,2809.1499,2709.1699,2802.3201,2777.7212,3258420
2000-05-15,2735.0200,2818.9099,2735.0200,2808.1799,2783.5295,1757618
2000-05-16,2814.0300,2839.3899,2779.8899,2803.3000,2778.6931,2599362
2000-05-17,2797.4500,2799.3999,2614.0701,2633.5801,2610.4631,9339136
2000-05-18,2662.8401,2743.8000,2638.4600,2737.9500,2713.9165,31615608
2000-05-19,2706.7300,2740.8701,2672.6001,2711.6101,2687.8079,4687671
2000-05-22,2676.5000,2804.2700,2676.5000,2752.5801,2728.4177,2818729
2000-05-23,2688.2000,2748.6799,2662.8401,2696.0100,2672.3433,10560294
2000-05-24,2676.5000,2728.1899,2649.1899,2679.4199,2655.9009,6754275
2000-05-25,2693.0801,2717.4600,2667.7200,2713.5601,2689.7397,3127245
2000-05-26,2775.9900,2775.9900,2684.3000,2728.1899,2704.2410,3331324
2000-05-29,2729.2200,2729.2200,2729.2200,2729.2200,2705.2637,0
2000-05-30,2716.4900,2733.0400,2716.4900,2716.4900,2692.6448,2144894
2000-05-31,2748.6799,2748.6799,2738.4399,2748.6799,2724.5525,4409007
2000-06-01,2823.7800,2838.9399,2823.7800,2823.7800,2798.9922,3029937
2000-06-02,2761.3601,2800.1001,2761.3601,2761.3601,2737.1208,5399846
2000-06-05,2690.1499,2698.1699,2681.4800,2690.1499,2666.5356,4402788
2000-06-06,2684.8501,2684.8501,2591.6399,2621.8799,2598.8655,7144325
2000-06-07,2633.5801,2654.0601,2604.3201,2614.0701,2591.1243,5818976
2000-06-08,2668.6899,2668.6899,2609.1899,2638.4600,2615.2988,3895084
2000-06-09,2655.0400,2669.6699,2629.6799,2662.8401,2639.4653,4072234
2000-06-12,2678.4500,2711.6101,2642.3601,2664.7900,2641.3982,860364
2000-06-13,2719.4199,2719.4199,2662.8401,2662.8401,2639.4653,3042124
2000-06-14,2729.1699,2729.1699,2679.4199,2696.9800,2673.3059,2830853
2000-06-15,2694.7100,2722.3401,2670.1599,2692.1001,2668.4690,3284546
2000-06-16,2688.2000,2745.7500,2682.3501,2712.5901,2688.7798,1833471
2000-06-19,2711.2500,2799.3999,2701.8601,2797.4500,2772.8938,2714933
2000-06-20,2781.8401,2844.2700,2777.9399,2844.2700,2819.3035,4625273
2000-06-21,2834.5100,2883.2800,2815.0000,2863.7700,2838.6321,4458813
2000-06-22,2831.5901,2894.0100,2799.3999,2832.5601,2807.6965,3779701
2000-06-23,2875.0100,2876.4500,2799.3999,2848.1699,2823.1687,3036510
2000-06-26,2850.9700,2882.3101,2832.5601,2851.0901,2826.0632,2255134
2000-06-27,2853.0400,2863.7700,2812.0801,2825.7300,2800.9255,2300128
2000-06-28,2827.6799,2887.1799,2805.2500,2887.1799,2861.8364,4237315
2000-06-29,2894.9900,2973.0200,2847.1899,2970.0901,2944.0186,5844563
2000-06-30,2948.6299,3016.9099,2926.2000,3009.1101,2982.6968,5541499
2000-07-03,2996.7000,3027.6399,2934.0000,3023.7400,2997.1968,3749049
2000-07-04,3017.8899,3017.8899,2939.8601,3009.1101,2982.6968,4446914
2000-07-05,2999.3601,3043.2500,2990.5801,3043.2500,3016.5369,5622145
2000-07-06,3021.9399,3088.1201,2993.5000,3050.0801,3023.3062,5310151
2000-07-07,3041.5601,3069.5801,2987.6499,3069.5801,3042.6355,4944166
2000-07-10,3062.7600,3095.9199,3023.7400,3065.6799,3038.7688,2277592
2000-07-11,3100.8000,3100.8000,3041.3000,3077.3899,3050.3770,3783483
2000-07-12,3077.3899,3132.9800,3077.3899,3101.7700,3074.5425,4684514
2000-07-13,3105.6699,3105.6699,2988.6299,3006.1799,2979.7910,5195200
2000-07-14,3012.0400,3027.6399,2925.9600,3006.1799,2979.7910,7634662
2000-07-17,2926.2000,2944.7300,2815.9800,2944.7300,2918.8813,9373854
2000-07-18,2872.5500,2893.0400,2865.9700,2882.3101,2857.0093,4108385
2000-07-19,2874.6299,2882.3101,2830.8501,2860.8501,2835.7375,2825830
2000-07-20,2860.8501,2860.8501,2803.5400,2828.6599,2803.8296,3536027
2000-07-21,2860.8501,2860.8501,2779.8899,2779.8899,2755.4880,3441163
2000-07-24,2825.7300,2851.0901,2750.6299,2779.8899,2755.4880,3374080
2000-07-25,2817.4900,2926.2000,2804.4500,2868.8501,2843.6670,3516239
2000-07-26,2868.5701,2876.0701,2799.3999,2822.8101,2798.0312,1627346
2000-07-27,2805.2500,2877.4299,2805.2500,2848.1699,2823.1687,3315497
2000-07-28,2899.3799,2905.7200,2853.0400,2872.5500,2847.3357,2280210
2000-07-31,2869.6299,2915.4700,2799.3999,2805.2500,2780.6257,2606810
2000-08-01,2805.2500,2864.6499,2758.6799,2851.0901,2826.0632,4473292
2000-08-02,2979.8501,2979.8501,2934.7200,2960.3401,2934.3550,4562804
2000-08-03,2974.9700,2974.9700,2884.2600,2932.0500,2906.3125,4031053
2000-08-04,2928.6799,2945.8000,2896.9399,2929.1299,2903.4182,3220025
2000-08-07,2926.2000,2955.4600,2922.3000,2948.6299,2922.7468,2540989
2000-08-08,2948.6299,2949.6101,2892.0601,2892.0601,2866.6738,2194931
2000-08-09,2939.8601,2939.8601,2866.7000,2878.4099,2853.1433,1795777
2000-08-10,2903.3999,2911.8501,2755.5000,2828.6599,2803.8296,5198223
2000-08-11,2812.0801,2856.9500,2809.1499,2826.7100,2801.8972,1863900
2000-08-14,2828.6599,2884.2600,2808.1799,2877.4299,2852.1726,1962096
2000-08-15,2866.7700,2896.9399,2829.1499,2887.1799,2861.8364,2214778
2000-08-16,2887.1799,2920.3501,2876.4500,2906.6899,2881.1746,3236588
2000-08-17,2895.6399,2990.5801,2851.0901,2978.8701,2952.7209,3899939
2000-08-18,2978.8701,3009.1101,2920.3501,2994.4800,2968.1941,2205555
