date,open,high,low,close,adj_close,volume
2000-01-03,411.5283,411.5283,411.5283,411.5283,408.0748,0
2000-01-04,411.5283,411.7592,384.5087,385.6634,382.4268,279934681
2000-01-05,387.0490,387.5109,374.1166,376.4260,373.2672,257475839
2000-01-06,383.3541,383.3541,360.2604,362.3389,359.2982,504884345
2000-01-07,357.9511,373.0201,349.2910,354.2561,351.2832,553699694
2000-01-10,367.6504,367.6504,354.2561,359.1058,356.0923,444846503
2000-01-11,361.4918,363.7245,346.1733,349.1755,346.2452,297695360
2000-01-12,351.2539,365.5720,339.4762,361.4151,358.3821,349990528
2000-01-13,366.7267,374.1166,355.8727,357.0273,354.0311,449527415
2000-01-14,362.8007,363.3781,353.3324,357.9511,354.9472,540539766
2000-01-17,357.9511,362.3389,339.4762,341.3237,338.4594,552766172
2000-01-18,339.2453,348.0208,325.8509,330.0078,327.2385,355011481
2000-01-19,334.1647,334.1647,314.9969,321.2322,318.5364,568048591
2000-01-20,323.7725,324.4653,304.8358,310.3782,307.7735,956071855
2000-01-21,314.0732,333.4718,307.1451,332.3172,329.5284,1070931761
2000-01-24,338.0906,348.3100,330.2387,331.3934,328.6123,293874738
2000-01-25,328.1603,332.0862,317.3063,318.4610,315.7885,260099248
2000-01-26,327.4675,344.0949,319.8466,342.0165,339.1462,371694876
2000-01-27,342.0165,366.9576,333.4718,363.2626,360.2140,386995516
2000-01-28,361.6461,366.4957,346.8661,348.2518,345.3294,365186273
2000-01-31,345.7115,348.2518,338.0906,345.2496,342.3522,216716325
2000-02-01,347.7899,355.1798,336.7050,340.8618,338.0013,276973102
2000-02-02,340.8618,348.4827,333.4718,335.3193,332.5053,309142677
2000-02-03,357.7201,357.7201,333.2409,335.0884,332.2764,209146650
2000-02-04,339.4762,342.9402,318.6919,320.3085,317.6205,372874976
2000-02-07,325.6200,333.0100,317.5372,327.2366,324.4904,439100709
2000-02-08,327.2366,338.7834,327.2366,333.7028,330.9025,378144934
2000-02-09,333.7028,357.6047,315.9207,325.1581,322.4294,475941358
2000-02-10,331.1625,362.1079,321.0013,345.7115,342.8102,666363739
2000-02-11,352.8455,356.7964,325.1581,339.7071,336.8563,696293042
2000-02-14,332.2654,339.4762,325.6200,330.9315,328.1544,369943189
2000-02-15,329.0841,356.7964,329.0841,332.0862,329.2996,1043960643
2000-02-16,343.6912,357.9511,332.0862,357.4892,354.4892,708009732
2000-02-17,347.5128,369.4979,347.4435,368.8051,365.7102,461366944
2000-02-18,369.4979,387.6264,359.3367,380.5828,377.3889,681623987
2000-02-21,378.6430,381.9685,359.1058,363.2626,360.2852,459216185
2000-02-22,369.4979,371.1144,337.6287,340.8618,338.0681,309011385
2000-02-23,350.8244,350.8244,334.8575,341.7855,338.9841,451955860
2000-02-24,338.5866,380.3519,335.0884,337.8596,335.0904,538445058
2000-02-25,340.8960,343.1712,323.7725,330.9315,328.2190,550670771
2000-02-28,332.5481,338.7834,324.6963,328.8531,326.1576,267513174
2000-02-29,330.9315,354.4870,329.5459,352.4086,349.5201,343837348
2000-03-01,348.9446,367.1313,338.3215,340.8618,338.0681,516620019
2000-03-02,347.6790,347.6790,335.3193,339.2453,336.4647,213454541
2000-03-03,341.5546,352.1777,337.1668,348.7136,345.8554,229835861
2000-03-06,352.1777,353.3324,337.1668,349.6374,346.7717,241788806
2000-03-07,349.6374,356.7964,343.6330,349.8683,347.0006,317300081
2000-03-08,352.3347,352.4086,335.7812,348.2518,345.3974,423335871
2000-03-09,348.2518,354.4870,339.7071,341.5546,338.7551,264989187
2000-03-10,341.4512,351.9467,337.1668,343.6330,340.8165,226317314
2000-03-13,345.9424,347.5590,335.5503,342.9402,340.1293,176192443
2000-03-14,344.0949,351.4849,337.1668,340.6309,337.8390,256363428
2000-03-15,342.9402,346.1733,334.8575,344.0949,341.2746,253490739
2000-03-16,346.6352,385.2598,344.3258,375.7332,372.6536,726349410
2000-03-17,383.5850,389.3584,345.4805,347.0971,344.2521,659569551
2000-03-20,347.0971,383.3541,339.9381,350.7921,347.9170,278155905
2000-03-21,348.0208,351.9467,340.1690,345.7115,342.8779,551113491
2000-03-22,356.5655,359.3367,346.1733,356.5655,353.6429,640460274
2000-03-23,355.4108,367.1885,351.0230,360.9533,357.9948,212847759
2000-03-24,364.1291,383.3541,358.8748,380.3519,377.2345,492775651
2000-03-27,377.0809,391.2059,376.6569,385.6634,382.5023,351627343
2000-03-28,383.0326,386.5872,374.1166,378.9663,375.8603,302574076
2000-03-29,379.5852,388.6656,372.9619,386.1253,382.9606,220950221
2000-03-30,386.8181,395.8246,386.1253,390.9750,387.7705,258417537
2000-03-31,393.7462,394.9009,375.2713,383.8159,380.6700,435889848
2000-04-03,380.7565,411.0664,376.4260,409.2189,405.8648,449867387
2000-04-04,409.2189,428.6758,409.2189,422.1514,418.6913,1063720281
2000-04-05,389.7843,389.7843,379.6591,379.6591,376.5474,478054
2000-04-06,403.9074,403.9074,369.9598,373.6547,370.5922,444931375
2000-04-07,373.6547,378.7353,362.3389,374.1166,371.0504,252555624
2000-04-10,372.0382,392.5915,366.4957,390.7440,387.5414,300504586
2000-04-11,390.2822,401.8290,383.3541,387.5109,384.3348,200504125
2000-04-12,383.8159,397.2102,383.8159,393.5153,390.2899,225153564
2000-04-13,387.9728,394.9009,387.9728,388.4347,385.2511,210094029
2000-04-14,384.7397,391.8987,381.9685,390.0512,386.8542,206286640
2000-04-17,386.4717,386.4717,366.9576,372.5001,369.4469,561015307
2000-04-18,371.7195,378.2735,358.4130,375.2713,372.1955,401657643
2000-04-19,369.9598,382.4303,369.9598,378.5044,375.4021,147464164
2000-04-20,367.8813,383.3541,367.8813,378.0425,374.9441,120625584
2000-04-21,378.0425,378.0425,378.0425,378.0425,374.9441,0
2000-04-24,378.0425,378.0425,378.0425,378.0425,374.9441,0
2000-04-25,378.0425,391.8987,370.4216,387.7419,384.5639,214794894
2000-04-26,380.3519,396.2865,380.3519,393.5153,390.2899,217024566
2000-04-27,395.8246,395.8246,375.7332,378.0425,374.9441,360970183
2000-04-28,378.0425,387.2800,371.5763,379.1972,376.0892,317161584
2000-05-01,379.1972,379.1972,379.1972,379.1972,376.0892,0
2000-05-02,382.8922,385.6634,372.2691,378.7353,375.6310,235399233
2000-05-03,372.9619,392.5915,372.9619,381.0447,377.9215,225330167
2000-05-04,377.1188,379.6018,374.1166,378.2735,375.1732,104019510
2000-05-05,372.5583,382.6613,371.8073,376.8879,373.7987,119939265
2000-05-08,372.5001,372.9619,362.3389,366.2648,363.2628,282312897
2000-05-09,361.6461,371.8073,359.1058,361.8770,358.9111,350770934
2000-05-10,359.7986,367.1885,353.7942,355.8727,352.9559,430346292
2000-05-11,364.1864,364.1864,352.9860,355.4108,352.4978,405240970
2000-05-12,359.1058,370.4216,356.5082,363.7245,360.7433,303764569
2000-05-15,361.1842,368.1123,356.3345,357.7201,354.7880,148395815
2000-05-16,366.4957,366.4957,356.7964,361.1842,358.2238,295622823
2000-05-17,360.9533,363.7245,356.7964,359.3367,356.3914,240980341
2000-05-18,358.8748,369.4979,357.9511,366.7267,363.7209,203424135
2000-05-19,366.0339,371.3454,361.1842,363.4936,360.5143,143876056
2000-05-22,361.1842,378.0425,361.1842,374.5785,371.5084,279853966
2000-05-23,372.7310,387.2800,372.7310,381.2756,378.1506,211243091
2000-05-24,375.9641,402.2908,373.8857,400.6743,397.3903,482022621
2000-05-25,393.5153,401.8290,390.9750,395.8246,392.5804,350278607
2000-05-26,394.9009,399.6933,381.5066,395.3628,392.1223,359449486
2000-05-29,395.3628,395.3628,395.3628,395.3628,392.1223,0
2000-05-30,407.6024,413.3758,407.6024,407.6024,404.2616,333843246
2000-05-31,401.5980,401.5980,400.0120,401.5980,398.3064,332082137
2000-06-01,401.1362,404.5716,400.0277,401.1362,397.8484,294202309
2000-06-02,393.9771,399.5196,390.6637,393.9771,390.7481,639606151
2000-06-05,399.7505,402.7527,397.4412,399.7505,396.4741,231613460
2000-06-06,393.7462,409.5653,393.1689,405.0621,401.7421,232836516
2000-06-07,396.9793,409.9117,396.9793,406.2168,402.8873,179415566
2000-06-08,408.7571,410.3163,402.7527,406.9096,403.5745,245631253
2000-06-09,406.9096,408.7571,400.6743,403.9074,400.5968,189049672
2000-06-12,402.5218,406.6786,399.7505,401.8290,398.5355,196084689
2000-06-13,397.4412,400.9052,394.4390,399.5196,396.2451,351047512
2000-06-14,393.7462,404.1383,390.2822,399.5196,396.2451,197028464
2000-06-15,396.5174,405.2930,395.8246,404.1383,400.8258,267571302
2000-06-16,404.8311,406.6786,396.7484,400.4433,397.1612,277493904
2000-06-19,395.0163,395.0163,387.5109,389.1275,385.9381,238173332
2000-06-20,387.0490,389.8203,385.6634,387.9728,384.7929,203955260
2000-06-21,387.5109,389.3011,381.2756,382.6613,379.5247,364117164
2000-06-22,383.8159,384.5087,369.9598,369.9598,366.9274,242157809
2000-06-23,374.8094,377.8116,359.7986,361.4151,358.4528,603576462
2000-06-26,362.5560,377.5807,360.2604,370.8835,367.8437,333037136
