date,open,high,low,close,adj_close,volume
2000-01-03,351.7500,351.7500,351.7500,351.7500,346.6859,0
2000-01-04,340.0000,350.0000,332.0000,332.2500,327.4667,2200292
2000-01-05,331.0000,336.5000,325.0000,335.5000,330.6699,3942353
2000-01-06,338.0000,343.0000,325.0000,328.2500,323.5243,15193294
2000-01-07,330.0000,347.0000,329.0000,331.2500,326.4811,16200615
2000-01-10,334.8000,339.0000,325.5000,326.7500,322.0458,5785364
2000-01-11,325.0000,326.5000,306.0000,306.5000,302.0873,5322914
2000-01-12,311.5000,316.5000,295.5000,312.0000,307.5083,13202870
2000-01-13,320.0000,328.0000,310.0000,323.2500,318.5962,15667700
2000-01-14,324.4000,328.0000,317.0000,324.0000,319.3354,9458102
2000-01-17,321.8000,330.0000,319.0000,320.0000,315.3930,7865851
2000-01-18,320.0000,330.5000,320.0000,321.2500,316.6251,8413766
2000-01-19,320.0000,325.0000,306.3000,313.2500,308.7402,19096788
2000-01-20,316.8000,316.8000,301.3000,303.7500,299.3770,4175426
2000-01-21,312.0000,312.0000,297.0000,300.0000,295.6810,7403057
2000-01-24,300.0000,312.5000,293.0000,294.5000,290.2600,6308302
2000-01-25,291.0000,296.0000,278.0000,284.0000,279.9113,5972445
2000-01-26,279.0000,292.0000,275.0000,286.5000,282.3754,15480856
2000-01-27,280.8000,291.0000,275.0000,277.5000,273.5049,3625179
2000-01-28,278.0000,280.5000,257.2500,266.5000,262.6632,6798431
2000-01-31,268.0000,277.0000,260.0000,272.7500,268.8233,5765866
2000-02-01,273.0000,276.0000,265.0000,271.2500,267.3448,4393108
2000-02-02,267.7000,274.5000,256.0000,264.7500,260.9384,3101138
2000-02-03,280.2500,296.0000,266.0000,281.7500,277.6936,7295604
2000-02-04,283.8000,290.0000,272.5000,276.2500,272.2729,27357140
2000-02-07,276.5000,285.0000,276.5000,282.2500,278.1863,10233893
2000-02-08,282.2500,285.0000,234.2500,258.2500,254.5320,20918204
2000-02-09,261.0000,289.5000,253.0000,279.0000,274.9832,16350273
2000-02-10,274.5000,290.0000,273.5000,285.5000,281.3897,16238465
2000-02-11,284.0000,289.8000,265.0000,278.7500,274.7369,16173035
2000-02-14,278.0560,294.0000,270.0000,292.0000,287.7959,14361495
2000-02-15,291.0000,293.2500,273.0000,277.5000,273.5049,10382966
2000-02-16,276.0000,285.5000,267.0000,282.5000,278.4330,17169540
2000-02-17,273.2500,319.0000,272.0000,304.2500,299.8698,27168784
2000-02-18,300.0000,310.0000,288.0000,290.2500,286.0713,3525881
2000-02-21,296.7430,298.0000,275.0000,275.5000,271.5337,5343496
2000-02-22,275.5000,281.0000,252.5000,259.5000,255.7640,6580978
2000-02-23,259.5000,265.0000,252.0000,256.5000,252.8072,8622820
2000-02-24,256.2000,268.0000,256.0000,260.7500,256.9960,3824073
2000-02-25,270.0000,270.5000,256.0000,264.2500,260.4457,3952437
2000-02-28,270.0000,292.0000,263.0000,266.0000,262.1704,2252237
2000-02-29,269.5000,272.5000,255.5000,260.5000,256.7496,2572533
2000-03-01,265.0000,270.5000,260.0000,267.5000,263.6488,3990528
2000-03-02,270.0000,275.5000,253.0000,266.7500,262.9096,3502918
2000-03-03,276.5000,285.5000,261.0000,283.7500,279.6649,3816094
2000-03-06,284.5000,286.8000,267.0000,274.2500,270.3018,6433169
2000-03-07,288.0000,294.2500,259.0000,261.0000,257.2425,10472085
2000-03-08,264.0000,288.0000,243.0000,248.0000,244.4296,58791580
2000-03-09,261.0000,264.0000,245.5000,252.0000,248.3720,17891094
2000-03-10,265.0000,265.0000,246.0000,249.2500,245.6616,12064095
2000-03-13,239.0000,250.0000,224.0000,234.7500,231.5367,10675728
2000-03-14,238.0000,258.0000,233.0000,257.0000,253.4820,7830346
2000-03-15,260.0000,297.0000,252.0000,289.2500,285.2906,18350388
2000-03-16,258.0000,320.2500,258.0000,314.2500,309.9484,17769612
2000-03-17,303.2000,334.0000,303.2000,318.5000,314.1400,14324870
2000-03-20,318.5000,335.0000,303.2500,323.7500,319.3184,9491339
2000-03-21,322.6250,323.3750,288.0000,299.5000,295.4003,18012100
2000-03-22,319.0000,319.0000,277.0000,287.0000,283.0714,4603519
2000-03-23,289.5000,300.5000,285.0000,292.2500,288.2496,10112011
2000-03-24,295.0000,310.0000,290.8000,301.2500,297.1264,5238632
2000-03-27,306.8000,312.0000,295.0000,300.7500,296.6333,5256894
2000-03-28,285.0000,300.0000,285.0000,292.0000,288.0028,9183877
2000-03-29,290.7000,305.0000,285.0000,298.5000,294.4139,55106680
2000-03-30,303.5000,313.0000,297.0000,311.5000,307.2361,15883050
2000-03-31,323.0000,354.5000,323.0000,345.2500,340.5241,20553012
2000-04-03,345.2500,345.2500,312.2500,326.0000,321.5375,10555822
2000-04-04,326.0000,349.0000,326.0000,339.7500,335.0993,5980564
2000-04-05,325.0000,325.0000,323.2500,323.2500,318.8252,20000
2000-04-06,328.6000,340.0000,315.0000,328.5000,324.0034,6208875
2000-04-07,327.3000,341.8000,317.0000,330.5000,325.9761,4638535
2000-04-10,309.0000,327.0000,294.0000,302.5000,298.3592,4696868
2000-04-11,299.0000,330.0000,299.0000,319.2500,314.8799,5337812
2000-04-12,320.0000,328.0000,306.0000,316.5000,312.1676,4348937
2000-04-13,315.0000,327.0000,308.5000,316.5000,312.1676,3368655
2000-04-14,313.8550,325.0000,306.0000,306.7500,302.5510,3131202
2000-04-17,305.0000,338.0000,295.0000,330.2500,325.7293,6022422
2000-04-18,322.5000,338.8000,319.5000,329.7500,325.2362,7812596
