date,open,high,low,close,adj_close,volume
2000-01-03,622.5000,622.5000,622.5000,622.5000,614.5208,0
2000-01-04,607.0000,607.0000,590.0000,596.0000,588.3604,40348880
2000-01-05,597.5000,608.0000,583.0000,596.0000,588.3604,28571116
2000-01-06,598.0000,607.0000,587.0000,602.0000,594.2836,22156052
2000-01-07,605.0000,613.8000,586.5000,597.0000,589.3478,41984936
2000-01-10,588.5000,606.0000,574.5000,579.5000,572.0721,37794644
2000-01-11,579.5000,585.0000,561.0000,569.5000,562.2005,34813720
2000-01-12,573.5000,584.0000,566.0000,570.0000,562.6940,30594150
2000-01-13,574.5000,581.0000,555.0000,570.5000,563.1876,43095676
2000-01-14,577.0000,578.5000,550.0000,553.0000,545.9116,65143312
2000-01-17,553.0000,562.0000,546.5000,550.5000,543.4437,32402000
2000-01-18,552.5000,574.5000,549.0000,556.0000,548.8730,40240612
2000-01-19,565.0000,572.8000,554.0000,562.5000,555.2901,44246508
2000-01-20,566.9000,569.0000,536.5000,543.0000,536.0394,32954232
2000-01-21,552.5000,579.0000,545.5000,562.5000,555.2901,44939468
2000-01-24,563.7000,592.5000,555.0000,576.0000,568.6169,24470320
2000-01-25,568.5000,572.0000,550.0000,561.0000,553.8093,20941718
2000-01-26,561.0000,564.5000,540.5000,555.0000,547.8862,32838588
2000-01-27,548.8000,568.0000,548.8000,556.0000,548.8730,21384432
2000-01-28,557.0000,564.5000,543.0000,555.5000,548.3795,23182232
2000-01-31,554.5000,561.0000,539.0000,544.0000,537.0272,22623496
2000-02-01,550.8000,563.5000,536.5000,546.0000,539.0013,25129392
2000-02-02,548.0000,548.0000,548.0000,548.0000,540.9756,39929784
2000-02-03,545.0000,528.0000,504.0000,525.5000,518.7644,166635504
2000-02-04,503.5000,503.5000,503.5000,503.5000,497.0461,64999616
2000-02-07,510.0000,510.0000,493.0000,498.0000,491.6167,96758456
2000-02-08,498.0000,508.0000,488.0000,495.5000,489.1489,79210392
2000-02-09,466.0000,466.0000,466.0000,466.0000,460.0267,57681280
2000-02-10,487.5000,487.5000,487.5000,487.5000,481.2515,68482176
2000-02-11,487.5000,495.0000,460.0000,479.5000,473.3537,75311928
2000-02-14,489.0000,489.0000,464.0000,481.5000,475.3283,35680052
2000-02-15,474.0000,474.0000,474.0000,474.0000,467.9243,62915520
2000-02-16,510.5000,510.5000,510.5000,510.5000,503.9564,56586520
2000-02-17,493.7000,528.0000,498.0000,506.5000,500.0078,44068156
2000-02-18,486.0000,486.0000,486.0000,486.0000,479.7703,22898008
2000-02-21,468.5000,468.5000,468.5000,468.5000,462.4948,24859272
2000-02-22,446.0000,446.0000,446.0000,446.0000,440.2831,38664624
2000-02-23,454.0000,464.0000,446.8000,458.5000,452.6545,59050376
2000-02-24,444.5000,444.5000,444.5000,444.5000,438.8329,33911156
2000-02-25,447.0000,464.0000,445.0000,462.0000,456.1098,33820636
2000-02-28,463.0000,474.5000,445.0000,461.5000,455.6161,26872200
2000-02-29,465.5000,497.0000,465.5000,487.5000,481.2849,48501060
2000-03-01,487.0000,487.0000,487.0000,487.0000,480.7912,38985456
2000-03-02,495.8000,507.0000,483.5000,501.5000,495.1063,29665120
2000-03-03,506.0000,507.0000,492.0000,494.0000,487.7019,26516540
