date,open,high,low,close,adj_close,volume
2000-01-03,173.5987,173.5987,173.5987,173.5987,171.7178,0
2000-01-04,174.8352,182.7485,168.6529,176.3189,174.4085,7460687
2000-01-05,169.3947,182.9958,169.3947,182.0066,180.0347,17492146
2000-01-06,178.0499,182.9958,178.0499,179.2864,177.3440,8036026
2000-01-07,178.0499,182.0066,173.1041,176.0716,174.1639,7893760
2000-01-10,173.1041,182.9958,168.1583,181.0174,179.0561,6169851
2000-01-11,177.0608,181.2647,174.3406,180.0283,178.0778,6813805
2000-01-12,182.9958,182.9958,171.3731,174.5879,172.6963,7218509
2000-01-13,173.5987,177.0608,163.2124,173.5987,171.7178,9880589
2000-01-14,173.1041,186.9524,173.1041,182.2539,180.2793,7995118
2000-01-17,178.6632,187.9416,174.3406,177.8027,175.8763,6081961
2000-01-18,180.0283,180.0283,173.1041,173.3514,171.4732,7134830
2000-01-19,173.1041,180.0283,173.1041,176.0716,174.1639,8622414
2000-01-20,175.3297,182.9958,175.0824,177.0608,175.1424,24089330
2000-01-21,176.0716,182.0066,175.0824,178.7918,176.8547,19961117
2000-01-24,178.5445,182.9958,176.0716,182.5012,180.5239,6935984
2000-01-25,179.0391,193.8766,179.0391,188.4362,186.3946,22955165
2000-01-26,183.2431,189.6727,182.5012,186.4579,184.4377,8063695
2000-01-27,188.6835,188.6835,163.2124,187.1997,185.1715,3608428
2000-01-28,197.8333,197.8333,173.1041,183.7377,181.7470,4510127
2000-01-31,185.7160,191.8983,178.5445,186.7052,184.6823,7298493
2000-02-01,186.7052,189.9199,182.9958,186.7052,184.6823,9987219
2000-02-02,187.1997,187.1997,181.0174,181.5120,179.5454,13556113
2000-02-03,181.0174,184.9741,178.0499,182.7485,180.7685,13849561
2000-02-04,185.9633,185.9633,168.1583,179.5337,177.5885,13636158
2000-02-07,182.8375,184.7268,178.0499,183.2431,181.2578,6724858
2000-02-08,183.2431,187.9416,178.0499,182.2539,180.2793,18841882
2000-02-09,182.2539,184.9741,177.0608,178.2972,176.3654,13573918
2000-02-10,185.9633,185.9633,176.0716,177.0608,175.1424,54432914
2000-02-11,180.0283,180.0283,167.1691,171.3731,169.5164,19157698
2000-02-14,173.6284,175.3297,168.1583,171.3731,169.5164,9721567
2000-02-15,172.1149,184.9741,171.6204,182.5012,180.5239,42799635
2000-02-16,183.2431,187.9416,178.0499,181.7593,179.7900,11922777
2000-02-17,179.6920,183.4904,172.1149,175.5770,173.6747,11851981
2000-02-18,171.6204,182.2539,171.1258,180.5229,178.5670,10750537
2000-02-21,180.0283,184.9741,178.5445,184.2322,182.2361,15479264
2000-02-22,184.2322,192.6402,180.5229,182.2539,180.2793,25056505
2000-02-23,187.9416,187.9416,173.1041,179.0391,177.0993,9323029
2000-02-24,187.9416,192.3929,179.5337,180.0283,178.0778,17420898
2000-02-25,182.9068,212.9181,180.0283,209.9506,207.6759,47576015
2000-02-28,209.7033,214.1545,199.8116,201.7899,199.6037,17847330
2000-02-29,202.7791,211.6816,202.7791,211.4343,209.1435,25387071
2000-03-01,209.7033,230.4758,209.7033,223.5516,221.1296,13848207
2000-03-02,222.5624,227.5083,211.1870,213.6599,211.3450,19725020
2000-03-03,216.6274,227.5083,212.6708,227.5083,225.0434,7150191
2000-03-06,215.1437,260.1508,215.1437,250.5064,247.7923,14514989
2000-03-07,250.5064,254.2158,235.4216,248.2808,245.5908,29169835
2000-03-08,252.2374,255.4522,226.5191,248.2808,245.5908,20170130
2000-03-09,245.3133,251.0010,215.6383,239.1310,236.5401,12707392
2000-03-10,238.3891,250.5064,236.4108,248.5281,245.8354,18455278
2000-03-13,246.3024,264.1074,246.3024,253.7212,250.9723,15534742
2000-03-14,254.7104,263.1183,245.3133,259.9035,257.0876,31224392
2000-03-15,259.4089,272.0208,252.2374,255.9468,253.1737,19217960
2000-03-16,261.8818,261.8818,225.0354,236.6581,234.0940,12790420
2000-03-17,242.3458,249.5172,218.8531,224.5408,222.1080,14308853
2000-03-20,226.4499,247.7862,224.0462,230.2285,227.7341,16230666
2000-03-21,230.4758,249.2699,226.5191,244.8187,242.1662,17530239
2000-03-22,251.0010,251.0010,232.4541,238.1418,235.5616,10746274
2000-03-23,240.3674,242.3458,233.4433,239.1310,236.5401,6432355
2000-03-24,237.3999,251.0010,235.9162,245.3133,242.6554,5101735
2000-03-27,250.2591,256.1941,242.3458,253.4739,250.7276,7515660
2000-03-28,253.4739,255.2049,241.6039,251.7429,249.0154,4577678
2000-03-29,247.2916,257.1833,245.3133,246.0552,243.3894,16142553
2000-03-30,237.6472,243.5822,232.4541,233.1960,230.6695,10988920
2000-03-31,231.4649,239.3783,230.4758,236.9054,234.3386,15233474
2000-04-03,236.6779,241.3566,231.4649,234.6797,232.1370,11146598
2000-04-04,235.4216,239.3783,228.4974,235.1743,232.6263,10761787
2000-04-05,235.4216,254.4631,225.0354,234.9270,232.3817,7639637
2000-04-06,235.4216,235.4216,223.5516,232.4541,229.9356,16863680
2000-04-07,231.9595,237.1527,228.9920,235.4216,232.8709,29547544
2000-04-10,232.1178,249.2699,230.2285,242.5931,239.9646,17298569
2000-04-11,243.3349,250.2591,233.4433,241.3566,238.7417,15511861
2000-04-12,245.0462,247.7862,238.3891,245.5606,242.9001,14279063
2000-04-13,246.3024,249.2699,237.3999,246.3024,243.6338,20451742
2000-04-14,247.3213,249.7645,224.5408,227.2610,224.7988,7549688
2000-04-17,245.3133,245.3133,210.6924,215.8856,213.5465,11464990
2000-04-18,215.6383,235.6689,212.6708,215.6383,213.3020,12435259
2000-04-19,214.6491,237.1527,214.6491,217.6166,215.2588,15864056
2000-04-20,217.1121,226.5191,212.1762,213.9072,211.5896,5056441
2000-04-21,213.9567,213.9567,213.9567,213.9567,211.6385,0
2000-04-24,213.9567,213.9567,213.9567,213.9567,211.6385,0
2000-04-25,225.5299,229.9812,219.5949,224.2935,221.8787,13676625
2000-04-26,227.5083,233.1960,223.5516,226.7664,224.3251,11963680
2000-04-27,223.5516,239.8729,223.5516,238.1418,235.5779,15685455
2000-04-28,234.5907,237.3999,222.5624,225.5299,223.1018,12745931
2000-05-01,225.5299,225.5299,225.5299,225.5299,223.1018,0
2000-05-02,234.4324,234.4324,219.5949,227.5083,225.0590,9202378
2000-05-03,223.5516,231.9595,222.5624,229.9812,227.5052,13676006
2000-05-04,229.7339,231.4649,225.5299,227.2610,224.8143,8947735
2000-05-05,226.5191,237.8945,226.5191,228.7447,226.2820,9120743
2000-05-08,229.6746,231.7122,218.6058,227.7556,225.3036,12315939
2000-05-09,224.5408,227.7556,220.0895,223.7989,221.3895,11898940
2000-05-10,222.3152,224.0462,218.6058,222.0679,219.6771,14162700
2000-05-11,223.2054,241.1093,217.6166,237.1527,234.5995,23849566
2000-05-12,229.9812,252.2374,229.9812,232.9487,230.4408,12445545
2000-05-15,221.5733,237.1527,219.5949,226.7664,224.3251,5630434
2000-05-16,226.7664,230.6340,222.0679,229.9812,227.5052,7295747
2000-05-17,229.9812,251.9902,225.5299,245.5606,242.9169,9793205
2000-05-18,221.5733,248.7754,221.5733,239.8729,237.2904,12142273
2000-05-19,238.6364,244.3241,224.0462,231.9595,229.4622,11958737
2000-05-22,232.4541,238.3891,227.5083,235.4216,232.8871,8674205
2000-05-23,229.4866,239.3783,229.4866,238.1418,235.5779,8222687
2000-05-24,248.2808,248.2808,217.8639,228.2502,225.7928,9959702
2000-05-25,231.4649,235.4216,227.0137,232.7014,230.1961,9123825
2000-05-26,248.2808,250.5064,229.4866,245.0660,242.4277,7538483
2000-05-29,245.1154,245.1154,245.1154,245.1154,242.4765,0
2000-05-30,238.3891,252.2374,237.3999,238.3891,235.8226,26228975
2000-05-31,239.3783,244.7396,239.1310,239.3783,236.8012,10179109
2000-06-01,245.3133,245.3133,243.5427,245.3133,242.6723,3706543
2000-06-02,241.3566,246.9850,241.3566,241.3566,238.7582,6982939
2000-06-05,240.3674,243.6317,240.3674,240.3674,237.7795,8415137
2000-06-06,238.3891,251.0010,237.3999,248.7754,246.0972,13424662
2000-06-07,239.8729,248.7754,239.8729,247.7862,245.1185,12326939
2000-06-08,254.7104,254.7104,242.3458,246.3024,243.6508,4637986
2000-06-09,243.8295,247.7862,229.7339,237.3999,234.8440,7547988
2000-06-12,228.4974,243.8295,227.5083,228.9920,226.5267,6528826
2000-06-13,231.4649,234.4324,220.0895,222.5624,220.1663,22465156
2000-06-14,225.2827,225.5299,202.5318,222.5624,220.1663,33121110
2000-06-15,219.5949,221.0787,204.7574,219.5949,217.2308,37494301
2000-06-16,221.5733,224.0462,219.3477,222.5624,220.1663,10771430
2000-06-19,221.7414,223.5516,214.6491,221.5733,219.1879,5943919
2000-06-20,222.5624,225.5299,219.5949,222.5624,220.1663,21672053
2000-06-21,225.5299,225.5299,217.6166,222.0679,219.6771,12027758
2000-06-22,217.6166,222.5624,210.6924,210.6924,208.4241,13414543
2000-06-23,207.7249,223.0570,207.7249,219.5949,217.2308,13160911
2000-06-26,214.1545,222.5624,213.1654,220.5841,218.2093,5779698
2000-06-27,220.3368,221.0787,206.2412,207.7249,205.4885,16784291
2000-06-28,211.6816,213.6599,205.0047,212.6708,210.3812,11880497
2000-06-29,207.7249,224.5408,207.7249,213.6599,211.3597,17563289
2000-06-30,213.4127,218.8531,211.6816,218.1112,215.7630,15886506
2000-07-03,217.4287,221.5733,209.7033,217.1220,214.7845,15215361
2000-07-04,216.1329,227.0137,215.8856,223.7989,221.3895,16661193
2000-07-05,218.6058,227.0137,213.4127,217.8639,215.5184,17567470
2000-07-06,213.6599,225.0354,213.6599,224.5408,222.1234,23617096
2000-07-07,215.6383,226.5191,215.6383,222.5624,220.1663,16231783
2000-07-10,221.5733,226.0245,219.1004,225.5299,223.1018,7951200
2000-07-11,228.4974,230.4758,217.1220,218.6058,216.2523,13548664
2000-07-12,218.6058,231.2177,218.6058,227.0137,224.5697,16039736
2000-07-13,218.6058,231.7122,218.6058,224.5408,222.1234,19252705
2000-07-14,225.0354,227.5083,217.6166,224.5408,222.1234,14582934
2000-07-17,225.0354,228.4974,222.8097,227.5083,225.0590,15228968
2000-07-18,228.4974,228.7447,224.5408,226.5191,224.0804,13864700
2000-07-19,226.4004,227.5083,224.0462,225.5299,223.1018,18120131
2000-07-20,225.5299,227.5083,222.8097,223.0570,220.6556,12866439
2000-07-21,223.5516,227.2610,219.5949,227.2610,224.8143,2497741
2000-07-24,215.6383,228.2502,215.6383,227.2610,224.8143,2745287
2000-07-25,224.5902,225.5299,221.5733,225.2728,222.8475,5191168
2000-07-26,224.0462,225.2827,214.8964,225.2827,222.8573,22720507
2000-07-27,223.9671,227.5083,222.5624,223.6209,221.2134,13379187
2000-07-28,223.9671,227.2610,222.5624,224.0462,221.6341,6984866
2000-07-31,224.1352,226.5191,221.0787,223.5516,221.1449,8692188
2000-08-01,223.5516,227.5083,222.6416,225.2827,222.8573,11882087
2000-08-02,226.7664,226.7664,220.8314,225.2827,222.8573,14619046
2000-08-03,222.5624,224.0462,220.5841,223.5516,221.1449,11627149
2000-08-04,221.8206,225.2827,221.0787,224.5408,222.1234,8105119
2000-08-07,222.0679,228.9920,221.3260,223.3043,220.9002,8453875
2000-08-08,220.5841,225.2827,220.5841,223.5516,221.1449,4439818
2000-08-09,223.6802,227.5083,221.5733,226.5191,224.0804,11087956
2000-08-10,226.5191,227.5083,222.5624,223.5516,221.1449,5373797
2000-08-11,225.5299,225.5299,218.8531,222.5624,220.1663,4917755
2000-08-14,221.5733,225.5299,221.5733,225.5299,223.1018,13089564
2000-08-15,222.6317,243.8295,219.1004,233.4433,230.9301,11999638
2000-08-16,229.4866,237.8945,228.4974,233.9379,231.4193,14624920
2000-08-17,227.7556,237.3999,225.5299,228.4974,226.0375,6813998
2000-08-18,228.4974,230.4758,225.5299,229.4866,227.0159,8103237
2000-08-21,234.6797,236.9054,225.5299,232.9487,230.4408,3553385
2000-08-22,231.2177,241.3566,230.4758,230.9704,228.4838,18553563
2000-08-23,226.7664,234.4324,222.5624,225.0354,222.6127,9824533
2000-08-24,229.4866,230.4758,223.7989,227.7556,225.3036,6126627
2000-08-25,228.7447,235.6689,227.0137,229.4866,227.0159,12333755
2000-08-28,229.4866,229.4866,229.4866,229.4866,227.0159,0
2000-08-29,227.5083,231.4649,225.5299,229.9812,227.5052,3064475
2000-08-30,229.9812,232.4541,226.0245,228.4974,226.0375,8407985
2000-08-31,230.4758,230.9704,221.3260,222.5624,220.1663,12821106
2000-09-01,222.5624,226.0245,212.1762,216.6274,214.2952,12140129
2000-09-04,224.0462,228.0029,213.6599,223.5516,221.1449,17224486
2000-09-05,227.5083,234.6797,217.6166,228.4974,226.0375,12130194
2000-09-06,226.2718,230.4758,225.5299,226.5191,224.0804,9685121
2000-09-07,229.4866,236.4108,216.6274,217.1220,214.7845,21070382
2000-09-08,217.6166,226.5191,217.6166,219.5949,217.2308,10642997
2000-09-11,232.4541,232.4541,217.6957,221.0787,218.6985,6716445
2000-09-12,219.5949,227.2610,215.8856,218.6058,216.2523,12290517
2000-09-13,219.8422,220.5841,216.6274,217.8144,215.4694,19203595
2000-09-14,218.6058,220.3368,214.6491,216.6274,214.2952,9252602
2000-09-15,218.6058,221.5733,201.2954,201.2954,199.1283,9230754
2000-09-18,201.2954,216.6274,201.2954,214.1545,211.8489,6859443
2000-09-19,216.6274,217.6166,213.6599,215.6383,213.3168,7012706
2000-09-20,215.6383,217.6166,205.7466,211.4343,209.1580,3642871
2000-09-21,213.4127,216.6274,200.8008,208.7141,206.4671,20129928
