date,open,high,low,close,adj_close,volume
2000-01-03,498.0000,498.0000,498.0000,498.0000,493.8343,0
2000-01-04,495.0000,502.0000,485.0000,500.0000,495.8176,12784608
2000-01-05,500.5000,508.2500,492.0000,505.0000,500.7759,7333586
2000-01-06,505.7500,562.0000,505.5000,550.5000,545.8951,24250900
2000-01-07,548.0000,590.0000,548.0000,565.0000,560.2739,15412801
2000-01-10,568.7500,573.7500,524.0000,540.5000,535.9790,13217112
2000-01-11,542.0000,546.0000,522.0000,525.5000,521.1044,11078122
2000-01-12,533.0000,540.0000,522.0000,534.5000,530.0291,8106848
2000-01-13,527.0000,546.0000,527.0000,534.0000,529.5333,9277417
2000-01-14,532.5000,541.0000,532.5000,536.5000,532.0122,7246780
2000-01-17,536.5000,538.0000,517.0000,520.5000,516.1461,7116515
2000-01-18,525.9300,528.0000,504.0000,506.5000,502.2632,7289086
2000-01-19,517.0000,526.0000,502.0000,517.5000,513.1711,8477667
2000-01-20,513.5000,530.0000,490.0000,494.0000,489.8678,10666121
2000-01-21,505.0000,505.0000,490.0000,493.5000,489.3719,8738409
2000-01-24,500.0000,505.0000,488.0000,490.0000,485.9013,7263106
2000-01-25,489.5000,490.0000,468.0000,474.5000,470.5310,10847234
2000-01-26,460.0000,483.0000,449.0000,452.5000,448.7150,18943924
2000-01-27,460.0000,470.0000,440.0000,454.0000,450.2023,9557198
2000-01-28,453.0000,462.0000,449.0100,455.5000,451.6898,10479676
2000-01-31,485.0000,485.0000,451.5000,457.5000,453.6731,22261944
2000-02-01,457.5000,463.0000,443.0000,450.0000,446.2359,20877068
2000-02-02,454.5000,459.2500,450.0000,453.5000,449.7066,9438424
2000-02-03,456.0000,475.0000,452.0000,465.0000,461.1104,10742978
2000-02-04,469.0000,469.0000,442.0000,445.0000,441.2777,23685368
2000-02-07,448.0000,468.0000,440.0000,465.0000,461.1104,8755116
2000-02-08,465.0000,475.0000,460.0000,465.0000,461.1104,21861380
2000-02-09,465.0000,495.0000,453.0000,464.0000,460.1187,11169468
2000-02-10,463.5000,470.0000,455.0000,456.5000,452.6815,11240967
2000-02-11,464.1600,470.0000,428.5000,459.0000,455.1607,27332816
2000-02-14,439.9990,475.5000,439.9990,469.0000,465.0770,16565234
2000-02-15,468.0000,475.0000,464.0000,469.5000,465.5728,11657486
2000-02-16,470.0000,526.0000,463.5000,523.0000,518.6252,13336912
2000-02-17,485.3000,525.0000,485.3000,504.5000,500.2799,16417607
2000-02-18,502.0000,524.0000,493.0000,502.0000,497.8010,12379908
2000-02-21,512.4370,538.0000,486.0000,533.0000,528.5416,14753801
2000-02-22,533.0000,546.0000,529.5000,535.5000,531.0208,21782874
2000-02-23,535.5000,556.0000,525.0000,529.0000,524.5753,17325624
2000-02-24,531.9780,541.2200,470.0000,500.5000,496.3135,23738186
2000-02-25,498.1770,504.0000,475.2500,480.0000,475.9848,12945944
2000-02-28,484.0000,490.0000,469.5000,478.0000,474.0016,6811281
2000-02-29,475.0000,488.5000,461.5000,483.5000,479.4557,10298429
2000-03-01,472.3570,494.0000,466.0000,478.5000,474.4974,15329759
2000-03-02,477.0200,480.0000,470.7500,476.0000,472.0183,16146690
2000-03-03,473.5000,476.5000,447.0000,451.5000,447.7234,10055023
2000-03-06,453.0000,463.0000,442.7000,446.5000,442.8475,8793957
2000-03-07,443.5000,448.0000,418.5000,422.0000,418.5479,12408584
2000-03-08,435.5200,412.5000,395.5000,410.0000,406.6461,19074918
2000-03-09,412.5000,419.5000,397.0000,400.5000,397.2239,17470278
2000-03-10,405.0000,405.0000,380.0000,384.0000,380.8587,19649108
2000-03-13,384.0000,397.0000,375.0000,395.5000,392.2648,12722469
2000-03-14,384.9520,405.7500,384.9520,390.5000,387.3057,10466271
2000-03-15,391.0000,410.0000,386.0000,404.0000,400.6952,9577196
2000-03-16,397.0000,470.0000,397.0000,440.5000,436.8966,34393472
2000-03-17,456.0000,456.0000,424.0000,435.0000,431.4417,12919533
2000-03-20,435.0000,443.0000,419.0000,437.7500,434.1691,8049202
2000-03-21,434.8750,455.5000,433.0000,449.0000,445.3271,19895136
2000-03-22,447.0000,452.5000,440.0000,450.5000,446.8148,22322086
2000-03-23,450.5000,450.7500,436.0000,439.2500,435.6569,12634071
2000-03-24,440.5000,449.7500,440.5000,445.0000,441.3598,19313470
2000-03-27,449.0000,452.0000,440.0000,449.0000,445.3271,5925785
2000-03-28,447.2240,453.2500,445.5000,447.7500,444.0872,7242245
2000-03-29,451.8400,451.8400,442.0000,448.2500,444.5832,8180338
2000-03-30,460.7500,471.0000,456.0000,468.0000,464.1716,12790995
2000-03-31,467.0000,485.7500,460.0000,471.0000,467.1472,12866004
2000-04-03,471.0000,514.7500,471.0000,504.7500,500.6211,23744604
2000-04-04,504.7500,547.0000,504.7500,540.5000,536.0787,27828012
2000-04-05,526.8620,526.8620,526.8620,531.0000,526.6564,211107
2000-04-06,527.0000,527.7500,507.0000,514.5000,510.2913,17390512
2000-04-07,514.5000,518.0000,494.7500,500.5000,496.4057,15477344
2000-04-10,503.0000,517.5000,496.0000,513.7500,509.5473,8656196
2000-04-11,516.0000,545.0000,510.0000,533.2500,528.8878,19120434
2000-04-12,538.2480,549.2500,514.0000,523.7500,519.4656,16985012
2000-04-13,525.0000,559.0000,524.0000,555.7500,551.2037,19872920
2000-04-14,554.0000,560.7500,537.2500,541.5000,537.0704,27892200
2000-04-17,531.1600,531.1600,505.0000,528.2500,523.9288,12383565
2000-04-18,537.0000,562.0000,522.0000,556.2500,551.6996,22592716
2000-04-19,556.0000,561.5000,545.0000,551.2500,546.7407,12926512
2000-04-20,546.5000,548.7500,527.0000,536.5000,532.1113,12539513
2000-04-21,537.0000,537.0000,537.0000,537.0000,532.6072,0
2000-04-24,537.0000,537.0000,537.0000,537.0000,532.6072,0
2000-04-25,537.0000,555.2500,532.2500,539.2500,534.8387,18825244
2000-04-26,543.0000,556.0000,543.0000,552.7500,548.2281,21341984
2000-04-27,539.0000,556.0000,531.0000,537.2500,532.8552,8013417
2000-04-28,541.2700,541.2700,512.0000,519.5000,515.2506,9448802
2000-05-01,520.0000,520.0000,520.0000,520.0000,515.7464,0
2000-05-02,520.0000,525.0000,508.7500,514.7500,510.5393,19987350
2000-05-03,512.2500,526.0000,503.0000,522.2500,517.9777,14384557
2000-05-04,532.5000,536.0000,526.7500,534.5000,530.1279,6546353
2000-05-05,534.0000,549.5000,532.0000,540.0000,535.5828,6584386
2000-05-08,565.0000,565.0000,534.0000,543.5000,539.0540,8800064
2000-05-09,542.5000,585.0000,540.0000,583.5000,578.7267,25908272
2000-05-10,570.0000,595.0000,570.0000,589.7500,584.9258,19105418
2000-05-11,583.5000,606.0000,583.5000,604.7500,599.8030,22349560
2000-05-12,607.0000,611.5000,591.0000,595.2500,590.3808,13441547
2000-05-15,597.5000,597.5000,581.0000,583.7500,578.9748,6661843
2000-05-16,589.0000,589.0000,549.0000,552.0000,547.4845,45332828
2000-05-17,560.0000,560.0000,534.0000,539.0000,534.5910,11851395
2000-05-18,538.5000,543.5000,516.2500,529.2500,524.9207,12334128
2000-05-19,531.0000,554.0000,531.0000,546.7500,542.2772,20748036
2000-05-22,548.0000,580.0000,542.0000,557.7500,553.1877,10445316
2000-05-23,559.0000,564.0000,546.0000,553.5000,548.9725,9504382
2000-05-24,558.0000,582.0000,542.0000,576.0000,571.2883,22538850
2000-05-25,564.0000,581.0000,564.0000,567.7500,563.1055,12972385
2000-05-26,570.0000,578.1250,561.0000,570.0000,565.3373,7251086
2000-05-29,570.0000,570.0000,570.0000,570.0000,565.3373,0
2000-05-30,572.0000,575.8550,572.0000,572.0000,567.3208,8664024
2000-05-31,572.0000,572.0000,569.1300,572.0000,567.3208,9114891
2000-06-01,575.0000,575.0000,568.0200,575.0000,570.2963,6641348
2000-06-02,557.0000,585.0000,555.0000,557.0000,552.4437,14457941
2000-06-05,552.0000,555.0000,550.0000,552.0000,547.4845,10318614
2000-06-06,537.0000,566.0000,537.0000,556.7500,552.1953,13322307
2000-06-07,558.0000,566.0000,555.0000,555.2500,550.7079,7790261
2000-06-08,569.0000,576.0000,556.0000,575.0000,570.2963,8888624
2000-06-09,560.0000,585.0000,560.0000,582.7500,577.9831,9968708
2000-06-12,584.0000,599.0000,568.5000,581.0000,576.2473,5946416
2000-06-13,585.0000,604.0000,577.0000,600.0000,595.0917,13555619
2000-06-14,607.0000,607.0000,591.0000,600.0000,595.0917,12233463
2000-06-15,598.1300,613.0000,589.0000,599.0000,594.1001,11123255
2000-06-16,595.0000,607.0000,585.7500,597.0000,592.1164,10628251
2000-06-19,595.4900,596.2980,584.0000,596.0000,591.1245,5439927
2000-06-20,588.0000,598.5000,583.0000,592.0000,587.1572,7913740
2000-06-21,585.5000,606.5000,585.5000,598.0000,593.1081,11547936
2000-06-22,601.2500,610.0000,577.0000,587.0000,582.1983,14092629
2000-06-23,593.9360,595.0000,570.0000,580.0000,575.2556,9568487
2000-06-26,577.0000,590.5000,575.0000,586.5000,581.7022,4269627
2000-06-27,591.0000,594.0000,573.0000,576.0000,571.2883,8219410
2000-06-28,572.0000,589.0000,572.0000,574.0000,569.3047,5672540
2000-06-29,577.0000,590.0000,577.0000,589.0000,584.1818,14418872
2000-06-30,590.0000,593.0000,577.0000,593.0000,588.1492,7586537
2000-07-03,589.0000,605.0000,582.0000,602.0000,597.0753,5843139
2000-07-04,598.4250,607.0000,587.0000,603.0000,598.0672,7239501
2000-07-05,598.0000,624.0000,598.0000,610.0000,605.0102,16294278
2000-07-06,610.9190,630.0000,608.0000,621.5000,616.4159,16899920
2000-07-07,615.6810,621.5000,593.5000,610.5000,605.5059,23730224
2000-07-10,607.0000,610.0000,593.0000,604.5000,599.5551,10448466
2000-07-11,605.0000,612.0000,590.0000,604.0000,599.0592,17318096
2000-07-12,604.0000,617.0000,603.0000,611.5000,606.4978,23827728
2000-07-13,607.8750,615.5000,594.0000,599.0000,594.1001,42543492
2000-07-14,597.7500,604.0000,588.5000,597.0000,592.1164,16429990
2000-07-17,603.0000,617.5000,597.0000,597.0000,592.1164,38147728
2000-07-18,605.0000,609.0000,592.0000,593.5000,588.6449,17109216
2000-07-19,593.5000,600.0000,588.0000,599.0000,594.1001,7729645
2000-07-20,599.0000,599.0000,589.0000,595.0000,590.1328,12660935
2000-07-21,591.2500,594.6000,583.5000,585.5000,580.7104,7357967
2000-07-24,600.0000,601.0000,580.0000,585.5000,580.7104,6846365
2000-07-25,590.7900,595.0000,583.5000,588.5000,583.6859,4109107
2000-07-26,587.8000,593.5000,582.0000,587.0000,582.1983,17261208
2000-07-27,588.1300,594.0000,568.5000,579.5000,574.7594,7049702
2000-07-28,585.0000,585.0000,570.5000,576.0000,571.2883,5471643
2000-07-31,585.0000,587.0000,570.5000,586.0000,581.2064,4920898
2000-08-01,575.4450,593.0000,575.4450,582.0000,577.2391,5372346
2000-08-02,571.0000,598.0000,571.0000,594.5000,589.6367,13854340
2000-08-03,592.0000,602.0000,582.0000,600.0000,595.0917,8865530
2000-08-04,594.2730,610.0000,582.0000,605.0000,600.0511,13850899
2000-08-07,606.3960,610.0000,600.5000,604.5000,599.5551,7017412
2000-08-08,606.0000,608.0000,597.5000,600.0000,595.0917,16103039
2000-08-09,603.7100,610.0000,600.0000,604.0000,599.0592,7290608
2000-08-10,605.1880,609.0000,602.2500,605.5000,600.5468,5638920
2000-08-11,604.5000,609.3040,596.5000,609.0000,604.0181,18077730
2000-08-14,608.7600,625.0000,606.2500,619.0000,613.9366,9129679
2000-08-15,618.1280,633.5000,621.0000,622.0000,616.9120,18285268
2000-08-16,618.5000,623.0000,608.0000,618.5000,613.4403,9978451
2000-08-17,612.5620,622.0000,597.0000,611.0000,606.0018,12286147
2000-08-18,611.0000,616.0000,589.0000,600.0000,595.0917,13034383
2000-08-21,612.0000,615.0000,597.5000,606.0000,601.0428,7657447
2000-08-22,605.5000,612.0000,604.0000,607.5000,602.5305,6205191
2000-08-23,607.5000,608.0000,595.0000,603.0000,598.0672,5745721
2000-08-24,592.0000,600.0000,582.0000,587.0000,582.1983,11598272
2000-08-25,596.5000,600.0000,577.0000,587.0000,582.1983,4592336
2000-08-28,587.0000,587.0000,587.0000,587.0000,582.1983,0
2000-08-29,589.0000,594.5000,578.0000,585.0000,580.2146,8400668
2000-08-30,585.6670,598.0000,585.0000,598.0000,593.1081,14693217
2000-08-31,598.0000,598.0000,584.0000,588.0000,583.1900,12310659
2000-09-01,588.0000,593.5000,573.5000,577.0000,572.2800,11557673
2000-09-04,577.0000,580.0000,567.5000,569.5000,564.8414,15781623
2000-09-05,573.0000,573.2500,552.0000,560.0000,555.4189,19867098
2000-09-06,558.3300,584.0000,558.3300,568.5000,563.8496,23938232
2000-09-07,574.5000,587.0000,568.0000,584.5000,579.7188,9275861
2000-09-08,585.0000,597.5000,576.0000,589.5000,584.6779,10592815
2000-09-11,593.5000,594.0000,565.5000,587.0000,582.1983,8929332
2000-09-12,588.7800,595.0000,583.5000,585.0000,580.2146,11309979
2000-09-13,590.0000,590.0000,580.5000,583.0000,578.2308,6388039
2000-09-14,584.5250,590.0000,580.2500,582.5000,577.7352,7041878
2000-09-15,592.0000,592.0000,571.0000,581.0000,576.2473,14241491
2000-09-18,576.0000,585.5000,572.7500,581.0000,576.2473,6911598
2000-09-19,576.2500,582.0000,572.0000,577.0000,572.2800,12058089
2000-09-20,579.0000,589.0000,574.5000,585.5000,580.7104,12855351
2000-09-21,580.0000,599.0000,577.0000,588.0000,583.1900,14030886
2000-09-22,581.2500,594.0000,580.0000,592.5000,587.6531,9424893
2000-09-25,589.4500,596.5000,586.5000,592.0000,587.1572,7826407
2000-09-26,592.1020,597.0000,587.5000,591.0000,586.1653,8004742
2000-09-27,591.0000,605.0000,584.0000,599.0000,594.1001,14785750
2000-09-28,599.0000,604.0000,594.0000,602.0000,597.0753,9402017
2000-09-29,601.0000,605.0000,601.0000,604.5000,599.5551,11631137
2000-10-02,604.5000,611.0000,600.0000,607.0000,602.0345,29223612
2000-10-03,606.8350,613.0000,603.0000,611.0000,606.0018,12060576
2000-10-04,610.0000,612.5000,603.0000,604.5000,599.5551,12377696
2000-10-05,601.5000,613.0000,601.0000,610.0000,605.0102,10477718
2000-10-06,613.0000,629.0000,602.5000,625.5000,620.3833,14970795
2000-10-09,618.0000,621.0000,610.5000,615.0000,610.0919,11494541
2000-10-10,619.0000,626.0000,610.0000,623.5000,618.5243,27004712
2000-10-11,619.0500,646.5000,605.0000,634.0000,628.9402,37433512
2000-10-12,630.5000,641.3300,622.0000,633.0000,627.9485,23466380
2000-10-13,626.0000,635.5000,614.0000,631.0000,625.9644,16857144
2000-10-16,626.0000,639.0000,624.5000,632.0000,626.9565,22841874
2000-10-17,631.0000,646.0000,627.0000,644.0000,638.8606,14283317
2000-10-18,639.4300,674.0000,637.0000,661.5000,656.2210,26775862
2000-10-19,663.5820,665.4170,645.5000,650.0000,644.8127,10791823
2000-10-20,649.5000,650.5000,625.0000,635.0000,629.9323,18889734
2000-10-23,639.5000,639.5000,627.0000,633.0000,627.9485,5033112
2000-10-24,632.4900,634.5000,617.0000,619.5000,614.5562,15531904
2000-10-25,625.0500,637.0000,617.0000,630.0000,624.9724,12589585
2000-10-26,630.0000,647.0000,627.5000,645.0000,639.8527,6933607
2000-10-27,645.0000,648.0000,624.0000,632.5000,627.4525,10913742
2000-10-30,635.5500,648.0000,625.0000,644.5000,639.3569,10375714
2000-10-31,644.5000,654.0000,643.5000,650.5000,645.3088,11576770
2000-11-01,650.7490,663.0000,649.0000,658.0000,652.7490,10578811
2000-11-02,655.0000,676.0000,653.0000,672.0000,666.6370,10235327
2000-11-03,672.0000,682.0000,665.0000,677.5000,672.0934,10077092
2000-11-06,673.0000,684.5000,671.0000,679.5000,674.0773,4888553
2000-11-07,678.6110,685.5000,661.2500,676.5000,671.1014,7688142
2000-11-08,671.0000,682.0000,636.0000,660.0000,654.7329,11348212
2000-11-09,664.9380,676.0000,658.0000,670.0000,664.6528,5149400
2000-11-10,664.5000,674.0000,660.0000,671.5000,666.1411,4852221
2000-11-13,661.0000,685.0000,661.0000,682.5000,677.0532,7558077
2000-11-14,682.5000,699.5000,673.0000,693.0000,687.4695,12491921
2000-11-15,681.1250,701.5000,681.1250,695.0000,689.4536,11912666
2000-11-16,695.2500,700.0000,687.5000,698.0000,692.4296,12099373
2000-11-17,692.0000,712.0000,692.0000,709.5000,703.8381,8885935
2000-11-20,706.7480,716.5000,705.0000,714.0000,708.3020,11048689
2000-11-21,717.5000,719.5000,706.0000,707.5000,701.8538,12220239
2000-11-22,709.5000,711.5000,700.0000,700.0000,694.4138,5535971
2000-11-23,706.1910,706.1910,686.2500,691.0000,685.4857,8489912
2000-11-24,685.0000,685.6000,680.0000,680.5000,675.0695,2677179
2000-11-27,688.0000,697.0000,678.0000,686.5000,681.0215,6898166
2000-11-28,687.1250,704.0000,683.0000,702.5000,696.8936,11336768
2000-11-29,696.5850,708.5000,695.0000,708.5000,702.8458,13794538
2000-11-30,703.0830,735.0000,703.0830,732.0000,726.1581,15554066
2000-12-01,732.0000,735.0000,715.0000,723.0000,717.2299,45963904
2000-12-04,725.7500,730.0000,708.5000,729.0000,723.1821,17225292
2000-12-05,727.0000,733.0000,711.0000,715.0000,709.2941,16056615
2000-12-06,715.0000,715.0000,648.0000,662.0000,656.7171,26101016
2000-12-07,665.0000,674.0000,645.0000,655.0000,649.7728,14344846
2000-12-08,655.0000,673.5000,646.0000,650.0000,644.8127,8516473
2000-12-11,650.0000,670.0000,647.0000,667.0000,661.6769,13126405
2000-12-12,659.6690,679.5000,659.6690,678.0000,672.5894,11977470
2000-12-13,679.5000,690.0000,666.0000,667.0000,661.6769,16233253
2000-12-14,669.0000,692.0000,669.0000,686.5000,681.0215,18596708
2000-12-15,690.0000,710.0000,684.0000,700.5000,694.9099,21817544
2000-12-18,700.7910,726.0000,700.7910,716.5000,710.7823,12078736
2000-12-19,716.5000,728.0000,710.0000,711.0000,705.3259,13974899
2000-12-20,714.5000,714.5000,669.0000,687.0000,681.5176,21164996
2000-12-21,685.4000,729.0000,673.0000,725.0000,719.2144,14350058
2000-12-22,725.0000,729.5000,706.0000,725.0000,719.2144,5967035
2000-12-25,725.0000,725.0000,725.0000,725.0000,719.2144,0
2000-12-26,725.0000,725.0000,725.0000,725.0000,719.2144,0
2000-12-27,712.2500,743.0000,712.0000,740.5000,734.5906,6379729
2000-12-28,738.0000,746.0000,733.0000,742.5000,736.5746,6283240
2000-12-29,724.0000,750.0000,721.0000,750.0000,744.0150,2399358
2001-01-01,750.0000,750.0000,750.0000,750.0000,744.0150,0
2001-01-02,741.0000,755.0000,741.0000,749.0000,743.0229,8665501
2001-01-03,740.0000,744.0000,716.0000,716.0000,710.2859,11867912
2001-01-04,732.2140,739.4600,659.0000,670.0000,664.6528,18117536
2001-01-05,662.0000,674.0000,647.5000,666.0000,660.6849,16708125
2001-01-08,656.2470,677.5000,656.0000,667.0000,661.6769,9947576
2001-01-09,667.0000,673.0000,638.0000,647.0000,641.8367,20520400
2001-01-10,655.7300,655.7300,636.0000,650.0000,644.8127,16242859
2001-01-11,649.0000,661.0000,649.0000,653.0000,647.7889,23316472
2001-01-12,652.0000,675.0000,648.0000,665.5000,660.1891,24425170
2001-01-15,668.4900,679.0000,665.5000,673.0000,667.6291,6724245
2001-01-16,678.0000,685.0000,663.0000,676.0000,670.6054,16662990
2001-01-17,686.0000,688.5000,669.0000,677.0000,671.5974,15537358
2001-01-18,680.0000,680.0000,662.0000,669.0000,663.6612,12002620
2001-01-19,666.5000,674.0000,648.0000,650.0000,644.8127,20064606
2001-01-22,647.0000,677.0000,647.0000,671.5000,666.1411,10284170
2001-01-23,654.2500,684.0000,654.2500,664.5000,659.1970,9523107
2001-01-24,674.1840,674.1840,639.0000,642.0000,636.8765,14644741
2001-01-25,651.8410,653.0000,615.0000,643.5000,638.3647,26003384
2001-01-26,648.5000,662.0000,640.0000,650.0000,644.8127,16537664
2001-01-29,648.5000,656.0000,630.5000,653.0000,647.7889,11425574
2001-01-30,650.0000,658.0000,647.0000,653.0000,647.7889,10590537
2001-01-31,654.6000,663.0000,651.0000,657.5000,652.2529,6986291
2001-02-01,657.5000,662.0000,646.0000,654.5000,649.2769,8550079
2001-02-02,648.0000,675.0000,648.0000,655.0000,649.7728,10704071
2001-02-05,655.7500,676.0000,653.5000,674.0000,668.6211,13058206
2001-02-06,676.0000,678.5000,669.0000,675.0000,669.6132,9852276
2001-02-07,679.0000,682.0000,670.5000,680.0000,674.5734,12161363
2001-02-08,677.0000,696.5000,677.0000,690.0000,684.4935,12798478
2001-02-09,688.5000,702.0000,682.0000,701.0000,695.4058,7747719
2001-02-12,695.0000,705.7000,682.0000,704.0000,698.3818,13183173
2001-02-13,704.5000,704.5000,693.0000,704.5000,698.8779,15582683
2001-02-14,704.0000,723.0000,699.0000,718.0000,712.2700,10657370
2001-02-15,718.0000,728.0000,675.0000,682.5000,677.0532,24409324
