date,open,high,low,close,adj_close,volume
2011-05-19,548.0000,559.1600,528.9400,530.0000,526.5414,554948068
2011-05-20,530.0000,538.8900,519.0000,524.0000,520.5804,207140032
2011-05-23,518.0000,519.7800,506.0000,514.0000,510.6458,94740490
2011-05-24,520.0000,528.7220,516.0000,525.0000,521.5739,127564632
2011-05-25,520.0000,542.3800,516.0000,522.2000,518.7923,35254537
2011-05-26,525.0000,527.0890,518.8200,521.5000,518.0970,24024582
2011-05-27,524.9000,525.5070,521.6000,523.7000,520.2824,25700260
2011-05-31,530.2000,531.5000,522.5000,531.1000,527.6343,64817478
2011-06-01,529.0000,529.1000,510.5000,513.9000,510.5464,20835008
2011-06-02,510.0000,514.1000,500.2000,510.9000,507.5660,14135769
2011-06-03,512.0000,512.0000,504.0000,505.0000,501.7046,16160474
2011-06-06,505.0000,520.9000,504.0000,515.0000,511.6393,12717271
2011-06-07,516.7000,522.0000,513.2000,520.2000,516.8052,4487809
2011-06-08,520.0000,520.0000,509.4000,511.5000,508.1621,11826257
2011-06-09,510.0000,519.0000,507.9800,515.0000,511.6393,15543375
2011-06-10,516.0000,524.5000,508.9000,509.4000,506.0758,10524615
2011-06-13,510.0000,527.1000,506.6000,523.4000,519.9847,12358981
2011-06-14,518.8000,518.9000,500.0000,500.0000,496.7371,33105516
2011-06-15,494.0000,495.0000,472.3000,473.0000,469.9134,28388708
2011-06-16,465.0000,476.9500,452.3000,475.8000,472.6950,24314536
2011-06-17,478.9500,486.9500,465.3500,482.0000,478.8546,13716036
2011-06-20,475.0000,481.7000,467.4000,479.1500,476.0231,9030054
2011-06-21,480.0000,496.1000,479.9000,495.1500,491.9188,5173658
2011-06-22,498.5500,498.5500,486.1000,490.0000,486.8023,8438214
2011-06-23,485.4000,486.0000,460.1000,466.6500,463.6047,11705677
2011-06-24,473.9500,483.3000,469.0000,471.0000,467.9265,7536031
2011-06-27,470.8000,480.0000,470.8000,475.5500,472.4466,2701912
2011-06-28,479.0000,490.5000,475.4000,486.3500,483.1762,6654078
2011-06-29,496.0000,497.8300,485.0500,486.5500,483.3750,13126747
2011-06-30,491.9000,493.3000,480.0500,491.0000,487.7958,9360900
2011-07-01,491.0000,492.7300,478.2500,489.0000,485.8090,7697710
2011-07-04,488.0500,489.9500,480.0500,481.0500,477.9108,4003960
2011-07-05,480.0000,487.6000,480.0000,486.0000,482.8284,4653748
2011-07-06,486.9000,494.7000,482.7000,494.2000,490.9751,5939525
2011-07-07,496.8500,509.0000,493.6000,503.0000,499.7176,7384637
2011-07-08,505.9000,509.0000,497.2000,497.2000,493.9555,8827477
2011-07-11,494.4000,499.6000,488.5000,490.5000,487.2992,7708581
2011-07-12,484.1500,499.5170,478.6000,495.8500,492.6142,8505787
2011-07-13,498.3500,504.5000,494.0000,500.4000,497.1345,5473460
2011-07-14,495.0000,497.7000,490.1000,492.0000,488.7894,3315584
2011-07-15,490.0000,498.2500,485.5500,496.9000,493.6573,3072778
2011-07-18,490.1500,495.5500,486.1500,488.0000,484.8155,5641251
2011-07-19,488.9500,491.2000,485.0000,488.3000,485.1134,5009119
2011-07-20,490.2000,491.4500,479.3000,482.0000,478.8546,6363028
2011-07-21,485.0000,485.0000,470.3000,480.0000,476.8676,10137530
2011-07-22,480.0000,487.5000,474.5000,480.3500,477.2153,4834597
2011-07-25,475.3000,488.8000,475.2000,484.3500,481.1893,2678012
2011-07-26,483.0000,485.0500,476.4000,480.0000,476.8676,2898232
2011-07-27,477.3000,480.0500,474.2500,477.6500,474.5330,4684175
2011-07-28,473.2000,476.5000,470.4000,476.4500,473.3408,5108763
2011-07-29,472.6000,480.5000,470.2000,475.7000,472.5957,5347773
2011-08-01,482.5000,482.5000,470.7500,473.0500,469.9629,4508882
2011-08-02,471.0000,475.4000,454.8000,458.4500,455.4583,9777761
2011-08-03,452.0000,456.6500,423.1000,426.3500,423.5677,15038394
2011-08-04,434.5000,440.0000,390.1000,391.0000,388.4483,16691019
2011-08-05,381.0000,430.0000,375.8000,408.4000,405.7348,19564232
2011-08-08,400.1000,414.7000,376.5000,380.4500,377.9673,13988315
2011-08-09,384.6500,398.8500,352.5000,378.9500,376.4771,18646792
2011-08-10,389.0000,396.2000,354.0000,363.0000,360.6312,12955416
2011-08-11,376.0000,385.9000,355.4000,382.7000,380.2026,17418624
2011-08-12,382.7500,410.9750,374.9000,406.7000,404.0460,9947444
2011-08-15,411.0000,412.9050,397.0000,407.1000,404.4434,3599785
2011-08-16,405.0000,405.0000,385.0000,396.0000,393.4158,4871532
