date,open,high,low,close,adj_close,volume
2000-01-03,1762.8760,1762.8760,1762.8760,1762.8760,1737.4958,0
2000-01-04,1737.6921,1737.6921,1687.3242,1702.4344,1677.9246,6026843
2000-01-05,1698.4052,1717.5449,1644.0078,1699.4125,1674.9451,4990870
2000-01-06,1698.4052,1733.6626,1667.1770,1681.2800,1657.0743,4118634
2000-01-07,1677.2506,1761.8687,1662.1403,1741.7216,1716.6460,12573601
2000-01-10,1739.4045,1803.6740,1768.9200,1773.9569,1748.4174,7111032
2000-01-11,1773.9569,1803.1703,1738.6993,1786.0452,1760.3312,8944832
2000-01-12,1759.8539,1830.3690,1758.8466,1802.1628,1776.2168,8600809
2000-01-13,1743.7362,1804.9836,1636.9563,1752.8024,1727.5671,7368436
2000-01-14,1843.4646,1929.0900,1783.0232,1831.3763,1805.0100,20227062
2000-01-17,1862.6044,1889.8031,1725.6038,1744.7437,1719.6248,25241201
2000-01-18,1762.8760,1772.9496,1681.2800,1703.4419,1678.9172,12158148
2000-01-19,1670.1991,1756.8319,1648.5409,1722.5817,1697.7816,16276004
2000-01-20,1729.6332,1762.8760,1672.2137,1685.3094,1661.0457,13001308
2000-01-21,1712.5081,1699.4125,1647.0299,1664.1549,1640.1960,7219181
2000-01-24,1662.1403,1688.3315,1581.5516,1587.5957,1564.7388,6373368
2000-01-25,1596.6620,1602.2024,1541.2573,1546.2941,1524.0317,10923936
2000-01-26,1571.4780,1596.6620,1526.1469,1552.3383,1529.9893,18546043
2000-01-27,1584.5737,1607.7429,1546.2941,1578.5295,1555.8032,12261943
2000-01-28,1611.7723,1649.0446,1568.4561,1641.9930,1618.3531,9460046
2000-01-31,1602.7061,1667.1770,1590.6178,1597.6693,1574.6674,5816185
2000-02-01,1634.0349,1656.0961,1539.2426,1586.5884,1563.7463,6660950
2000-02-02,1591.6252,1640.9857,1566.4412,1635.9489,1612.3959,7287649
2000-02-03,1658.1108,1674.2285,1596.6620,1608.7502,1585.5889,6522178
2000-02-04,1613.7871,1626.8827,1511.0366,1550.3235,1528.0034,7652825
2000-02-07,1541.2573,1572.4854,1485.8525,1516.0734,1494.2460,9379684
2000-02-08,1516.0734,1556.3677,1480.8158,1533.1984,1511.1244,11083489
2000-02-09,1533.1984,1612.7797,1528.9675,1574.5001,1551.8315,9201920
2000-02-10,1574.5001,1658.6145,1546.2941,1570.4707,1547.8602,8752575
2000-02-11,1588.2002,1588.2002,1486.8600,1538.2352,1516.0892,11236316
2000-02-14,1531.1837,1536.2205,1465.2018,1512.0439,1490.2740,5868993
2000-02-15,1503.9851,1566.4412,1498.9482,1520.1028,1498.2169,10234817
2000-02-16,1530.2771,1543.2720,1419.3669,1469.7349,1448.5750,14498890
2000-02-17,1606.7355,1606.7355,1465.7054,1482.8304,1461.4825,18027764
2000-02-18,1500.9630,1521.1101,1454.6245,1481.8232,1460.4893,9720425
2000-02-21,1493.4078,1516.0734,1447.5730,1459.6613,1438.6464,14642919
2000-02-22,1491.8969,1491.8969,1438.5068,1450.5951,1429.7104,12005858
2000-02-23,1450.5951,1476.7864,1423.9001,1462.6833,1441.6243,15402261
2000-02-24,1460.6687,1511.0366,1460.6687,1496.9336,1475.3816,10222371
2000-02-25,1496.9336,1528.1616,1473.7643,1520.1028,1498.2169,7880105
2000-02-28,1511.0366,1536.2205,1484.8453,1508.0145,1486.5721,7579837
2000-02-29,1521.1101,1536.2205,1463.6907,1529.1689,1507.4263,9060356
2000-03-01,1624.8680,1624.8680,1544.2794,1615.8018,1592.8271,11338381
2000-03-02,1601.6989,1626.8827,1588.6031,1598.6768,1575.9454,8994997
