date,open,high,low,close,adj_close,volume
2000-01-03,752.0488,752.0488,752.0488,752.0488,742.4243,0
2000-01-04,727.6486,739.8487,707.6056,716.7557,707.5829,12926125
2000-01-05,688.4340,701.5056,673.6196,690.1769,681.3441,17334322
2000-01-06,671.0053,674.4911,654.4481,667.5196,658.9765,13791134
2000-01-07,687.5626,687.5626,666.6481,672.7482,664.1385,12760178
2000-01-10,697.1484,697.1484,671.4410,675.7982,667.1495,10031743
2000-01-11,675.3625,676.8875,650.0909,654.4481,646.0723,19844154
2000-01-12,659.6767,669.2625,644.8623,666.6481,658.1165,9566874
2000-01-13,668.3910,671.0053,651.8337,662.7267,654.2451,10933194
2000-01-14,666.6481,666.6481,655.3195,662.2910,653.8151,13560586
2000-01-17,662.2910,667.0839,654.0123,659.2409,650.8041,9523555
2000-01-18,663.3803,663.5981,647.0408,649.6552,641.3409,8731964
2000-01-19,641.3765,643.1194,615.2335,631.3550,623.2750,24466841
2000-01-20,633.9693,636.1479,600.4190,603.0334,595.3157,16152600
2000-01-21,610.0048,640.5051,601.2905,630.0479,621.9847,19509936
2000-01-24,630.0479,643.1194,620.4621,624.8192,616.8232,14524001
2000-01-25,626.1264,626.1264,610.0048,614.3620,606.4995,10373881
2000-01-26,618.7192,630.9193,612.6191,627.4335,619.4033,8143968
2000-01-27,634.4050,662.2910,631.7907,652.2695,643.9217,24200300
2000-01-28,658.8052,660.1124,636.1479,640.0694,631.8776,11658206
2000-01-31,633.5336,640.5051,625.6907,630.4836,622.4146,14705365
2000-02-01,630.9193,643.5551,619.5906,625.6907,617.6830,13425876
2000-02-02,631.7907,635.2765,620.4621,621.7692,613.8121,10686883
2000-02-03,635.2765,649.2194,629.1764,639.6336,631.4476,15070354
2000-02-04,643.1194,643.1194,603.9048,607.3905,599.6171,18880061
2000-02-07,619.5227,623.0764,603.0334,609.5691,601.7679,15914133
2000-02-08,609.5691,630.0479,609.5691,624.3835,616.3929,27301112
2000-02-09,624.3835,648.3480,619.5906,621.7692,613.8121,16616054
2000-02-10,625.4467,630.9193,610.0048,613.0549,605.2092,20251599
2000-02-11,614.8849,638.7622,594.3190,596.0619,588.4335,41911716
2000-02-14,606.3256,614.7977,596.9333,601.7262,594.0252,34157908
2000-02-15,600.8548,623.0764,600.8548,616.9763,609.0804,22176878
2000-02-16,631.3550,657.9338,631.3550,654.0123,645.6424,25271628
2000-02-17,648.8988,667.5196,636.1479,656.1909,647.7935,19077915
2000-02-18,640.9408,644.8623,622.6407,625.2550,617.2531,12896226
2000-02-21,635.2765,643.9908,610.4406,613.4906,605.6393,20436338
2000-02-22,616.9763,623.9478,591.7047,593.8833,586.2828,27328267
2000-02-23,601.7262,619.5906,601.7262,614.7977,606.9292,26345909
2000-02-24,624.8192,646.6051,624.8192,625.6907,617.6830,17080891
2000-02-25,629.1180,637.8908,614.3620,630.0479,621.9847,12316219
2000-02-28,628.7407,636.1479,609.1334,627.4335,619.4033,23380067
2000-02-29,623.0764,648.7837,623.0764,642.6837,634.4588,21133964
2000-03-01,644.8623,644.8623,620.4621,626.9978,618.9733,21056639
2000-03-02,631.9084,631.9084,608.6977,616.9763,609.0804,12969887
2000-03-03,623.0764,623.0764,600.4190,614.7977,606.9292,13884107
2000-03-06,617.6299,621.3335,598.6762,599.9833,592.3047,18975799
2000-03-07,599.9833,614.3620,596.9333,599.9833,592.3047,17865187
2000-03-08,610.0048,625.2550,610.0048,612.1834,604.3489,30884652
