date,open,high,low,close,adj_close,volume
2000-01-03,368.7720,368.7720,368.7720,368.7720,363.5910,0
2000-01-04,357.2026,357.2026,357.2026,357.2026,352.1842,1995078
2000-01-05,374.9182,374.9182,374.9182,374.9182,369.6509,2382474
2000-01-06,404.9261,404.9261,404.9261,404.9261,399.2373,3734947
2000-01-07,407.8184,407.8184,407.8184,407.8184,402.0890,4349900
2000-01-10,413.9646,413.9646,413.9646,413.9646,408.1488,3306256
2000-01-11,394.0798,394.0798,394.0798,394.0798,388.5433,3881087
2000-01-12,399.8645,399.8645,399.8645,399.8645,394.2467,1095360
2000-01-13,409.6261,409.6261,409.6261,409.6261,403.8711,643662
2000-01-14,398.4183,398.4183,398.4183,398.4183,392.8209,2299204
2000-01-17,411.0723,411.0723,411.0723,411.0723,405.2970,3550502
2000-01-18,403.8415,403.8415,403.8415,403.8415,398.1679,488983
2000-01-19,383.2336,383.2336,383.2336,383.2336,377.8496,1909984
2000-01-20,366.2412,366.2412,366.2412,366.2412,361.0959,2077344
2000-01-21,362.2642,362.2642,362.2642,362.2642,357.1747,1086910
2000-01-24,361.9027,361.9027,361.9027,361.9027,356.8184,2075973
2000-01-25,357.9257,357.9257,357.9257,357.9257,352.8972,1947280
2000-01-26,359.0103,359.0103,359.0103,359.0103,353.9665,884648
2000-01-27,347.0795,347.0795,347.0795,347.0795,342.2033,2353682
2000-01-28,335.1486,335.1486,335.1486,335.1486,330.4400,6685842
2000-01-31,326.1101,326.1101,326.1101,326.1101,321.5285,677707
2000-02-01,310.5638,310.5638,310.5638,310.5638,306.2006,6006003
2000-02-02,304.0561,304.0561,304.0561,304.0561,299.7844,2653546
2000-02-03,291.7637,291.7637,291.7637,291.7637,287.6647,2281961
2000-02-04,278.3867,278.3867,278.3867,278.3867,274.4756,6340332
2000-02-07,287.7867,287.7867,287.7867,287.7867,283.7434,2892092
2000-02-08,291.7637,291.7637,291.7637,291.7637,287.6647,5925430
2000-02-09,292.8483,292.8483,292.8483,292.8483,288.7339,7016441
2000-02-10,310.5638,310.5638,310.5638,310.5638,306.2006,1349760
2000-02-11,306.2253,306.2253,306.2253,306.2253,301.9233,3742565
2000-02-14,300.8022,300.8022,300.8022,300.8022,296.5763,2808944
2000-02-15,298.2714,298.2714,298.2714,298.2714,294.0810,3706798
2000-02-16,312.0100,312.0100,312.0100,312.0100,307.6266,5791051
2000-02-17,324.3024,324.3024,324.3024,324.3024,319.7462,4047912
2000-02-18,321.0485,321.0485,321.0485,321.0485,316.5381,3955021
2000-02-21,311.2869,311.2869,311.2869,311.2869,306.9135,2514217
2000-02-22,304.0561,304.0561,304.0561,304.0561,299.7844,4377093
2000-02-23,313.8177,313.8177,313.8177,313.8177,309.4088,564249
2000-02-24,297.9099,297.9099,297.9099,297.9099,293.7246,1759214
2000-02-25,297.1868,297.1868,297.1868,297.1868,293.0115,831548
2000-02-28,292.4868,292.4868,292.4868,292.4868,288.3775,472632
2000-02-29,302.9715,302.9715,302.9715,302.9715,298.7150,1010333
2000-03-01,326.8332,326.8332,326.8332,326.8332,322.2415,3856162
2000-03-02,320.3254,320.3254,320.3254,320.3254,315.8251,2465250
2000-03-03,303.6945,303.6945,303.6945,303.6945,299.4279,3099461
2000-03-06,317.7947,317.7947,317.7947,317.7947,313.3300,3287949
2000-03-07,317.7947,317.7947,317.7947,317.7947,313.3300,1489277
2000-03-08,309.4792,309.4792,309.4792,309.4792,305.1313,2462099
2000-03-09,316.3485,316.3485,316.3485,316.3485,311.9040,3292056
2000-03-10,319.6024,319.6024,319.6024,319.6024,315.1122,4634975
2000-03-13,318.1562,318.1562,318.1562,318.1562,313.6864,1226271
2000-03-14,324.6639,324.6639,324.6639,324.6639,320.1027,1628445
2000-03-15,339.8487,339.8487,339.8487,339.8487,335.0741,2004489
2000-03-16,366.2412,366.2412,366.2412,366.2412,361.0959,4917222
2000-03-17,360.0950,360.0950,360.0950,360.0950,355.0359,8226527
2000-03-20,349.9718,349.9718,349.9718,349.9718,345.0550,1305671
2000-03-21,364.4335,364.4335,364.4335,364.4335,359.3136,2052085
2000-03-22,346.5733,346.5733,346.5733,346.5733,341.7043,1343172
2000-03-23,345.1272,345.1272,345.1272,345.1272,340.2784,1009192
2000-03-24,342.7410,342.7410,342.7410,342.7410,337.9258,1420907
