date,open,high,low,close,adj_close,volume
2000-01-03,503.1394,503.1394,503.1394,503.1394,497.6342,0
2000-01-04,471.6323,471.6323,471.6323,471.6323,466.4718,21285517
2000-01-05,470.9826,470.9826,470.9826,470.9826,465.8292,26030803
2000-01-06,455.3915,455.3915,455.3915,455.3915,450.4087,43870695
2000-01-07,439.4755,439.4755,439.4755,439.4755,434.6668,38938371
2000-01-10,451.8185,451.8185,451.8185,451.8185,446.8747,35443185
2000-01-11,431.3551,431.3551,431.3551,431.3551,426.6353,31577451
2000-01-12,434.6033,434.6033,434.6033,434.6033,429.8479,61905750
2000-01-13,434.9281,434.9281,434.9281,434.9281,430.1691,40997890
2000-01-14,436.8770,436.8770,436.8770,436.8770,432.0967,26815223
2000-01-17,434.9281,434.9281,434.9281,434.9281,430.1691,29791539
2000-01-18,417.0632,417.0632,417.0632,417.0632,412.4998,29514619
2000-01-19,400.8224,400.8224,400.8224,400.8224,396.4367,35463741
2000-01-20,397.8991,397.8991,397.8991,397.8991,393.5454,50763134
2000-01-21,415.7640,415.7640,415.7640,415.7640,411.2149,39705976
2000-01-24,420.9610,420.9610,420.9610,420.9610,416.3550,21537691
2000-01-25,403.4210,403.4210,403.4210,403.4210,399.0070,21078021
2000-01-26,420.3114,420.3114,420.3114,420.3114,415.7124,20469942
2000-01-27,437.8514,437.8514,437.8514,437.8514,433.0605,27091952
2000-01-28,417.7129,417.7129,417.7129,417.7129,413.1424,21656809
2000-01-31,404.3954,404.3954,404.3954,404.3954,399.9705,16467473
2000-02-01,399.8480,399.8480,399.8480,399.8480,395.4730,30376499
2000-02-02,405.6947,405.6947,405.6947,405.6947,401.2557,21573120
2000-02-03,406.9939,406.9939,406.9939,406.9939,402.5406,19920865
2000-02-04,396.2750,396.2750,396.2750,396.2750,391.9391,34881584
2000-02-07,401.1473,401.1473,401.1473,401.1473,396.7580,22847098
2000-02-08,412.5158,412.5158,412.5158,412.5158,408.0021,31155645
2000-02-09,418.6873,418.6873,418.6873,418.6873,414.1062,33956086
2000-02-10,445.9718,445.9718,445.9718,445.9718,441.0921,35389502
2000-02-11,406.6691,406.6691,406.6691,406.6691,402.2195,65408408
2000-02-14,390.1035,390.1035,390.1035,390.1035,385.8351,135225360
2000-02-15,366.0672,366.0672,366.0672,366.0672,362.0619,78508775
2000-02-16,387.5050,387.5050,387.5050,387.5050,383.2651,67145941
2000-02-17,386.2057,386.2057,386.2057,386.2057,381.9800,97132330
2000-02-18,386.5306,386.5306,386.5306,386.5306,382.3012,27863030
2000-02-21,377.1109,377.1109,377.1109,377.1109,373.1006,25791590
2000-02-22,357.6220,357.6220,357.6220,357.6220,353.8189,39318781
2000-02-23,355.9979,355.9979,355.9979,355.9979,352.2121,36448706
2000-02-24,350.1512,350.1512,350.1512,350.1512,346.4277,41302851
2000-02-25,337.1586,337.1586,337.1586,337.1586,333.5732,52446009
2000-02-28,350.4760,350.4760,350.4760,350.4760,346.7490,27704715
2000-02-29,378.7350,378.7350,378.7350,378.7350,374.7075,37272845
2000-03-01,368.6657,368.6657,368.6657,368.6657,364.7451,44395861
2000-03-02,372.8883,372.8883,372.8883,372.8883,368.9229,22614583
2000-03-03,367.3664,367.3664,367.3664,367.3664,363.4598,25418860
2000-03-06,356.9723,356.9723,356.9723,356.9723,353.1761,115729698
2000-03-07,348.8519,348.8519,348.8519,348.8519,345.1422,31719673
2000-03-08,346.2534,346.2534,346.2534,346.2534,342.5713,128564093
