date,open,high,low,close,adj_close,volume
2001-07-20,392.2546,392.2546,392.2546,392.2546,390.0028,584008
2001-07-23,370.7612,393.5980,365.3879,373.9852,371.8384,3205437
2001-07-24,374.5226,374.5226,356.2532,356.7905,354.7424,790321
2001-07-25,349.2678,350.6649,333.1478,343.8945,341.9204,1381718
2001-07-26,348.1932,348.1932,340.6705,344.9691,342.9889,1381718
2001-07-27,345.3238,370.4926,344.1631,359.4772,357.4136,4392252
2001-07-30,361.6265,368.6119,360.0145,365.3879,363.2904,675531
2001-07-31,365.9252,369.2567,363.2385,368.0746,365.9618,411216
2001-08-01,369.3642,373.9852,367.5372,371.8359,369.7014,638097
2001-08-02,376.1346,390.1053,371.8359,382.5826,380.3865,638097
2001-08-03,380.4333,385.8066,380.4333,382.5826,380.3865,264738
2001-08-06,383.9259,383.9259,377.2093,379.3586,377.1810,573325
2001-08-07,380.4333,381.5079,376.1346,376.1346,373.9754,796888
2001-08-08,379.3586,386.8813,375.0599,386.8813,384.6605,698334
2001-08-09,385.8066,390.1053,381.5079,390.1053,387.8658,1213264
2001-08-10,392.2546,395.4787,389.0306,390.6426,388.4001,989064
2001-08-13,395.4787,395.4787,389.0306,395.2100,392.9413,421187
2001-08-14,394.6727,400.8520,394.6727,398.7027,396.4138,921409
2001-08-15,400.2072,401.6580,391.1800,391.1800,388.9344,884901
2001-08-16,397.6280,397.6280,392.2546,392.2546,390.0028,175931
2001-08-17,393.6517,540.4839,392.2546,397.0907,394.8112,898045
2001-08-20,406.0104,406.0104,392.2546,392.2546,390.0028,266084
2001-08-21,390.1053,400.0138,390.1053,397.6280,395.3455,1270549
2001-08-22,395.4787,400.8520,395.4787,397.6280,395.3455,1949560
2001-08-23,400.3147,400.3147,395.4787,395.4787,393.2085,1705235
2001-08-24,394.9198,396.5533,392.2546,395.4787,393.2085,845400
2001-08-27,395.4787,395.4787,395.4787,395.4787,393.2085,0
2001-08-28,396.2309,396.2309,392.2546,394.4040,392.1400,594465
2001-08-29,392.2546,392.2546,382.8513,389.0306,386.7973,957407
2001-08-30,386.8813,386.8813,381.5079,384.7319,382.5233,1266954
2001-08-31,381.5079,385.8066,380.4333,385.8066,383.5919,1280746
2001-09-03,386.8813,386.8813,383.6573,384.7319,382.5233,417679
2001-09-04,383.9259,384.7319,381.5079,384.7319,382.5233,1379341
2001-09-05,386.0430,389.2671,381.5079,381.5079,379.3179,3766009
2001-09-06,384.6890,384.6890,380.4333,380.4333,378.2495,1699526
2001-09-07,380.4333,381.5079,369.6866,370.4926,368.3659,4951038
2001-09-10,370.7612,375.0599,366.4626,369.6866,367.5645,2861530
2001-09-11,365.3879,371.8359,333.1478,338.5211,336.5777,844258
2001-09-12,349.2678,349.2678,327.7744,346.0438,344.0573,1232233
2001-09-13,354.6412,360.0145,346.0438,358.4025,356.3452,918602
2001-09-14,333.1478,363.2385,333.1478,338.5211,336.5777,2029037
2001-09-17,335.2971,335.5120,322.4011,329.9238,328.0299,1272808
2001-09-18,330.4611,330.4611,309.5050,326.6997,324.8244,2406538
2001-09-19,322.4011,324.5504,320.2517,323.7444,321.8860,1077027
2001-09-20,320.2517,320.2517,300.9077,304.1317,302.3857,823008
2001-09-21,292.5790,327.7744,269.7422,313.8037,312.0023,4789840
2001-09-24,311.6544,315.8563,311.6544,314.0724,312.2695,3000758
2001-09-25,317.0277,328.8491,314.3410,324.5504,322.6873,1301888
2001-09-26,322.4011,329.9238,319.1771,325.6251,323.7559,882758
2001-09-27,332.6104,332.6104,323.4757,330.7298,328.8312,1307624
2001-09-28,363.2385,363.2385,363.2385,363.2385,361.1533,2599327
2001-10-01,484.1691,484.1691,352.5348,355.7158,353.6738,640615
2001-10-02,348.1932,357.0269,348.1932,354.6412,352.6054,1366780
2001-10-03,354.6412,358.9399,354.6412,356.7905,354.7424,722294
2001-10-04,359.4772,359.4772,352.4918,352.4918,350.4682,1320340
2001-10-05,356.7905,356.7905,354.6412,356.7905,354.7424,286869
2001-10-08,353.5665,356.7905,352.4918,352.4918,350.4682,659252
2001-10-09,358.4025,358.4025,354.6412,354.6412,352.6054,252151
2001-10-10,479.7812,356.7905,352.4918,352.4918,350.4682,235212
2001-10-11,354.6412,357.8652,354.3725,356.7905,354.7424,760704
2001-10-12,354.6412,370.7612,354.6412,370.7612,368.6329,230287
2001-10-15,363.2385,370.7612,358.4025,370.7612,368.6329,295912
2001-10-16,372.9106,372.9106,372.9106,372.9106,370.7701,583791
2001-10-17,503.5507,503.5507,354.6412,369.9552,367.8316,1143268
2001-10-18,508.3051,375.0599,369.9552,373.4479,371.3041,230980
2001-10-19,506.1106,373.9852,370.7612,371.8359,369.7014,736321
2001-10-22,373.4479,373.4479,367.5372,370.7612,368.6329,381096
2001-10-23,500.2590,500.2590,365.3879,367.5372,365.4274,106839
2001-10-24,500.2590,373.4479,365.3879,367.5372,365.4274,1125519
2001-10-25,369.3642,372.9106,367.5372,372.3732,370.2356,334495
2001-10-26,374.8450,374.8450,374.8450,374.8450,372.6933,215555
2001-10-29,375.0599,376.6719,362.7012,362.7012,360.6192,1859895
2001-10-30,358.4025,367.5372,357.3279,367.5372,365.4274,320446
2001-10-31,368.6119,382.5826,360.0145,373.4479,371.3041,658646
2001-11-01,378.5526,380.4333,372.9106,377.2093,375.0439,270518
2001-11-02,376.1346,381.5079,370.7612,377.2093,375.0439,500700
2001-11-05,378.2839,395.4787,378.2839,389.5680,387.3318,573472
2001-11-06,397.5420,407.8374,389.5680,401.3893,399.0852,1711994
2001-11-07,544.1410,544.1410,394.4040,399.7773,397.4825,722871
2001-11-08,403.0013,414.8227,398.7027,411.5987,409.2359,1474961
2001-11-09,408.3747,411.5987,403.0013,409.4494,407.0989,1315828
2001-11-12,407.8374,407.8374,386.8813,397.8967,395.6126,116349
2001-11-13,406.7627,406.7627,398.1653,398.7027,396.4138,230014
2001-11-14,392.2546,416.9721,392.2546,408.3747,406.0305,1270020
2001-11-15,406.7627,412.1360,406.2254,408.3747,406.0305,1253601
2001-11-16,570.4705,419.1214,406.7627,419.1214,416.7154,1506707
2001-11-19,427.7188,429.5994,410.5240,429.3308,426.8663,928681
2001-11-20,424.4948,429.3308,410.5240,411.5987,409.2359,555559
2001-11-21,428.7934,428.7934,416.9721,419.1214,416.7154,523536
