date,open,high,low,close,adj_close,volume
2000-01-03,898.0324,898.0324,898.0324,898.0324,889.9238,0
2000-01-04,926.9395,960.3858,876.7701,911.8090,903.5763,7464030
2000-01-05,914.9944,922.1614,860.0469,864.0286,856.2273,4338544
2000-01-06,864.0286,902.2530,862.4360,870.3994,862.5407,6868950
2000-01-07,868.0103,887.1225,852.0835,880.7518,872.7994,4325845
2000-01-10,884.1760,911.8090,877.5664,910.2164,901.9978,5212241
2000-01-11,905.4383,905.4383,866.4177,871.9920,864.1187,4254382
2000-01-12,875.1774,883.9371,852.8799,859.2506,851.4922,5828387
2000-01-13,865.6213,867.2140,842.5275,857.6579,849.9141,2283032
2000-01-14,812.2666,876.7701,812.2666,875.1774,867.2750,3347829
2000-01-17,853.4373,890.3079,853.4373,870.3994,862.5407,2467447
2000-01-18,875.9737,914.1980,803.5068,812.2666,804.9326,6892840
2000-01-19,807.4885,889.5115,807.4885,878.3628,870.4322,8000015
2000-01-20,870.3994,891.9005,853.9151,880.7518,872.7994,11312202
2000-01-21,875.9737,887.5207,818.6373,877.5664,869.6427,10705417
2000-01-24,774.8386,900.6603,774.8386,891.1042,883.0582,3593293
2000-01-25,888.7152,888.7152,869.6030,875.9737,868.0643,8572088
2000-01-26,881.5481,918.9761,876.7701,910.2164,901.9978,8079100
2000-01-27,915.7907,950.0333,890.3079,944.4590,935.9312,5888397
2000-01-28,947.6443,963.5711,915.7907,935.6992,927.2509,12720675
2000-01-31,916.1889,929.7267,903.8456,909.4200,901.2089,9175178
2000-02-01,922.1614,922.1614,894.2896,914.1980,905.9437,6124794
2000-02-02,905.2790,922.1614,905.2790,911.0127,902.7870,7706234
2000-02-03,917.3834,923.7541,883.1408,891.9005,883.8476,15932749
2000-02-04,894.2896,895.0859,820.2300,823.4153,815.9805,11175877
2000-02-07,836.1567,836.9531,782.0056,783.5983,776.5231,7738406
2000-02-08,783.5983,805.8958,783.5983,792.3581,785.2038,18055926
2000-02-09,792.3581,820.2300,792.3581,805.8958,798.6194,10567871
2000-02-10,836.1567,836.1567,787.5800,790.7654,783.6257,5449880
2000-02-11,793.7915,793.9507,720.6875,750.9484,744.1680,20428979
2000-02-14,750.3113,812.2666,696.7973,710.3351,703.9212,10283547
2000-02-15,708.7424,745.3740,699.9826,717.5021,711.0236,10558782
2000-02-16,721.8820,800.3215,717.5021,797.1361,789.9387,15889945
2000-02-17,778.4221,804.9402,774.0422,788.3764,781.2583,14418177
2000-02-18,788.3764,815.4519,756.5228,781.2093,774.1558,8336534
2000-02-21,777.2276,816.2483,772.4496,774.0422,767.0532,12776622
2000-02-22,809.8775,809.8775,720.6875,747.7630,741.0114,6872272
2000-02-23,747.7630,786.7837,724.6692,739.7996,733.1199,21833257
2000-02-24,758.5136,758.5136,696.7973,700.7790,694.4517,10342548
2000-02-25,709.6184,736.6143,703.9643,720.6875,714.1805,10188518
2000-02-28,720.6875,732.6326,713.5204,727.0582,720.4935,9556500
2000-02-29,758.9118,759.7081,727.0582,743.7813,737.0656,6249086
2000-03-01,745.3740,812.2666,745.3740,789.9690,782.8361,9258429
2000-03-02,825.8043,825.8043,762.0971,779.6166,772.5772,3828903
2000-03-03,782.7223,820.6281,742.1887,809.8775,802.5651,4260769
2000-03-06,813.0629,813.8592,772.4496,795.5434,788.3604,5932231
2000-03-07,795.5434,809.8775,739.7996,744.5777,737.8545,4976821
2000-03-08,802.6308,745.9314,719.8911,735.0216,728.3849,5341419
2000-03-09,754.9301,754.9301,716.7058,725.4655,718.9152,3627737
2000-03-10,740.5960,758.9118,727.8545,754.9301,748.1139,3992618
2000-03-13,764.4862,801.7549,728.6509,738.2070,731.5417,5259611
2000-03-14,739.0033,764.4862,739.0033,752.5411,745.7463,5318837
2000-03-15,737.4106,756.5228,729.4472,755.7264,748.9028,5424420
2000-03-16,777.2276,812.2666,756.5228,787.5800,780.4688,6558911
2000-03-17,801.1178,801.1178,752.5411,775.6349,768.6317,6628620
2000-03-20,764.5658,788.3764,742.1887,771.6532,764.6858,2489089
2000-03-21,770.6976,780.4130,750.9484,773.2459,766.2642,10324810
2000-03-22,801.9141,801.9141,762.8935,783.9965,776.9177,10107099
2000-03-23,784.2354,796.3398,772.4496,782.4038,775.3394,5552457
2000-03-24,782.2445,789.9690,776.4313,783.2002,776.1286,10823997
2000-03-27,786.7040,786.7040,743.3832,751.3466,744.7025,6150630
2000-03-28,750.6299,762.0971,742.9850,755.3283,748.6490,6665122
2000-03-29,753.8948,781.4482,723.8728,734.2253,727.7326,5679515
2000-03-30,726.2619,784.3947,720.6875,733.8271,727.3380,4704698
2000-03-31,722.6783,772.4496,722.6783,753.7356,747.0703,3377246
2000-04-03,765.6010,792.3581,753.7356,779.2185,772.3280,4491797
2000-04-04,788.3764,856.0652,775.6349,847.3055,839.8127,11206018
2000-04-05,788.3764,847.3055,788.3764,808.2849,801.1373,1799532
2000-04-06,783.5983,804.3032,764.4862,774.8386,767.9866,7978167
2000-04-07,775.2368,802.3123,764.4862,783.2002,776.2745,4146466
2000-04-10,776.0331,787.5800,759.7081,778.4221,771.5385,2706165
2000-04-11,774.8386,804.7013,730.8806,739.0033,732.4683,4733594
2000-04-12,760.5045,795.5434,744.1795,794.3489,787.3244,6433747
2000-04-13,791.0839,801.5160,764.4862,792.7562,785.7459,4592668
2000-04-14,787.1022,788.3764,724.6692,733.4289,726.9433,14067870
2000-04-17,733.4289,733.4289,690.4266,707.5479,701.2910,14563556
2000-04-18,709.7776,736.6143,676.8888,724.2710,717.8664,10396421
2000-04-19,731.8362,748.5594,714.7149,727.0582,720.6290,9595737
2000-04-20,726.0230,750.1520,658.9711,748.5594,741.9398,2950005
2000-04-21,691.8600,691.8600,691.8600,691.8600,685.7419,0
2000-04-24,691.8600,691.8600,691.8600,691.8600,685.7419,0
2000-04-25,748.5594,805.4977,733.0307,778.0239,771.1439,3420189
2000-04-26,779.6166,782.2445,744.5777,752.5411,745.8864,2448678
2000-04-27,750.9484,779.6166,733.4289,768.4679,761.6724,3170772
2000-04-28,760.5045,796.3398,758.1154,785.1910,778.2473,3531355
2000-05-01,725.7841,725.7841,725.7841,725.7841,719.3661,0
2000-05-02,785.1910,804.7013,767.6715,784.3947,777.4586,3543437
2000-05-03,772.4496,780.6519,746.1704,756.1246,749.4383,2758815
2000-05-04,744.9758,756.9209,738.2070,751.3466,744.7025,2053649
2000-05-05,748.5594,769.2642,705.1589,733.8271,727.3380,4610476
2000-05-08,780.4130,780.4130,713.5204,726.2619,719.8398,3410971
2000-05-09,753.3374,753.3374,724.6692,744.1795,737.5987,7105501
2000-05-10,739.6404,775.6349,734.8623,748.1612,741.5452,8601404
2000-05-11,745.3740,758.1154,732.0751,750.5502,743.9130,3072101
2000-05-12,769.2642,784.3947,750.7891,772.4496,765.6189,4812287
2000-05-15,770.8569,788.3764,764.4862,785.1910,778.2473,4257133
2000-05-16,780.0944,812.2666,780.0944,793.5526,786.5354,5358056
2000-05-17,793.9507,801.1178,692.8156,774.4404,767.5920,5008523
2000-05-18,774.8386,795.5434,771.6532,782.4038,775.4849,4106930
2000-05-19,782.8020,813.8592,740.9941,790.3672,783.3779,9549721
2000-05-22,699.9826,794.7471,699.9826,752.5411,745.8864,4442558
2000-05-23,761.0619,768.4679,736.6143,751.3466,744.7025,8421985
2000-05-24,749.3557,784.6336,744.5777,774.8386,767.9866,8184926
2000-05-25,780.4130,814.0981,774.8386,800.7196,793.6389,5259561
