date,open,high,low,close,adj_close,volume
2000-01-03,548.9169,548.9169,548.9169,548.9169,544.5591,0
2000-01-04,562.5363,562.5363,562.5363,562.5363,558.0704,3257521
2000-01-05,547.1402,547.1402,547.1402,547.1402,542.7963,1446820
2000-01-06,532.3367,532.3367,532.3367,532.3367,528.1104,2762521
2000-01-07,528.7845,528.7845,528.7845,528.7845,524.5865,7178063
2000-01-10,581.1889,581.1889,581.1889,581.1889,576.5750,15248336
2000-01-11,607.5395,607.5395,607.5395,607.5395,602.7162,9691321
2000-01-12,582.0772,582.0772,582.0772,582.0772,577.4560,10562115
2000-01-13,576.1558,576.1558,576.1558,576.1558,571.5818,8708028
2000-01-14,592.4391,592.4391,592.4391,592.4391,587.7355,6927797
2000-01-17,586.2220,586.2220,586.2220,586.2220,581.5676,3483934
2000-01-18,581.1889,581.1889,581.1889,581.1889,576.5750,4978984
2000-01-19,579.4122,579.4122,579.4122,579.4122,574.8121,3140628
2000-01-20,575.8601,575.8601,575.8601,575.8601,571.2883,4842536
2000-01-21,572.6025,572.6025,572.6025,572.6025,568.0566,4656127
2000-01-24,587.9986,587.9986,587.9986,587.9986,583.3305,10126289
2000-01-25,579.7080,579.7080,579.7080,579.7080,575.1055,4190424
2000-01-26,597.7691,597.7691,597.7691,597.7691,593.0237,6625134
2000-01-27,598.9531,598.9531,598.9531,598.9531,594.1981,2143919
2000-01-28,592.4391,592.4391,592.4391,592.4391,587.7355,4081472
2000-01-31,590.3667,590.3667,590.3667,590.3667,585.6796,1906082
2000-02-01,575.5632,575.5632,575.5632,575.5632,570.9937,2976108
2000-02-02,560.1682,560.1682,560.1682,560.1682,555.7211,2929189
2000-02-03,590.6636,590.6636,590.6636,590.6636,585.9743,4781188
2000-02-04,593.9200,593.9200,593.9200,593.9200,589.2045,4809729
2000-02-07,586.2220,586.2220,586.2220,586.2220,581.5676,5968453
2000-02-08,609.6119,609.6119,609.6119,609.6119,604.7723,6652361
2000-02-09,734.8499,734.8499,734.8499,734.8499,729.0159,15556413
2000-02-10,749.0620,749.0620,749.0620,749.0620,743.1153,23430496
2000-02-11,730.1125,730.1125,730.1125,730.1125,724.3162,12278236
2000-02-14,703.7619,703.7619,703.7619,703.7619,698.1747,4389289
2000-02-15,696.3607,696.3607,696.3607,696.3607,690.8323,3121640
2000-02-16,734.8499,734.8499,734.8499,734.8499,729.0159,8015625
2000-02-17,740.7713,740.7713,740.7713,740.7713,734.8902,4612933
2000-02-18,735.7382,735.7382,735.7382,735.7382,729.8971,4865521
2000-02-21,732.1849,732.1849,732.1849,732.1849,726.3721,2281837
2000-02-22,698.7288,698.7288,698.7288,698.7288,693.1816,5929951
2000-02-23,716.7899,716.7899,716.7899,716.7899,711.0994,7356059
2000-02-24,649.2851,649.2851,649.2851,649.2851,644.1305,25373746
