date,open,high,low,close,adj_close,volume
2000-01-03,1235.0269,1235.0269,1235.0269,1235.0269,1219.2390,0
2000-01-04,1239.1573,1243.2878,1202.8087,1217.6786,1202.1122,3498121
2000-01-05,1216.8525,1218.5048,1159.0251,1163.9818,1149.1014,2897221
2000-01-06,1163.9818,1220.5699,1163.9818,1205.2870,1189.8784,9628018
2000-01-07,1204.4609,1226.7657,1185.4604,1220.9830,1205.3745,8129465
2000-01-10,1206.1132,1232.5485,1181.3300,1193.7216,1178.4615,6526546
2000-01-11,1187.5258,1193.7216,1141.6769,1164.8079,1149.9174,3158156
2000-01-12,1142.5031,1154.0685,1094.5890,1097.0673,1083.0427,3399180
2000-01-13,1106.9805,1130.1115,1081.3713,1119.3721,1105.0621,6268254
2000-01-14,1117.3068,1125.1548,1101.1978,1112.7633,1098.5386,3913723
2000-01-17,1112.7633,1127.6332,1100.3717,1115.2416,1100.9847,5359563
2000-01-18,1094.5890,1112.7633,1087.9801,1092.9368,1078.9650,4081016
2000-01-19,1092.9368,1135.8942,1080.5452,1097.0673,1083.0427,9395204
2000-01-20,1104.9153,1124.3287,1057.4142,1074.7625,1061.0229,6648003
2000-01-21,1090.4584,1090.4584,1028.5006,1056.5881,1043.0808,5536888
2000-01-24,1057.4142,1059.4795,1026.0223,1036.7616,1023.5082,2479963
2000-01-25,1025.1960,1036.7616,983.0648,998.7608,985.9932,4598857
2000-01-26,1007.8479,1010.3263,970.6732,978.9343,966.4200,7368996
2000-01-27,983.0648,983.0648,941.7596,974.8038,962.3422,4703940
2000-01-28,983.0648,991.3258,943.4118,966.5427,954.1866,2447410
2000-01-31,952.4989,968.1949,904.5848,954.9772,942.7692,5048301
2000-02-01,950.0206,952.4989,929.3680,945.0640,932.9828,3979960
2000-02-02,939.9421,959.1078,939.9421,954.1511,941.9536,2474120
2000-02-03,958.2817,991.3258,946.7162,959.1078,946.8470,4959297
2000-02-04,950.8467,962.4122,941.7596,942.5857,930.5361,3445252
2000-02-07,958.2817,1004.5435,957.8686,967.3688,955.0024,5591820
2000-02-08,967.3688,980.5865,924.8244,942.5857,930.5361,4069228
2000-02-09,942.5857,942.5857,789.7562,886.4105,875.0789,4579528
2000-02-10,903.7587,904.5848,838.4964,845.1053,834.3018,6824533
2000-02-11,857.4969,884.7583,838.4964,857.4969,846.5349,10182699
2000-02-14,850.5576,878.1495,834.3659,846.7575,835.9329,3620956
2000-02-15,855.0185,899.6282,850.8880,874.8451,863.6614,5619518
2000-02-16,873.1928,951.2598,872.4080,924.4114,912.5941,5473296
2000-02-17,935.3159,937.6290,909.5415,923.5852,911.7784,3688506
2000-02-18,926.8897,937.6290,864.9318,878.1495,866.9233,3748974
2000-02-21,900.3387,906.6501,837.6703,901.2804,889.7589,5816036
2000-02-22,888.0627,896.3238,846.7575,847.5836,836.7484,4590383
2000-02-23,847.5836,884.5931,844.2792,871.5406,860.3990,5398022
2000-02-24,908.7154,916.9764,807.1045,810.4089,800.0488,6381793
2000-02-25,864.1057,864.1057,780.6691,797.1912,787.0003,7967023
2000-02-28,796.3651,808.7567,755.8859,770.7558,760.9027,5495671
2000-02-29,802.9739,808.7567,768.2775,774.8864,764.9805,4293287
2000-03-01,773.2342,812.0611,772.4080,782.3213,772.3204,9317678
2000-03-02,791.4085,867.4101,776.5386,862.4535,851.4281,5027683
2000-03-03,867.4101,883.1061,801.3217,807.9306,797.6024,4155340
2000-03-06,810.4089,826.1049,773.2342,815.3655,805.1384,2430761
2000-03-07,825.2788,825.2788,781.4952,787.2779,777.4030,4161651
2000-03-08,801.2391,801.2391,739.3638,749.2771,739.8790,4858378
2000-03-09,747.6249,761.6687,726.9723,746.7988,737.4316,5906361
2000-03-10,751.7554,801.3217,751.7554,764.1470,754.5624,6974793
2000-03-13,722.8418,772.4080,722.8418,743.4944,734.1689,4291306
2000-03-14,743.4944,809.5828,743.4944,791.4085,781.4818,5108881
2000-03-15,789.7562,850.8880,770.7558,837.6703,827.1638,4970052
2000-03-16,834.3659,940.9334,834.3659,910.3676,898.9487,15017789
2000-03-17,883.1061,950.0206,845.9314,850.8880,840.2154,4858627
2000-03-20,870.1197,888.8888,805.4522,817.4308,807.1778,3825124
2000-03-21,818.2569,863.2796,816.6047,847.9966,837.3602,4367690
2000-03-22,867.4101,887.6497,846.7575,877.3234,866.3191,3334788
2000-03-23,878.9178,867.4101,807.9306,826.1049,815.7432,6899820
2000-03-24,834.3659,855.8446,813.7133,820.7352,810.4407,3200204
2000-03-27,826.1049,857.0838,812.8872,844.2792,833.6892,2782635
2000-03-28,828.9962,850.8880,813.7133,816.1916,805.9542,4597630
2000-03-29,807.9306,842.6270,807.9306,838.9095,828.3871,3814114
2000-03-30,828.5832,831.8876,790.5824,799.2565,789.2317,3275567
2000-03-31,812.8872,875.6712,809.5828,869.4754,858.5696,4872611
2000-04-03,848.9054,902.9326,889.2193,892.1933,881.0027,3383423
2000-04-04,892.1933,916.1503,887.2366,902.1065,890.7915,5738098
2000-04-05,892.1933,914.9524,845.5183,901.2804,889.9758,1045150
2000-04-06,894.6716,903.7587,855.8446,865.3448,854.4908,4988671
2000-04-07,859.1491,916.9764,836.0181,908.3023,896.9094,3089922
2000-04-10,848.4097,908.7154,847.1705,862.0404,851.2278,3024838
2000-04-11,864.9318,890.5410,856.6707,862.8665,852.0438,3199327
2000-04-12,872.3667,872.3667,813.7133,825.6918,815.3350,5030018
2000-04-13,813.7133,834.3659,788.9301,801.7348,791.6784,4269548
2000-04-14,800.0826,821.1482,786.4518,811.2350,801.0596,5881669
2000-04-17,804.2131,804.2131,754.6468,763.7339,754.1546,3543868
2000-04-18,775.2994,784.7996,754.2337,755.8859,746.4048,4510017
2000-04-19,762.0817,772.8211,747.6249,772.8211,763.1277,5718884
2000-04-20,790.1693,802.9739,781.9909,790.1693,780.2583,8668074
2000-04-21,790.1693,790.1693,790.1693,790.1693,780.2583,0
2000-04-24,790.1693,790.1693,790.1693,790.1693,780.2583,0
2000-04-25,793.0607,815.3655,772.4080,802.5609,792.4947,3398483
2000-04-26,824.4527,836.0181,805.4522,812.8872,802.6912,3525250
2000-04-27,806.9392,815.7786,788.1040,807.5175,797.3889,5976498
