date,open,high,low,close,adj_close,volume
2000-01-03,238.4499,238.4499,238.4499,238.4499,236.1191,0
2000-01-04,239.3999,239.3999,228.6332,230.2165,227.9662,11214410
2000-01-05,222.9332,236.2332,222.9332,234.0165,231.7290,9228302
2000-01-06,234.0165,236.8665,232.4332,234.0165,231.7290,11398336
2000-01-07,236.8665,239.3999,227.9999,230.8499,228.5934,13505834
2000-01-10,232.1419,226.1252,221.6665,223.5665,221.3812,14004877
2000-01-11,227.9999,227.9999,214.0665,215.9665,213.8555,18120152
2000-01-12,216.5999,219.7665,206.4665,213.1165,211.0333,25036604
2000-01-13,215.6499,219.1332,211.5332,212.1665,210.0926,24581188
2000-01-14,217.8665,219.1332,203.2999,214.0665,211.9740,25614444
2000-01-17,214.0665,220.3999,204.5665,206.4665,204.4483,32018848
2000-01-18,207.7332,211.5332,203.2999,204.8832,202.8805,27469722
2000-01-19,208.9999,220.7165,203.9332,215.6499,213.5419,26588284
2000-01-20,219.9312,221.0332,211.5332,213.4332,211.3469,20173681
2000-01-21,221.3499,221.3499,211.5332,215.6499,213.5419,13402072
2000-01-24,218.8165,221.3499,208.9999,211.5332,209.4654,11121814
2000-01-25,215.3332,215.3332,205.1999,206.4665,204.4483,10863598
2000-01-26,210.2665,212.7999,202.6665,206.1499,204.1348,45126510
2000-01-27,212.7999,212.7999,203.9332,210.2665,208.2112,12317831
2000-01-28,208.9999,214.6999,207.7332,208.9999,206.9569,32652812
2000-01-31,207.0999,210.2665,205.1999,206.7832,204.7619,15407895
2000-02-01,206.7832,217.8665,206.7832,207.7332,205.7027,21751429
2000-02-02,211.5332,211.5332,206.1499,207.0999,205.0755,17433575
2000-02-03,211.5332,211.5332,202.6665,203.6165,201.6262,18461792
2000-02-04,207.7332,207.7332,200.7665,201.3999,199.4312,49500695
2000-02-07,205.1999,207.7332,196.3332,199.1832,197.2362,28651040
2000-02-08,199.1832,203.9332,196.6499,201.3999,199.4312,29460674
2000-02-09,201.3999,205.1999,195.0665,197.5999,195.6683,29244261
2000-02-10,202.6665,210.8999,195.3832,205.8332,203.8212,26041766
2000-02-11,199.0312,210.8999,206.0485,206.7832,204.7619,31020505
2000-02-14,205.8079,210.8999,203.9332,208.6832,206.6433,13769343
2000-02-15,211.5332,212.4832,203.9332,205.8332,203.8212,14266524
2000-02-16,207.7332,221.6665,205.8332,220.0832,217.9319,33440034
2000-02-17,216.8798,243.1999,216.5999,233.6999,231.4155,46070746
2000-02-18,224.1999,236.8665,224.1999,233.6999,231.4155,41670136
2000-02-21,234.2065,234.2065,224.1999,226.0999,223.8898,30604351
2000-02-22,222.2999,226.7332,211.5332,214.6999,212.6012,51120336
2000-02-23,216.5999,221.6665,212.7999,216.5999,214.4826,23183991
2000-02-24,217.2459,221.0332,214.0665,216.2832,214.1691,16013706
2000-02-25,218.8165,220.3999,207.0999,214.0665,211.9740,38640852
2000-02-28,215.3332,221.0332,212.1665,213.4332,211.3469,12559327
2000-02-29,217.5499,219.1332,210.5832,217.2332,215.1098,14720328
2000-03-01,234.9665,234.9665,234.9665,234.9665,232.6698,29422827
2000-03-02,229.1019,239.3999,229.1019,231.4832,229.2205,31139870
2000-03-03,229.8999,233.0665,222.2999,227.9999,225.7712,19337224
2000-03-06,229.5579,232.4332,220.3999,222.6165,220.4405,13791993
2000-03-07,222.6165,226.4165,215.6499,220.7165,218.5590,15912052
2000-03-08,220.0832,225.4665,212.7999,223.2499,221.0677,23838246
2000-03-09,221.0332,229.2665,221.0332,227.6832,225.4576,14108059
2000-03-10,226.4799,229.8999,224.1999,224.8332,222.6355,14799975
2000-03-13,227.0372,231.7999,219.7665,223.8832,221.6948,9382321
2000-03-14,228.6332,229.2665,223.5665,225.1499,222.9491,14298561
2000-03-15,227.9999,237.4999,223.5665,234.9665,232.6698,34807684
2000-03-16,234.3332,246.3665,232.4332,243.1999,240.8227,34140506
2000-03-17,245.7332,246.3665,235.5999,237.8165,235.4918,31645853
2000-03-20,238.5765,244.4665,234.3332,243.8332,241.4498,23375766
2000-03-21,243.9979,250.1665,240.6665,244.7832,242.3904,23653392
2000-03-22,245.7332,252.6998,243.8332,246.9999,244.5855,33151049
2000-03-23,246.3665,248.2665,240.6665,245.7332,243.3311,16026397
2000-03-24,249.5332,267.2665,241.9332,250.4832,248.0347,38078355
2000-03-27,253.8905,265.9998,249.5332,259.9832,257.4419,22554959
2000-03-28,261.2118,261.5665,253.6498,257.7665,255.2469,13509570
2000-03-29,257.6018,265.9998,253.6498,254.9165,252.4247,16209071
2000-03-30,257.1332,257.1332,252.0665,254.5998,252.1111,15164974
2000-03-31,248.8999,274.8665,248.8999,264.4165,261.8318,27544792
2000-04-03,264.4165,281.1998,259.6665,272.9665,270.2982,42412602
2000-04-04,272.0165,282.4665,269.7998,278.0332,275.3154,23988707
2000-04-05,272.0165,282.4665,269.1665,271.3832,268.7304,9171910
2000-04-06,267.8998,272.6498,253.3332,256.4998,253.9925,38800019
2000-04-07,256.4998,267.2665,253.3332,265.6832,263.0863,30292376
2000-04-10,254.5998,268.5332,254.5998,260.6165,258.0690,16631572
2000-04-11,269.7998,279.2998,259.6665,276.1332,273.4341,36806863
2000-04-12,263.4665,284.9998,263.4665,278.6665,275.9425,30825846
2000-04-13,280.8553,282.4665,263.4665,268.8498,266.2219,33767344
2000-04-14,264.0998,278.6665,262.1998,274.2332,271.5526,15389301
2000-04-17,260.9332,272.3332,260.9332,265.0498,262.4971,28190439
2000-04-18,267.6718,274.2332,262.1998,266.3165,263.7515,55811637
2000-04-19,276.7665,277.0832,255.2332,265.0498,262.4971,62763277
