date,open,high,low,close,adj_close,volume
2000-01-03,1081.3395,1081.3395,1081.3395,1081.3395,1071.2491,0
2000-01-04,1087.2809,1087.3237,1057.5739,1083.7161,1073.6040,5244801
2000-01-05,1085.4985,1118.1763,1052.8207,1090.8458,1080.6667,10629088
2000-01-06,1090.8458,1136.0006,1090.8458,1126.4943,1115.9825,7153203
2000-01-07,1119.3646,1184.7203,1114.6115,1181.1555,1170.1338,12704092
2000-01-10,1176.4023,1196.6031,1119.3646,1138.3772,1127.7546,4375085
2000-01-11,1152.6366,1152.6366,1099.1638,1120.5529,1110.0967,3928507
2000-01-12,1103.9169,1138.3772,1103.9169,1136.0006,1125.3999,6795843
2000-01-13,1132.4358,1143.1302,1113.4232,1117.5822,1107.1534,11373295
2000-01-14,1136.0006,1157.3898,1109.8583,1150.2600,1139.5266,7205219
2000-01-17,1107.4818,1107.4818,1097.9755,1099.7579,1089.4956,5458025
2000-01-18,1112.2349,1116.9882,1057.5739,1073.0215,1063.0084,7009326
2000-01-19,1074.2098,1077.7747,1020.7370,1029.6490,1020.0411,9111125
2000-01-20,1028.4608,1045.6909,988.6533,1001.7244,992.3770,7385417
2000-01-21,1019.5487,1019.5487,974.3938,992.8123,983.5479,3956528
2000-01-24,988.6533,1006.4775,962.5110,970.2348,961.1808,2150088
2000-01-25,978.5528,986.2767,936.3687,973.2055,964.1241,11939941
2000-01-26,974.3938,974.3938,943.4984,955.9754,947.0547,13031146
2000-01-27,961.3227,970.8290,912.6030,933.3980,924.6880,4710857
2000-01-28,936.3687,941.1218,917.3561,924.4859,915.8589,8303891
2000-01-31,925.6741,931.0214,894.7787,899.5319,891.1380,5363694
2000-02-01,922.1093,922.1093,857.9419,876.3603,868.1829,6746361
2000-02-02,877.0852,895.9670,831.7996,850.2180,842.2841,6756925
2000-02-03,862.6950,874.5779,843.6825,860.3184,852.2905,7627296
2000-02-04,870.5068,888.8373,831.2055,839.5235,831.6892,10260543
2000-02-07,843.5090,855.5653,781.8916,822.8875,815.2086,7818861
2000-02-08,822.8875,830.6113,796.1510,802.0925,794.6082,13460835
2000-02-09,802.0925,817.5402,800.9042,804.4690,796.9623,8671056
2000-02-10,803.8749,829.4230,794.9628,811.0046,803.4368,7104162
2000-02-11,803.2808,823.4816,791.3979,794.9628,787.5447,10021040
2000-02-14,803.3473,805.6573,790.2096,799.7159,792.2533,5546662
2000-02-15,803.8749,853.1887,803.8749,810.4105,802.8483,8123067
2000-02-16,843.6825,881.7076,810.4105,870.4189,862.2964,9999903
2000-02-17,854.6622,910.8206,854.6622,907.2557,898.7899,7165814
2000-02-18,914.9796,941.1218,898.9377,923.8917,915.2701,7068023
2000-02-21,924.9184,947.0633,893.5904,917.3561,908.7958,4506025
2000-02-22,950.6281,992.2181,916.1679,929.2390,920.5682,20493350
2000-02-23,929.2390,974.3938,926.8624,933.3980,924.6880,14812199
2000-02-24,929.2390,949.4398,850.8122,863.8833,855.8224,5341703
2000-02-25,856.7536,891.2139,827.0465,860.3184,852.2905,11844144
2000-02-28,893.5904,893.5904,836.5527,857.3477,849.3473,3403430
2000-02-29,843.6825,923.2976,831.7996,916.7620,908.2073,14982539
2000-03-01,901.8229,950.6281,901.8229,946.4691,937.6374,13516916
2000-03-02,950.6281,954.7871,924.4859,947.6574,938.8145,3701952
2000-03-03,936.3687,949.4398,907.8499,922.1093,913.5047,3608773
2000-03-06,932.2097,933.9921,895.9670,904.8791,896.4355,3701519
2000-03-07,903.0967,906.6616,797.9335,825.2640,817.5632,17956074
2000-03-08,822.3765,846.0590,772.3853,811.0046,803.4368,14134163
2000-03-09,823.4816,843.6825,820.5109,834.7703,826.9808,7486537
