date,open,high,low,close,adj_close,volume
2000-01-03,339.7500,344.0000,316.5000,317.5000,115.1740,814220
2000-01-04,317.5000,320.0000,311.5100,317.5000,115.1740,759342
2000-01-05,312.2500,332.5000,310.5500,316.0000,114.6299,1052661
2000-01-06,325.0000,332.5000,320.5000,329.0000,119.3457,599172
2000-01-07,331.0000,341.0000,328.5000,338.1500,122.6649,1053412
2000-01-10,344.8000,346.1000,336.5500,340.1000,123.3722,858160
2000-01-11,340.2500,340.2500,334.5000,337.0000,122.2477,699955
2000-01-12,333.0000,339.7000,332.5000,338.5000,122.7918,574512
2000-01-13,340.0000,347.9000,336.2000,344.0000,124.7870,958670
2000-01-14,345.0000,373.0000,345.0000,371.3500,134.7083,1404212
2000-01-17,371.0000,379.0000,368.1100,369.4000,134.0009,761998
2000-01-18,370.4000,370.4000,357.0500,359.2300,130.3117,674580
2000-01-19,356.1000,364.0000,352.1000,360.0000,130.5910,794630
2000-01-20,361.0000,364.9500,356.6000,360.9000,130.9175,441072
2000-01-21,358.0000,361.0000,350.0100,351.5000,127.5076,633487
2000-01-24,351.9000,357.3700,346.5000,347.0000,125.8753,431695
2000-01-25,344.9000,344.9900,333.5000,333.5000,120.9781,744767
2000-01-26,337.2500,344.1000,331.1100,342.0000,124.0615,506894
2000-01-27,345.0000,352.0000,344.9800,351.9000,127.6527,493862
2000-01-28,351.0000,357.9000,344.5000,349.4200,126.7531,411507
2000-01-31,343.0000,344.9000,335.5000,335.8000,121.8124,561054
2000-02-01,340.0000,341.0000,334.1000,338.2000,122.6830,532923
2000-02-02,340.7000,340.8000,333.8000,337.0000,122.2477,638876
2000-02-03,337.0000,340.2500,333.5000,337.0000,122.2477,597104
2000-02-04,338.3800,339.5000,333.3300,339.0000,122.9732,458640
2000-02-07,338.0000,342.9900,333.0000,341.9000,124.0252,514632
2000-02-08,342.8000,346.5000,333.6000,340.2000,123.4085,489248
2000-02-09,341.5000,358.9500,336.7500,352.3500,127.8159,922618
2000-02-10,349.4000,365.0000,348.0000,365.0000,132.4048,777137
2000-02-11,368.9000,377.7500,365.0500,372.0000,134.9440,1382502
2000-02-14,367.5000,381.0000,367.5000,374.9900,136.0287,709285
2000-02-15,376.0000,381.8500,371.0000,371.0000,134.5813,688237
2000-02-16,376.0000,376.5000,360.5700,369.0000,133.8558,917107
2000-02-17,365.1100,369.0000,345.5000,354.0000,128.4145,1453951
2000-02-18,355.3000,359.7000,350.5000,352.1000,127.7253,763122
2000-02-21,349.0000,357.5000,346.0000,357.5000,129.6842,302671
2000-02-22,356.0000,359.4300,348.8000,354.4500,128.5778,636163
2000-02-23,355.0000,357.0000,348.6100,355.0000,128.7773,411929
2000-02-24,353.5000,364.5000,352.2200,353.4000,128.1968,443004
2000-02-25,355.0000,361.0000,351.5000,355.5000,128.9586,363487
2000-02-28,352.5000,362.7500,346.0100,362.7500,131.5886,448594
2000-02-29,364.5000,364.5000,358.5000,359.0000,130.2283,289138
2000-03-01,363.0000,363.5000,348.5100,350.2000,127.0360,658385
2000-03-02,352.0000,360.0000,343.0500,358.0000,129.8655,477406
2000-03-03,353.6000,355.0000,342.2000,343.0000,124.4242,600932
2000-03-06,344.2500,344.5000,338.5000,339.3000,123.0820,309346
2000-03-07,368.0000,392.2000,355.1000,380.0000,137.8461,1618706
2000-03-08,385.0000,421.9000,380.0000,411.0000,149.0914,1839230
2000-03-09,420.0000,428.0000,398.2500,407.0000,147.6404,1366365
2000-03-10,411.4900,421.5000,407.4900,411.2000,149.1640,632488
2000-03-13,408.0000,414.5000,386.2100,394.8000,143.2148,925037
2000-03-14,396.5500,400.9000,391.0000,397.0000,144.0129,513315
2000-03-15,391.0000,394.0000,387.1000,392.0000,142.1991,419897
2000-03-16,395.0000,400.2000,394.0000,395.0000,143.2874,771736
2000-03-17,400.0000,414.0000,400.0000,405.0000,146.9149,8198313
2000-03-20,404.0000,410.6000,401.0000,407.1500,147.6948,381371
2000-03-21,402.9500,409.0000,400.5100,405.4000,147.0600,283902
2000-03-22,408.5000,415.9000,405.0500,414.5000,150.3610,424586
2000-03-23,412.5000,419.0000,405.0000,408.0000,148.0031,376016
2000-03-24,414.0100,422.0000,410.0500,418.5000,151.8121,374969
2000-03-27,418.0000,420.9000,413.6500,418.6000,151.8483,243601
2000-03-28,419.0000,429.0000,416.5000,428.0000,155.2582,384521
2000-03-29,425.7000,436.5000,422.5000,432.4000,156.8543,365877
2000-03-30,436.0000,440.8000,423.9900,433.5000,157.2534,486212
2000-03-31,436.9000,439.0000,424.5200,427.5000,155.0769,543053
2000-04-03,426.4000,426.4000,413.8000,416.4500,151.0684,478437
2000-04-04,417.9000,445.0000,417.5000,441.1600,160.0320,815278
2000-04-05,439.0000,442.5000,375.4000,380.0000,137.8461,2086638
2000-04-06,379.0000,397.8000,374.0100,397.8000,144.3030,1451190
2000-04-07,400.0000,410.0000,388.5000,407.4000,147.7855,721537
2000-04-10,408.0000,411.0000,396.6000,396.6000,143.8678,484115
2000-04-11,396.0000,409.5000,396.0000,409.3800,148.5038,518191
2000-04-12,410.5000,418.4500,402.5000,414.7500,150.4517,473022
2000-04-13,410.1200,420.7200,408.5000,420.0000,152.3562,405235
2000-04-14,416.1000,429.7000,408.0000,409.0000,148.3659,679683
2000-04-17,394.0000,403.0000,389.6000,399.0000,144.7384,767772
2000-04-18,401.9900,401.9900,387.1000,399.9800,145.0939,424910
2000-04-19,402.0000,407.0000,395.1100,400.4600,145.2680,362412
2000-04-20,405.5000,407.5000,399.5100,399.5100,144.9234,390663
2000-04-21,399.5100,399.5100,399.5100,399.5100,144.9234,0
2000-04-24,399.5100,399.5100,399.5100,399.5100,144.9234,0
2000-04-25,403.5000,415.0000,398.0000,414.5000,150.3610,357577
2000-04-26,418.5000,418.5000,407.0000,416.9900,151.2643,306539
2000-04-27,418.0000,420.5000,405.0000,406.7300,147.5424,372110
2000-04-28,409.5000,425.4000,405.1100,423.3000,153.5533,367153
2000-05-01,423.3000,423.3000,423.3000,423.3000,153.5533,0
2000-05-02,423.0000,433.0000,422.5500,432.6000,156.9268,327440
2000-05-03,428.0000,436.0000,421.5000,422.5000,153.2630,352379
2000-05-04,426.4000,428.0000,416.5500,421.0000,152.7189,317552
2000-05-05,422.8000,422.8000,412.3000,422.8000,153.3719,295366
2000-05-08,422.8000,422.8000,407.5000,409.0000,148.3659,353924
2000-05-09,409.0000,409.0000,409.0000,409.0000,148.3659,0
2000-05-10,397.5000,403.0000,395.9000,397.5000,144.1943,390496
2000-05-11,393.5100,402.8600,393.0000,402.8000,146.1168,378931
2000-05-12,404.8000,407.5000,398.0000,404.9500,146.8967,241650
2000-05-15,405.5000,406.9400,400.8000,401.5000,145.6453,264647
2000-05-16,404.3500,418.7000,403.9900,412.9600,149.8024,393074
2000-05-17,411.9900,413.9000,404.1000,408.4000,148.1482,288124
2000-05-18,411.9500,420.4800,410.0000,417.8000,151.5581,471649
2000-05-19,417.4700,417.4700,408.0000,408.0000,148.0031,577686
2000-05-22,409.5000,414.5000,397.5000,402.5000,146.0080,436792
2000-05-23,406.9000,406.9000,374.0000,374.2600,135.7639,1449237
2000-05-24,369.0000,374.0000,361.2500,363.0000,131.6793,688661
2000-05-25,367.0000,373.9800,366.7400,372.0000,134.9440,560395
2000-05-26,370.0000,381.4000,368.8100,378.0000,137.1206,446820
2000-05-29,382.9000,386.4000,381.0000,383.5000,139.1157,234274
2000-05-30,384.4000,396.5000,384.0000,393.6000,142.7795,388668
2000-05-31,397.5000,399.0000,382.9600,383.6000,139.1520,572102
2000-06-01,386.5000,391.8900,386.2500,388.5000,140.9295,212195
2000-06-02,385.2000,389.9000,377.0000,388.9000,141.0746,692029
2000-06-05,389.3000,393.0000,382.1000,384.9500,139.6417,442504
2000-06-06,372.5000,376.1200,364.6200,374.8000,135.9597,2446253
2000-06-07,371.1000,373.5000,365.5100,371.2000,134.6538,932443
2000-06-08,370.0000,376.6600,365.6000,367.4100,133.2790,645925
2000-06-09,366.0000,376.9900,366.0000,371.0000,134.5813,525181
2000-06-12,373.8000,377.5000,370.3500,372.5000,135.1254,115852
2000-06-13,374.0000,380.7000,371.0000,380.5000,138.0274,482309
2000-06-14,381.5000,384.8900,378.7500,384.4000,139.4422,425803
2000-06-15,383.0000,387.0000,379.0000,385.1000,139.6961,357626
2000-06-16,387.0000,388.5000,375.0000,375.0000,136.0323,4263678
2000-06-19,377.0000,386.0000,376.0000,384.5000,139.4784,537865
2000-06-20,386.1000,392.4000,385.0000,388.0000,140.7481,550646
2000-06-21,385.6000,389.6000,381.0000,383.2000,139.0069,365132
2000-06-22,383.9000,388.9700,379.9100,383.0000,138.9343,286640
2000-06-23,384.8500,385.7500,372.0000,374.0000,135.6696,443349
2000-06-26,374.0000,379.5000,371.9000,376.0000,136.3951,280520
2000-06-27,378.9000,378.9000,370.6500,376.0000,136.3951,315925
2000-06-28,377.0000,378.9800,372.4500,375.9000,136.3587,298383
2000-06-29,379.0000,379.0000,370.2000,372.5000,135.1254,350658
2000-06-30,375.5000,382.9000,370.0000,376.3000,136.5039,423686
2000-07-03,380.5000,380.5000,373.6000,378.0000,137.1206,246537
2000-07-04,374.5000,374.5000,361.6500,362.6000,131.5342,836470
2000-07-05,362.5000,372.4500,362.5000,367.8500,133.4386,558800
2000-07-06,365.5000,369.5000,363.6300,368.0000,133.4931,348326
2000-07-07,368.0000,368.0000,368.0000,368.0000,133.4931,0
2000-07-10,371.0000,373.4000,362.4000,362.8000,131.6067,452855
2000-07-11,364.8500,365.3000,356.6000,360.2000,130.6636,499750
2000-07-12,363.8000,367.0000,357.2000,362.0000,131.3165,476104
