date,open,high,low,close,adj_close,volume
2000-01-03,26.3500,26.6000,24.8000,25.6000,8.1038,3137354
2000-01-04,24.9000,24.9000,23.8600,24.8750,7.8743,4489508
2000-01-05,23.4700,23.7500,22.9600,23.9250,7.5736,4809958
2000-01-06,23.3900,24.1750,23.1400,24.0150,7.6021,3306128
2000-01-07,24.2750,25.1750,23.9000,25.0000,7.9139,4621272
2000-01-10,25.5500,25.6200,24.8000,25.1100,7.9487,2576028
2000-01-11,25.0250,25.0250,23.8750,23.9950,7.5958,4773052
2000-01-12,23.8750,24.2000,23.6300,24.0000,7.5973,2351408
2000-01-13,23.9250,24.3000,23.4500,23.7500,7.5182,2482930
2000-01-14,23.9450,24.2400,23.7000,23.7500,7.5182,2784548
2000-01-17,23.8000,24.3150,23.8000,23.9350,7.5768,2656820
2000-01-18,23.9650,24.2400,23.7000,23.9750,7.5894,2739182
2000-01-19,23.8250,24.9850,23.8100,24.9200,7.8886,4004404
2000-01-20,24.9500,25.0000,24.4150,24.7000,7.8189,2205138
2000-01-21,24.4000,24.5750,23.7500,24.0250,7.6053,3534942
2000-01-24,24.0500,24.1750,23.4050,23.5900,7.4675,1889060
2000-01-25,23.3750,23.4000,22.6250,22.6250,7.1621,3323216
2000-01-26,22.9000,23.0850,21.7500,22.0100,6.9674,4562228
2000-01-27,22.0100,22.4950,21.6600,22.2750,7.0513,4552184
2000-01-28,22.4250,22.9850,21.9750,22.6250,7.1621,2828366
2000-01-31,22.4500,22.4500,21.7550,22.0250,6.9721,3176436
2000-02-01,22.3850,22.3850,20.9050,21.0100,6.6508,5474216
2000-02-02,21.4950,22.5000,21.1300,22.5000,7.1225,4979456
2000-02-03,22.4950,23.0950,21.7050,21.8250,6.9088,5097152
2000-02-04,21.9350,22.2350,21.1550,21.5350,6.8170,3334640
2000-02-07,21.4000,21.4500,20.6100,20.8750,6.6081,3709496
2000-02-08,21.0750,21.6400,20.8750,21.5250,6.8139,4316328
2000-02-09,21.7500,22.7000,21.4600,21.5500,6.8218,4573714
2000-02-10,21.4000,22.0000,21.0500,22.0000,6.9642,3617828
2000-02-11,22.0000,22.7250,21.5250,22.0650,6.9848,5987866
2000-02-14,21.8750,22.4750,21.3000,21.6000,6.8376,2983316
2000-02-15,21.7250,21.8250,20.4950,20.4950,6.4878,3644370
2000-02-16,21.0000,21.9950,20.9100,21.9950,6.9626,4771744
2000-02-17,22.1950,23.4450,22.0500,23.2500,7.3599,5374480
2000-02-18,23.4950,24.0450,23.3550,23.7000,7.5024,5644034
2000-02-21,23.3000,23.5500,22.9000,23.5000,7.4391,2155528
2000-02-22,23.1050,23.4000,22.7800,23.2500,7.3599,3450000
2000-02-23,23.2750,24.1000,23.2750,23.5700,7.4612,3523542
2000-02-24,23.8250,23.8250,22.5500,22.9500,7.2650,2818076
2000-02-25,23.0000,23.0000,22.3000,22.5800,7.1478,2533538
2000-02-28,22.3000,23.7750,21.9750,23.4500,7.4232,3393016
2000-02-29,23.7500,24.2250,22.9750,23.7000,7.5024,3165144
2000-03-01,23.6000,24.1950,22.3750,23.1000,7.3124,5935130
2000-03-02,23.1250,23.4500,22.3900,23.4500,7.4232,3471236
2000-03-03,23.3000,23.4000,22.4900,22.7050,7.1874,2600134
2000-03-06,22.9000,23.2300,22.4500,23.1250,7.3203,3349786
2000-03-07,23.0000,23.1200,22.2500,22.4000,7.0908,3693850
2000-03-08,22.9750,23.0400,22.5050,22.8250,7.2254,3783566
2000-03-09,22.9250,23.2250,22.6500,22.8950,7.2475,3569482
2000-03-10,22.7000,23.2500,22.6300,23.1000,7.3124,2546618
2000-03-13,23.0000,23.7000,22.8100,23.3250,7.3837,3576296
2000-03-14,23.3500,24.2150,23.2500,23.9250,7.5736,5693460
2000-03-15,23.5100,24.4100,23.3250,23.8500,7.5499,3916454
2000-03-16,24.1000,24.4500,23.9500,24.4450,7.7382,4706974
2000-03-17,24.7500,25.0000,24.1450,25.0000,7.9139,50860560
2000-03-20,24.9550,25.1800,24.4250,24.7000,7.8189,5332800
2000-03-21,24.5000,24.7500,23.9250,24.3500,7.7081,5705978
2000-03-22,24.5000,25.2750,24.5000,24.5750,7.7794,6519602
2000-03-23,24.6000,24.8500,24.1500,24.5500,7.7714,4485032
2000-03-24,24.9400,25.1000,24.6100,24.9000,7.8822,4569272
2000-03-27,24.9950,25.0450,24.4500,24.6250,7.7952,3680956
2000-03-28,24.5250,24.9050,24.4900,24.5000,7.7556,4383012
