date,open,high,low,close,adj_close,volume
2000-01-03,31.0000,32.0000,28.6600,29.4900,12.0599,1335338
2000-01-04,29.5000,29.6000,27.7300,28.3000,11.5732,1564056
2000-01-05,27.5000,28.1000,27.0000,27.7400,11.3442,1359518
2000-01-06,27.2700,28.4000,27.0000,27.6500,11.3074,1064746
2000-01-07,27.7600,28.3000,27.2700,27.6000,11.2870,1575704
2000-01-10,28.2600,28.9900,27.6000,28.7000,11.7368,1275718
2000-01-11,28.5100,28.7000,27.7400,28.6000,11.6959,1303046
2000-01-12,28.0100,28.7000,28.0100,28.1900,11.5282,966988
2000-01-13,28.0000,28.3300,27.0600,27.4000,11.2052,1614659
2000-01-14,27.8000,28.1500,26.7300,27.2000,11.1234,2218592
2000-01-17,27.8900,27.8900,26.5000,27.2800,11.1561,1278071
2000-01-18,27.2000,27.3500,26.7400,27.0000,11.0416,1385909
2000-01-19,27.0500,27.6500,26.6500,27.5900,11.2829,1996688
2000-01-20,27.3100,27.5700,26.2000,26.2000,10.7144,1659471
2000-01-21,26.1100,26.2900,25.4500,25.7500,10.5304,2074986
2000-01-24,25.7600,26.2000,24.7300,24.7500,10.1215,1642904
2000-01-25,24.6300,25.0400,23.1000,23.3300,9.5407,3369175
2000-01-26,23.6000,24.6500,23.6000,24.4500,9.9988,1488286
2000-01-27,24.6500,24.8500,23.6800,24.2500,9.9170,1465579
2000-01-28,24.5000,25.2000,24.4000,25.0200,10.2319,1356705
2000-01-31,24.6000,24.7000,23.4500,23.6000,9.6512,1266189
2000-02-01,24.0900,24.6000,23.4100,24.2000,9.8965,2078029
2000-02-02,24.7500,25.2200,23.8000,24.2800,9.9293,2105588
2000-02-03,24.7500,25.9800,24.6600,25.7000,10.5100,3704287
2000-02-04,26.2000,26.6800,25.2100,25.4600,10.4118,1773280
2000-02-07,25.5600,26.4000,24.6900,25.1000,10.2646,2047498
2000-02-08,25.0000,25.2500,24.0700,25.0000,10.2237,2249446
2000-02-09,24.7000,25.1000,24.1000,25.0000,10.2237,1317756
2000-02-10,25.0000,26.3000,24.7000,25.8500,10.5713,1243300
2000-02-11,26.3000,26.3000,24.8000,25.6500,10.4895,1967931
2000-02-14,25.8500,26.5000,24.8900,25.3500,10.3668,1715562
2000-02-15,25.8000,25.8000,24.5000,25.0000,10.2237,1272913
2000-02-16,25.1000,25.7000,24.3000,25.6000,10.4691,2021924
2000-02-17,25.4500,26.2700,24.8000,25.2000,10.3055,1303587
2000-02-18,28.0000,28.5000,25.8800,26.2000,10.7144,6234132
2000-02-21,27.1000,27.9900,26.8000,27.5500,11.2665,2973134
2000-02-22,27.5000,28.6000,27.3600,27.7500,11.3483,2684297
2000-02-23,28.0000,28.0000,26.0000,26.9000,11.0007,1734513
2000-02-24,26.7600,27.4800,26.0300,26.9000,11.0007,1357588
2000-02-25,26.6200,27.3500,26.6200,27.0000,11.0416,1432859
2000-02-28,26.5100,27.0000,25.8200,26.1100,10.6776,965135
2000-02-29,26.7000,26.9100,26.2000,26.6600,10.9025,925821
2000-03-01,27.0100,27.3600,26.2000,26.9100,11.0048,1452926
2000-03-02,27.0500,27.1300,25.6500,26.9000,11.0007,1201261
