date,open,high,low,close,adj_close,volume
2000-01-03,66.0161,66.5288,61.3634,65.0452,33.8678,4759120
2000-01-04,60.9828,61.4799,58.9555,61.7751,32.1651,5017855
2000-01-05,59.2273,63.6393,58.8001,60.9750,31.7486,5950909
2000-01-06,62.3266,64.3850,62.0625,64.0820,33.3663,3857224
2000-01-07,64.4704,66.4123,63.4218,66.0239,34.3774,5869650
2000-01-10,66.7696,66.8317,63.4995,64.3228,33.4917,3865162
2000-01-11,64.4626,65.0530,63.8179,64.5481,33.6090,3652564
2000-01-12,64.0743,64.2918,62.4897,62.6062,32.5979,3462018
2000-01-13,62.9169,65.7132,62.7227,64.8976,33.7910,5141213
2000-01-14,65.7054,66.2026,64.9520,65.3248,34.0134,4478423
2000-01-17,65.7443,67.1502,65.7443,67.0570,34.9153,4366514
2000-01-18,67.3366,69.3639,65.8297,66.0627,34.3976,5684792
2000-01-19,65.9462,65.9695,63.9422,65.8686,34.2965,3331887
2000-01-20,66.3268,66.3268,64.5092,65.3637,34.0336,2175960
2000-01-21,64.8510,65.3559,63.7713,64.0898,33.3704,3261484
2000-01-24,64.0820,64.1519,62.1401,62.6062,32.5979,2206566
2000-01-25,61.9460,61.9460,60.2759,60.8973,31.7081,3857961
2000-01-26,61.7518,62.8237,60.8274,61.7207,32.1368,3403424
2000-01-27,61.7440,62.7616,60.4080,61.5187,32.0317,3125690
2000-01-28,61.3634,63.3053,60.4002,61.0061,31.7647,3561847
2000-01-31,60.2371,60.8274,59.4604,59.8099,31.1419,2513165
2000-02-01,60.7808,61.2857,59.5536,61.2857,31.9103,4099790
2000-02-02,61.6741,64.0820,61.6430,63.9966,33.3218,4399271
2000-02-03,64.4626,65.5501,63.6160,64.4937,33.5807,4049482
2000-02-04,65.1617,65.3404,61.7906,64.3927,33.5281,4631849
2000-02-07,64.3927,64.3927,62.8004,63.8490,33.2450,1832726
2000-02-08,63.6937,64.3151,62.6295,64.3151,33.4877,2379387
2000-02-09,64.0743,65.9462,63.2975,64.7034,33.6899,4736667
2000-02-10,64.0743,66.4511,63.9267,66.3734,34.5594,3998059
2000-02-11,66.7929,66.7929,65.4880,66.6065,34.6807,4418302
2000-02-14,65.2472,65.9618,63.5927,65.7132,34.2156,2694537
2000-02-15,64.8976,66.1793,62.9169,62.9169,32.7597,2865186
2000-02-16,64.6258,64.7811,62.2800,63.2121,32.9133,3983781
2000-02-17,62.4509,63.1499,59.8099,62.4509,32.5170,5749972
2000-02-18,62.2955,63.6004,61.6741,62.5674,32.5777,3172772
2000-02-21,62.6062,66.6453,62.5751,66.1948,34.4664,3703338
