date,open,high,low,close,adj_close,volume
2017-06-30,26.9000,27.8000,25.2600,27.8000,27.8000,11407039
2017-07-03,28.2500,28.7500,27.2500,27.5000,27.5000,496331
2017-07-04,27.5000,27.7700,26.8050,26.9500,26.9500,172959
2017-07-05,26.9800,27.2800,25.4250,25.5500,25.5500,251146
2017-07-06,25.6500,26.2250,25.5950,25.9000,25.9000,164755
2017-07-07,25.9600,26.5000,25.8150,26.2500,26.2500,118722
2017-07-10,26.3700,26.8900,26.1000,26.5500,26.5500,133496
2017-07-11,26.8500,27.2500,26.7250,27.2000,27.2000,183557
2017-07-12,27.5000,28.4900,27.4000,28.2000,28.2000,70912
2017-07-13,28.4000,28.4000,27.6000,27.6000,27.6000,22009
2017-07-14,28.0000,28.2750,27.2800,28.0000,28.0000,31735
2017-07-17,28.2750,29.8000,28.1400,29.3000,29.3000,174981
2017-07-18,29.3050,29.5500,28.2800,29.0000,29.0000,62654
2017-07-19,29.2000,29.4450,28.7350,28.9000,28.9000,65753
2017-07-20,28.5050,29.7900,28.5050,29.2450,29.2450,76842
2017-07-21,29.2450,29.3950,27.1550,28.0000,28.0000,31640
2017-07-24,27.5050,28.8700,27.5050,27.8000,27.8000,7105
2017-07-25,27.8000,28.4450,27.1700,27.4600,27.4600,35139
2017-07-26,27.8000,28.2800,27.3900,27.3900,27.3900,31012
2017-07-27,27.3350,27.8050,27.3350,27.8050,27.8050,17805
2017-07-28,27.5000,27.5000,27.2650,27.4100,27.4100,21163
2017-07-31,27.6250,28.1600,27.2500,27.7000,27.7000,66757
2017-08-01,28.2000,28.2000,27.3250,27.6900,27.6900,116033
2017-08-02,27.6000,27.8900,27.3550,27.6500,27.6500,23079
2017-08-03,27.6250,27.7800,27.3200,27.5500,27.5500,22273
2017-08-04,27.5100,27.7000,26.7000,26.8800,26.8800,27885
2017-08-07,27.1950,27.2000,26.5400,27.0000,27.0000,26709
2017-08-08,28.2500,28.7400,27.8100,28.4000,28.4000,140351
2017-08-09,28.8300,29.8200,28.2000,28.3500,28.3500,187600
2017-08-10,28.5600,28.6250,27.9500,28.0000,28.0000,127606
2017-08-11,27.9000,28.2500,27.7300,27.7300,27.7300,84579
2017-08-14,27.8300,27.9700,27.1200,27.2000,27.2000,35555
2017-08-15,27.0750,27.2000,26.9000,26.9000,26.9000,11514
2017-08-16,26.9050,27.7600,26.9000,27.0350,27.0350,10474
2017-08-17,27.0050,27.8000,27.0050,27.4600,27.4600,14316
2017-08-18,27.4750,27.8550,27.2100,27.3550,27.3550,10642
2017-08-21,27.3650,27.6500,27.0100,27.4800,27.4800,10129
2017-08-22,27.4800,28.0000,27.3300,27.8400,27.8400,21228
2017-08-23,28.1200,29.1000,27.6900,28.9650,28.9650,15418
2017-08-24,29.1000,30.2000,28.7050,30.2000,30.2000,59085
2017-08-25,29.8100,30.6400,29.8100,30.4000,30.4000,39104
2017-08-28,30.6000,30.7500,29.2000,30.1000,30.1000,47045
2017-08-29,30.7900,30.7900,29.7050,30.3200,30.3200,40844
2017-08-30,30.3200,30.4700,30.0100,30.1800,30.1800,10300
2017-08-31,30.4900,30.4900,29.8000,30.1000,30.1000,37518
