date,open,high,low,close,adj_close,volume
2000-01-03,72.3900,74.3000,69.5000,71.0000,22.6962,8048611
2000-01-04,69.3000,69.7400,65.7000,69.5000,22.2167,7272321
2000-01-05,65.1000,65.9000,64.1300,67.0000,21.4176,7189304
2000-01-06,64.1500,64.2500,60.6400,61.0000,19.4996,7175520
2000-01-07,60.5500,65.0000,60.1600,64.7400,20.6951,7447419
2000-01-10,66.1000,67.7000,65.0000,66.2600,21.1810,5060175
2000-01-11,65.3700,67.0000,63.5000,66.0000,21.0979,5320491
2000-01-12,64.7500,68.0000,64.0000,68.0000,21.7372,4372711
2000-01-13,67.5500,71.2500,67.0000,68.0000,21.7372,5515978
2000-01-14,69.2500,72.1500,69.1000,71.3000,22.7921,5749337
2000-01-17,72.1400,75.7000,70.3000,73.2600,23.4187,6433543
2000-01-18,73.0000,76.4700,69.7000,69.9000,22.3446,9819457
2000-01-19,69.4000,71.4500,68.5000,69.2500,22.1368,7425217
2000-01-20,69.2500,71.3600,66.9500,69.2500,22.1368,7518422
2000-01-21,67.0000,69.1500,65.1000,66.8500,21.3696,10125212
2000-01-24,66.0000,68.7500,64.3500,64.4000,20.5864,4376329
2000-01-25,63.3000,67.8500,62.4000,66.0100,21.1011,6417114
2000-01-26,67.4500,70.7000,67.3000,70.7000,22.6003,5758867
2000-01-27,71.5100,76.3400,70.8000,75.5000,24.1347,8318974
2000-01-28,74.9000,76.3500,71.7500,71.9000,22.9839,5558299
2000-01-31,70.0500,71.2500,68.3000,69.4000,22.1848,5418907
2000-02-01,71.1000,75.0000,69.3500,75.0000,23.9749,7081932
2000-02-02,74.1500,76.4000,72.6000,74.3000,23.7511,6490477
2000-02-03,74.9500,84.2500,74.1500,83.7000,26.7560,12427457
2000-02-04,84.0000,86.8900,82.6600,85.4000,27.2994,8599838
2000-02-07,84.0100,86.0000,79.8600,80.6000,25.7650,5336094
2000-02-08,80.9000,88.3200,80.3000,88.2000,28.1945,7965978
2000-02-09,88.3000,96.0000,88.2000,92.5000,29.5690,11086715
2000-02-10,91.0000,93.7900,89.9000,92.0000,29.4092,9221136
2000-02-11,92.0500,92.4700,87.1000,89.1000,28.4822,11453917
2000-02-14,87.6000,89.5000,86.6000,87.3000,27.9068,5341941
2000-02-15,87.2000,90.4000,84.0000,84.0000,26.8519,7126090
2000-02-16,89.0000,89.6000,83.2500,85.0000,27.1716,10552723
2000-02-17,85.4000,89.5900,84.8000,87.0000,27.8109,7071217
2000-02-18,87.7000,89.9000,87.0100,89.0000,28.4502,7696196
2000-02-21,85.8500,87.4900,85.5500,87.4900,27.9675,2420608
2000-02-22,87.3100,91.9500,84.9500,85.5900,27.3601,4743499
2000-02-23,87.0000,89.9000,85.1100,87.5000,27.9707,5024214
2000-02-24,90.3000,93.9800,88.0000,90.0000,28.7699,6279781
2000-02-25,91.8900,93.0000,88.5100,90.0000,28.7699,5680605
2000-02-28,89.0000,91.0000,84.3000,85.0000,27.1716,5626368
2000-02-29,86.0000,88.3500,85.7500,86.1000,27.5232,3413293
2000-03-01,87.9900,91.9900,86.5700,91.9900,29.4060,6043195
2000-03-02,91.4500,99.6000,91.0000,99.3800,31.7683,8499169
2000-03-03,100.0000,104.2000,99.4000,102.9000,32.8936,9163242
2000-03-06,104.4500,104.9000,100.8000,103.5000,33.0854,4260463
2000-03-07,102.1000,103.4000,99.2100,100.8500,32.2382,5114895
2000-03-08,98.4100,98.9500,94.7500,95.5000,30.5280,7298800
2000-03-09,96.0000,96.9500,91.3500,95.4000,30.4961,6175164
2000-03-10,96.2600,98.2000,94.7400,97.7500,31.2473,4271230
2000-03-13,97.7500,97.7500,97.7500,97.7500,31.2473,0
2000-03-14,92.0600,93.5000,87.3800,88.1000,28.1625,4932042
2000-03-15,86.0500,86.5000,81.8900,81.8900,26.1774,5873607
2000-03-16,82.9000,86.5000,80.5000,84.2000,26.9158,8523947
2000-03-17,86.1500,89.9800,84.2100,86.5000,27.6510,109725968
2000-03-20,86.8000,91.8000,86.8000,91.3000,29.1854,5763449
2000-03-21,90.5000,91.8000,86.3400,88.9900,28.4470,4844867
2000-03-22,90.2000,92.0000,85.0000,86.8000,27.7469,5152000
2000-03-23,87.1500,88.2000,83.4600,85.0000,27.1716,4799491
2000-03-24,86.1000,89.4000,83.9100,89.4000,28.5781,4688106
2000-03-27,89.3000,89.9000,85.9200,88.0000,28.1305,2542923
2000-03-28,88.0000,94.4500,87.6200,91.6000,29.2813,5987905
2000-03-29,91.5500,94.1600,89.5000,89.5000,28.6100,4502228
2000-03-30,88.1500,89.0000,82.9000,83.3000,26.6281,6232698
2000-03-31,83.5000,86.2900,80.2500,84.0000,26.8519,5896805
2000-04-03,83.1700,85.2900,75.2500,75.4500,24.1187,7688516
2000-04-04,75.4500,77.5000,72.8500,74.6100,23.8502,5903678
2000-04-05,73.3800,75.2400,70.5500,75.0000,23.9749,7645191
2000-04-06,75.9200,79.7000,75.5000,78.5300,25.1033,6015859
2000-04-07,79.5200,80.9400,77.4400,79.0000,25.2536,4653356
2000-04-10,81.9000,84.5000,80.2000,80.4000,25.7011,4418857
2000-04-11,76.0000,77.4900,74.3100,76.5000,24.4544,5847085
2000-04-12,78.0000,78.0000,71.3000,73.2000,23.3995,5859322
2000-04-13,70.5000,74.6300,70.2400,74.6300,23.8566,5631336
2000-04-14,72.5000,72.8000,68.4500,70.0100,22.3798,7201462
2000-04-17,66.0000,71.2400,65.4000,71.0000,22.6962,7241851
2000-04-18,73.9000,76.0900,71.7000,72.6000,23.2077,8508578
2000-04-19,74.4900,74.9900,68.3000,70.9900,22.6930,6661281
2000-04-20,71.7500,73.3000,69.5600,73.3000,23.4315,6479357
2000-04-21,73.3000,73.3000,73.3000,73.3000,23.4315,0
2000-04-24,73.3000,73.3000,73.3000,73.3000,23.4315,0
2000-04-25,71.8500,73.9500,70.0000,71.7400,22.9328,4395958
2000-04-26,74.3000,75.2900,72.8200,74.2000,23.7192,3761260
2000-04-27,74.0000,74.3000,67.9000,70.0000,22.3766,6118247
2000-04-28,72.0000,72.3900,69.7100,71.3900,22.8209,5837105
2000-05-01,71.3900,71.3900,71.3900,71.3900,22.8209,0
2000-05-02,72.4000,75.9100,72.1500,75.0000,23.9749,5021140
2000-05-03,73.7000,75.1400,69.8000,69.8000,22.3126,5355239
2000-05-04,70.2400,70.5000,66.5800,66.7300,21.3313,5564243
2000-05-05,67.0000,69.9000,66.6200,69.9000,22.3446,4179031
2000-05-08,69.8000,70.1800,66.3600,67.0000,21.4176,3547889
2000-05-09,67.0000,67.0000,67.0000,67.0000,21.4176,0
2000-05-10,62.7100,64.7000,60.3500,60.8100,19.4388,6682583
2000-05-11,60.5000,65.8000,60.1000,65.2000,20.8422,6808015
2000-05-12,66.1100,67.0900,64.1500,65.1000,20.8102,3161442
2000-05-15,65.5000,65.5000,62.0000,62.0100,19.8224,3468074
2000-05-16,63.5000,66.4700,62.9100,66.1500,21.1459,4904970
2000-05-17,64.8000,65.0000,62.0500,62.2000,19.8832,8090709
