date,open,high,low,close,adj_close,volume
2000-01-03,14.9389,14.9993,14.5069,14.6066,4.1246,4605397
2000-01-04,14.6821,14.6821,13.7456,14.2894,4.0350,5286301
2000-01-05,14.0296,14.5583,13.9571,14.5009,4.0947,6279352
2000-01-06,14.5190,14.9238,14.5190,14.7002,4.1511,5856699
2000-01-07,14.8030,15.1020,14.5975,14.8030,4.1801,5382206
2000-01-10,14.8181,15.2561,14.4706,15.1504,4.2782,5868056
2000-01-11,15.1020,15.6791,14.9872,15.4374,4.3592,6887675
2000-01-12,15.3921,15.5310,15.1745,15.4978,4.3763,4033059
2000-01-13,15.4948,15.7093,15.0416,15.3407,4.3319,5340855
2000-01-14,15.2712,15.3467,14.9389,14.9540,4.2227,4662407
2000-01-17,15.0990,15.0990,14.3498,14.4102,4.0692,5628908
2000-01-18,14.4102,14.7697,14.2894,14.3830,4.0615,5648593
2000-01-19,14.5311,14.5371,14.0477,14.5009,4.0947,6139200
2000-01-20,14.6006,15.3347,14.5613,15.1896,4.2892,5816967
2000-01-21,15.2561,15.3618,14.7153,14.8030,4.1801,6536299
2000-01-24,14.8060,14.9540,14.5764,14.5915,4.1203,3311800
2000-01-25,14.5009,14.5613,14.0477,14.0477,3.9668,4664241
2000-01-26,14.1988,14.4223,13.7154,13.9269,3.9327,5388396
2000-01-27,13.9118,13.9208,13.3831,13.4798,3.8064,5953650
2000-01-28,13.6550,13.7154,13.3559,13.5946,3.8388,3400943
2000-01-31,13.5492,13.5492,12.8544,12.9450,3.6554,4999208
2000-02-01,13.0357,13.0780,12.6278,12.8574,3.6307,6576872
2000-02-02,12.9904,13.0568,12.4647,12.7124,3.5897,4718336
2000-02-03,12.6852,12.7638,12.3892,12.3892,3.4985,6421586
2000-02-04,12.4315,12.7577,12.4194,12.6278,3.5658,3993310
2000-02-07,12.6882,12.7487,12.3952,12.4919,3.5275,2814023
2000-02-08,12.5342,12.9450,12.5100,12.8091,3.6170,3948723
2000-02-09,13.0055,13.0055,12.5976,12.7487,3.6000,3910156
2000-02-10,12.8333,13.3227,12.6882,13.2925,3.7535,4984604
2000-02-11,13.2925,13.6248,12.9632,13.4707,3.8039,7475153
2000-02-14,13.3227,13.6308,13.3227,13.3861,3.7800,3460012
2000-02-15,13.4012,14.0326,13.2351,13.8785,3.9190,6840101
2000-02-16,13.7154,14.5703,13.7154,14.3498,4.0521,7935459
