date,open,high,low,close,adj_close,volume
2000-01-03,22.2667,22.5333,21.3667,22.0667,13.2514,707976
2000-01-04,21.3833,21.8167,20.8033,21.3667,12.8310,443550
2000-01-05,20.9667,22.0000,20.2333,21.4467,12.8791,767589
2000-01-06,20.1833,20.8333,20.1833,20.5500,12.3406,712413
2000-01-07,20.9167,21.1333,20.5500,21.0000,12.6108,1074495
2000-01-10,21.4833,21.8000,21.2333,21.3200,12.8030,862488
2000-01-11,21.2000,21.4167,20.9333,21.1333,12.6909,460473
2000-01-12,20.8833,21.4333,20.8833,21.2333,12.7509,317100
2000-01-13,21.1033,21.1567,20.4667,20.4667,12.2906,745737
2000-01-14,21.0000,21.3633,20.7500,20.9667,12.5908,749130
2000-01-17,21.0667,21.0667,20.5033,21.0000,12.6108,664647
2000-01-18,21.1167,21.1167,20.3500,20.5000,12.3106,538629
2000-01-19,20.5000,20.5833,19.7967,20.5467,12.3386,706470
2000-01-20,20.1667,20.8333,19.9167,20.0500,12.0403,472314
2000-01-21,20.0000,20.5000,19.9000,19.9867,12.0023,809808
2000-01-24,20.2267,20.2333,20.0000,20.0000,12.0103,361671
2000-01-25,19.8533,20.1300,19.6667,20.1267,12.0864,529161
2000-01-26,20.1667,20.1667,19.3733,19.8333,11.9102,688965
2000-01-27,19.6667,19.9833,19.3533,19.8333,11.9102,583512
2000-01-28,19.6667,19.9967,19.4033,19.5833,11.7601,407061
2000-01-31,19.8333,19.8333,18.6700,18.8667,11.3297,923136
2000-02-01,19.3333,19.6633,18.3667,18.8333,11.3097,728403
2000-02-02,19.0000,19.3667,19.0000,19.3333,11.6100,451815
2000-02-03,19.3333,19.3333,18.7000,18.8833,11.3397,709401
2000-02-04,19.1167,19.5000,18.6367,19.1667,11.5099,620463
2000-02-07,19.2500,19.2500,18.5167,18.7667,11.2697,420150
2000-02-08,18.8867,18.9800,18.5000,18.6667,11.2096,562092
2000-02-09,18.5367,18.7667,18.0500,18.2000,10.9294,964431
2000-02-10,18.1633,18.8800,18.0667,18.8800,11.3377,808746
2000-02-11,18.9300,18.9300,18.0767,18.1667,10.9094,1169199
2000-02-14,18.3333,18.6133,18.0033,18.1000,10.8693,444558
2000-02-15,18.2667,18.5000,17.9667,18.0833,10.8593,383610
2000-02-16,18.0500,19.1667,17.9000,18.9667,11.3898,1126059
2000-02-17,18.8333,19.9000,18.8333,19.5667,11.7501,1322880
2000-02-18,19.9000,19.9000,19.1967,19.4767,11.6960,982485
2000-02-21,19.2333,19.6000,19.0133,19.3333,11.6100,344772
2000-02-22,19.0667,19.4633,18.0000,18.3233,11.0034,1136148
2000-02-23,18.3333,19.2000,18.0333,18.9333,11.3698,855693
2000-02-24,18.7200,18.8667,18.6667,18.7600,11.2657,597144
2000-02-25,18.7033,18.9667,18.5833,18.6633,11.2076,518010
2000-02-28,18.5833,18.6667,17.8800,18.1667,10.9094,741786
2000-02-29,18.2067,18.4667,18.0400,18.0933,10.8653,586599
2000-03-01,18.0333,18.2700,17.6333,17.6967,10.6271,879090
2000-03-02,17.7000,17.7333,17.1000,17.5033,10.5110,821781
2000-03-03,17.5000,17.5000,17.1667,17.3667,10.4290,669348
2000-03-06,17.5300,17.7500,17.2000,17.3333,10.4089,684819
2000-03-07,17.2000,17.3333,16.4967,16.4967,9.9065,832851
2000-03-08,16.1833,16.8167,16.1833,16.4667,9.8885,972036
