date,open,high,low,close,adj_close,volume
2000-01-03,65.9160,66.5148,61.2166,64.0446,16.2885,4195931
2000-01-04,61.5992,62.3811,59.9690,61.5909,15.6644,4295647
2000-01-05,59.8858,60.8839,59.1372,60.8007,15.4635,3349896
2000-01-06,59.9690,60.5928,58.9709,59.3036,15.0827,2198697
2000-01-07,59.7195,61.1251,59.3452,60.7176,15.4423,3238414
2000-01-10,62.3811,63.5455,61.7988,62.4892,15.8929,3479426
2000-01-11,62.7969,63.0465,60.9255,61.6242,15.6729,3033625
2000-01-12,60.9255,62.1648,60.9255,61.6325,15.6750,1915615
2000-01-13,63.2211,64.2525,62.7969,62.7969,15.9711,5363646
2000-01-14,63.3376,63.9614,62.2230,62.6306,15.9288,3030131
2000-01-17,63.2544,63.4207,60.3849,60.5845,15.4085,3668113
2000-01-18,60.7592,61.4661,59.6446,60.5928,15.4106,3003225
2000-01-19,60.5928,60.7592,59.3951,60.5096,15.3894,2432963
2000-01-20,60.2185,60.6344,58.8461,59.0541,15.0192,2569080
2000-01-21,58.6382,59.8442,58.4303,59.1289,15.0383,3027331
2000-01-24,59.8276,59.8276,58.0560,58.1391,14.7865,2184952
2000-01-25,58.0560,58.1724,56.1430,56.1430,14.2788,4301662
2000-01-26,56.7252,56.8084,55.3112,55.8103,14.1942,3700209
2000-01-27,56.1430,58.5550,55.3112,58.0976,14.7760,4867209
2000-01-28,58.4635,58.8045,56.2261,56.6836,14.4163,3727862
2000-01-31,56.1929,56.4341,55.1532,55.2280,14.0461,3590175
2000-02-01,56.2261,56.3093,54.8122,55.7271,14.1731,3568971
2000-02-02,56.0431,56.5588,55.2363,55.7271,14.1731,2908142
2000-02-03,55.3112,56.7584,55.3112,56.4341,14.3529,3162028
2000-02-04,56.1845,56.8167,55.6855,56.4091,14.3465,2542584
2000-02-07,55.8934,57.1411,55.4110,55.7687,14.1837,2463967
2000-02-08,55.5191,56.1263,54.9036,55.1864,14.0356,2453257
2000-02-09,55.2696,55.3112,54.1301,54.6874,13.9086,3259020
2000-02-10,54.0636,55.8934,54.0636,55.6439,14.1519,3442078
2000-02-11,55.8934,56.8583,54.8953,54.8704,13.9552,5937719
2000-02-14,54.3963,55.6855,54.2715,55.6855,14.1625,2301634
2000-02-15,55.0617,56.2511,54.9785,55.1365,14.0229,2602796
2000-02-16,55.7271,55.9766,53.4398,54.6874,13.9086,5423921
2000-02-17,54.3048,55.3112,53.9388,54.6375,13.8960,2690068
2000-02-18,54.5210,54.6458,54.0636,54.0636,13.7500,3478762
2000-02-21,53.6893,54.0636,53.1320,53.6477,13.6442,1946142
2000-02-22,53.3316,53.8972,52.8160,53.6061,13.6336,2593939
2000-02-23,53.5645,53.7725,52.1922,52.6080,13.3798,2686011
2000-02-24,51.9842,52.4833,51.1941,51.6515,13.1365,3121755
2000-02-25,51.5683,55.0950,51.5683,54.7290,13.9192,4387706
2000-02-28,56.0182,56.9664,55.2280,56.0598,14.2577,4131452
2000-02-29,56.6919,58.8461,56.4923,58.2223,14.8077,4819262
2000-03-01,58.7214,59.2204,55.5275,56.7252,14.4269,4822638
2000-03-02,56.5588,56.5588,54.2715,55.9433,14.2281,4016994
2000-03-03,55.3112,55.6439,53.9555,54.8537,13.9510,3544473
2000-03-06,55.3112,55.3611,54.3131,54.6874,13.9086,1507274
2000-03-07,53.9388,54.3547,52.7494,53.0489,13.4919,2892448
2000-03-08,52.4916,54.1883,52.4916,53.9804,13.7288,4562640
2000-03-09,53.6893,53.9555,52.8409,53.2734,13.5490,3885098
2000-03-10,53.6893,53.6893,51.9842,52.4001,13.3269,2561559
2000-03-13,52.4001,52.4001,52.4001,52.4001,13.3269,0
2000-03-14,53.2318,54.6209,53.0239,54.6125,13.8896,3187560
2000-03-15,54.2299,55.0035,53.5229,53.8141,13.6865,2341685
2000-03-16,54.8205,58.0976,54.7040,58.0976,14.7760,5601863
2000-03-17,58.6299,58.8378,55.8518,57.4238,14.6046,46575930
2000-03-20,57.4238,58.0144,55.5275,56.2677,14.3106,3055075
2000-03-21,55.9350,57.3407,55.7271,56.6004,14.3952,3618131
2000-03-22,56.9331,58.3055,56.3925,57.3074,14.5750,5881555
2000-03-23,57.6817,58.3055,56.6004,56.8167,14.4502,3800219
2000-03-24,57.3906,59.5365,56.9747,58.3887,14.8500,5095731
2000-03-27,58.2223,59.8026,57.9728,58.2639,14.8183,3491975
2000-03-28,57.9728,58.2140,56.2261,56.5921,14.3931,5024337
2000-03-29,56.7751,56.9664,55.7271,56.5671,14.3867,2464511
2000-03-30,56.3925,57.7233,56.1430,56.7252,14.4269,2765742
2000-03-31,57.2242,57.5985,56.5671,56.5755,14.3888,1923300
2000-04-03,57.2575,58.2639,56.4757,57.9728,14.7442,2506265
2000-04-04,58.7546,59.9108,58.1225,58.7630,14.9452,3210682
2000-04-05,58.3055,59.0125,57.2242,58.8461,14.9663,3693466
2000-04-06,58.8877,59.1622,57.8480,58.2306,14.8098,2686312
2000-04-07,58.5966,58.6299,57.1826,57.8064,14.7019,2471241
2000-04-10,57.8064,58.3055,56.5172,57.9728,14.7442,2280984
2000-04-11,57.8896,58.3138,57.2325,57.9312,14.7336,2107191
2000-04-12,57.9312,58.6382,57.0995,58.3887,14.8500,2182337
2000-04-13,57.5985,58.6382,57.5237,58.2223,14.8077,2330903
2000-04-14,57.8896,58.2639,56.8998,57.4238,14.6046,2388606
2000-04-17,55.7687,57.1660,55.6439,56.9747,14.4904,3263384
2000-04-18,57.2242,57.5819,56.0431,57.1494,14.5348,2746007
2000-04-19,57.0579,57.0579,54.9369,56.3093,14.3211,5838839
2000-04-20,54.4379,54.7123,52.6912,52.6912,13.9846,4491472
2000-04-21,52.6912,52.6912,52.6912,52.6912,13.9846,0
2000-04-24,52.6912,52.6912,52.6912,52.6912,13.9846,0
2000-04-25,52.7744,54.4795,52.6912,54.3131,14.4151,3045019
2000-04-26,54.8953,55.0201,54.2882,54.4379,14.4482,1689556
2000-04-27,54.2299,54.3048,52.8991,52.9740,14.0596,1886133
2000-04-28,53.3899,53.8972,52.8160,53.3566,14.1612,2176727
2000-05-01,53.3566,53.3566,53.3566,53.3566,14.1612,0
2000-05-02,53.2318,53.8141,53.1154,53.6893,14.2495,1777721
2000-05-03,53.6477,54.6292,53.4315,53.6477,14.2384,2255873
2000-05-04,53.6477,54.1052,53.2817,53.8556,14.2936,2028507
2000-05-05,54.0220,54.0220,53.0738,53.8972,14.3047,1891391
2000-05-08,53.7059,53.8889,52.9906,53.3067,14.1479,1734677
2000-05-09,53.3067,53.3067,53.3067,53.3067,14.1479,0
2000-05-10,52.4001,52.5831,50.6950,51.0693,13.5541,4019692
2000-05-11,50.6701,50.9029,49.6969,50.4039,13.3775,4440892
2000-05-12,50.6118,51.3687,50.6118,51.1358,13.5718,2326017
2000-05-15,50.9029,51.5184,50.8780,51.1525,13.5762,1628502
2000-05-16,51.5268,52.5997,51.2855,51.6182,13.6998,2821359
2000-05-17,51.8179,51.9343,50.3623,50.9529,13.5232,2376353
2000-05-18,50.9029,51.6931,50.5370,50.7948,13.4813,2162037
2000-05-19,50.5287,50.9029,49.9048,50.1544,13.3113,2650441
2000-05-22,50.0712,51.1441,49.9548,50.6617,13.4460,2526343
2000-05-23,50.5702,51.4436,50.5453,50.6701,13.4482,2259749
2000-05-24,50.3207,51.1441,50.3207,50.5702,13.4217,2075431
2000-05-25,51.0693,51.6931,50.2791,50.5037,13.4040,2641846
2000-05-26,50.4039,50.6950,49.5306,49.5805,13.1590,2531389
2000-05-29,49.7468,50.2375,49.5056,49.7884,13.2142,1718058
2000-05-30,49.9132,50.2375,49.4973,49.8217,13.2230,1880772
2000-05-31,50.0712,50.0712,47.9502,48.4909,12.8698,3828301
2000-06-01,48.6572,48.9816,47.9087,48.4659,12.8632,1868753
