date,open,high,low,close,adj_close,volume
2000-01-03,15.2570,15.3603,14.9419,15.2619,9.7251,26872
2000-01-04,15.2520,15.2520,14.8926,15.0896,9.6153,102758
2000-01-05,14.8434,14.8533,14.7203,14.9173,9.5055,191430
2000-01-06,14.9173,14.9173,14.5234,14.5234,9.2545,46819
2000-01-07,14.5973,14.8680,14.3757,14.6465,9.3329,132058
2000-01-10,14.8926,14.9173,14.5234,14.9173,9.5055,139866
2000-01-11,14.8680,15.1142,14.5480,15.0010,9.5588,107653
2000-01-12,14.9173,15.1142,14.7696,15.1142,9.6309,41042
2000-01-13,15.0650,15.0650,14.6711,14.9665,9.5368,48393
2000-01-14,15.1388,15.1388,14.7696,14.8188,9.4427,80833
2000-01-17,14.9123,15.1634,14.8730,15.1634,9.6623,54944
2000-01-18,15.0157,15.1634,14.8828,14.9911,9.5525,76224
2000-01-19,14.9665,15.1142,14.7696,15.0157,9.5682,48746
2000-01-20,15.2619,15.6508,15.1634,15.4588,9.8505,107897
2000-01-21,15.3850,15.5080,15.2619,15.2619,9.7251,82273
2000-01-24,15.2619,15.4342,15.2619,15.3603,9.7878,46266
2000-01-25,15.3111,15.3111,14.9173,14.9173,9.5055,116670
2000-01-26,15.1142,15.3357,15.0157,15.1683,9.6655,90244
2000-01-27,15.2619,15.4539,15.1880,15.4539,9.8474,61890
2000-01-28,15.3603,15.4588,15.2127,15.4588,9.8505,125731
2000-01-31,15.2619,15.7050,15.2373,15.2619,9.7251,182428
2000-02-01,15.2865,15.5819,15.1634,15.5327,9.8976,126950
2000-02-02,15.6557,15.6557,15.0157,15.5080,9.8819,241640
2000-02-03,15.5573,15.7542,15.1142,15.2619,9.7251,225963
2000-02-04,15.2619,15.7542,15.2176,15.4588,9.8505,131160
2000-02-07,15.2865,15.2865,14.7696,14.9173,9.5055,73692
2000-02-08,14.7942,15.2127,14.7942,14.9173,9.5055,55023
2000-02-09,15.0206,15.1388,14.4249,14.8680,9.4741,86641
2000-02-10,14.7548,15.0157,14.2871,15.0157,9.5682,115287
2000-02-11,14.8926,15.2619,14.5726,15.2619,9.7251,124159
2000-02-14,15.2127,15.2127,14.6711,14.7696,9.4114,77327
2000-02-15,14.7696,14.8188,14.3265,14.4988,9.2388,115835
2000-02-16,14.5480,14.8188,14.3314,14.4643,9.2168,88251
2000-02-17,14.5234,14.5234,13.2434,13.6372,8.6898,401315
2000-02-18,13.7849,14.0065,13.3418,13.3911,8.5330,273623
2000-02-21,13.4895,13.7357,13.0218,13.3418,8.5016,131579
2000-02-22,13.2680,13.2680,12.9480,12.9480,8.2506,98706
2000-02-23,13.2926,13.2926,12.8988,13.2188,8.4232,86464
2000-02-24,13.0957,13.5388,13.0464,13.0464,8.3134,161444
2000-02-25,12.9726,13.3172,12.8249,13.2975,8.4734,212427
2000-02-28,13.1941,13.3911,13.1941,13.2926,8.4702,464489
2000-02-29,13.3665,13.3665,13.0711,13.0711,8.3290,63757
2000-03-01,13.1449,13.4403,13.1449,13.3911,8.5330,195550
2000-03-02,13.2926,15.0157,13.2926,14.7203,9.3800,195948
2000-03-03,14.9419,15.4342,14.5973,14.6219,9.3172,186188
2000-03-06,14.4742,15.6557,14.4742,15.6557,9.9760,147501
2000-03-07,15.2619,15.7050,15.1683,15.2619,9.7251,82600
2000-03-08,15.3850,16.4188,15.1880,16.3204,10.3995,230358
2000-03-09,16.3696,16.6896,16.2465,16.5468,10.5439,569088
2000-03-10,16.6158,16.8816,16.4927,16.7388,10.6662,2265450
2000-03-13,16.8619,16.9112,16.6896,16.8373,10.7289,228646
2000-03-14,16.6404,16.6404,15.2619,15.4096,9.8192,171728
2000-03-15,15.0256,15.1634,14.7696,14.7794,9.4176,190307
2000-03-16,15.0157,15.1142,14.6219,14.7696,9.4114,278006
2000-03-17,14.9911,15.0650,14.4742,14.9665,9.5368,291386
2000-03-20,15.0108,15.0108,14.7942,14.8926,9.4898,111569
2000-03-21,14.9173,14.9911,14.8188,14.8926,9.4898,50237
2000-03-22,14.9665,15.5080,14.7942,15.5080,9.8819,345867
2000-03-23,15.5573,15.9019,15.5573,15.8527,10.1015,146067
2000-03-24,15.9511,16.4434,15.6360,15.9511,10.1643,84256
2000-03-27,15.9511,16.0004,15.6311,15.7690,10.0482,112207
2000-03-28,16.1973,16.1973,15.7050,15.8527,10.1015,95582
