date,open,high,low,close,adj_close,volume
2000-01-03,260.0000,262.0000,236.0000,254.5000,95.3482,460124
2000-01-04,238.8000,240.0000,229.0000,238.0000,89.1665,426766
2000-01-05,235.0000,258.6000,231.5000,256.0000,95.9101,828974
2000-01-06,259.0000,270.0000,255.5000,266.0000,99.6566,595057
2000-01-07,268.0000,287.5000,265.0000,278.0000,104.1524,1006327
2000-01-10,285.0000,291.0000,272.5000,280.0000,104.9017,345650
2000-01-11,283.9900,284.0000,270.0500,281.0000,105.2764,407971
2000-01-12,275.0000,282.0000,272.0000,282.0000,105.6510,322955
2000-01-13,285.0000,300.5000,278.9100,284.0000,106.4003,555606
2000-01-14,287.0000,313.0000,279.0000,308.5000,115.5792,1156537
2000-01-17,307.2500,320.0000,304.0000,313.0000,117.2652,503370
2000-01-18,311.3000,314.5000,296.0000,298.9000,111.9826,394508
2000-01-19,295.0000,302.8000,285.5000,300.0000,112.3947,343981
2000-01-20,303.9000,307.0000,287.6000,287.6000,107.7491,307522
2000-01-21,285.0000,288.7300,280.8200,284.5000,106.5877,363049
2000-01-24,285.0000,290.0000,275.1000,276.5000,103.5904,255207
2000-01-25,274.7000,278.0000,265.0500,265.7100,99.5480,414232
2000-01-26,269.9000,281.4000,267.0000,280.4000,105.0516,312065
2000-01-27,283.5000,286.6000,268.9900,272.8000,102.2043,347893
2000-01-28,270.3000,290.0600,270.2200,281.0100,105.2801,357649
2000-01-31,275.2000,279.5000,264.0000,266.1500,99.7128,400931
2000-02-01,270.0000,277.4000,268.5000,274.0000,102.6538,549637
2000-02-02,274.5000,279.5000,269.5000,276.5000,103.5904,365016
2000-02-03,275.0800,283.3000,272.2900,274.0000,102.6538,444319
2000-02-04,278.0000,290.1700,268.1500,282.9900,106.0219,452799
2000-02-07,281.0000,286.3100,274.1000,274.1000,102.6913,228146
2000-02-08,272.6000,281.9900,263.5000,272.2000,101.9794,459734
2000-02-09,274.9800,288.0000,269.1000,277.9900,104.1487,688082
2000-02-10,275.0000,289.5000,275.0000,289.0000,108.2735,361103
2000-02-11,291.5000,298.5000,286.1000,295.0000,110.5214,763329
2000-02-14,291.0000,306.0000,290.4000,302.0000,113.1440,472482
2000-02-15,302.0000,313.0100,300.0000,300.5000,112.5820,392800
2000-02-16,305.0000,306.0000,288.5500,300.0000,112.3947,531741
2000-02-17,294.0000,302.0000,278.0000,292.0000,109.3975,696128
2000-02-18,294.9000,295.0000,284.6100,286.5100,107.3407,425683
2000-02-21,284.4800,293.6000,276.1200,290.0000,108.6482,194996
2000-02-22,291.5000,295.4000,287.0000,295.0000,110.5214,278590
2000-02-23,299.0000,302.0000,292.5100,300.0000,112.3947,240142
2000-02-24,304.0000,304.0000,290.2500,290.8200,108.9554,239572
2000-02-25,296.0000,296.4300,287.0000,290.0000,108.6482,196073
2000-02-28,286.6000,294.5000,280.0500,294.0000,110.1468,246902
2000-02-29,293.5100,294.0000,284.1000,284.1000,106.4378,187521
2000-03-01,290.0000,291.7400,280.0000,283.5000,106.2130,317267
2000-03-02,286.0000,288.2600,272.0000,282.0000,105.6510,341858
2000-03-03,286.4000,286.4000,273.9000,283.5000,106.2130,299049
2000-03-06,282.0000,283.0000,276.0000,280.0000,104.9017,184527
2000-03-07,286.0000,299.0000,280.5000,287.6000,107.7491,531558
2000-03-08,286.6000,316.0000,286.6000,298.0000,111.6454,780415
2000-03-09,306.0000,321.0000,299.0000,315.0000,118.0144,775918
2000-03-10,318.0000,328.0000,314.0000,320.0000,119.8876,377129
