date,open,high,low,close,adj_close,volume
2000-01-03,4.4583,4.5692,4.4583,4.5000,2.9343,67296
2000-01-04,4.5417,4.5417,4.3333,4.3333,2.8256,36876
2000-01-05,4.2167,4.2500,4.1083,4.1742,2.7218,54288
2000-01-06,4.2250,4.2250,4.0000,4.0833,2.6626,63624
2000-01-07,4.1200,4.5000,4.0250,4.5000,2.9343,140148
2000-01-10,4.5083,4.8333,4.4625,4.6000,2.9995,316008
2000-01-11,5.0917,5.2508,5.0417,5.2508,3.4239,337536
2000-01-12,5.3333,5.3667,4.9667,5.0083,3.2657,223428
2000-01-13,5.0000,5.1667,5.0000,5.1667,3.3690,42792
2000-01-14,5.2500,5.4583,5.1667,5.4167,3.5320,210528
2000-01-17,5.5750,5.6242,5.3167,5.5000,3.5863,140748
2000-01-18,5.4417,5.5417,5.2917,5.3083,3.4613,108444
2000-01-19,5.3750,5.4167,5.3008,5.3008,3.4565,16860
2000-01-20,5.3808,5.3808,5.1250,5.1250,3.3418,53352
2000-01-21,5.0833,5.1408,4.8958,5.1408,3.3521,79440
2000-01-24,5.2292,5.2500,5.0000,5.0417,3.2875,100104
2000-01-25,4.8333,4.9167,4.7083,4.7750,3.1136,51300
2000-01-26,4.8750,5.0792,4.8750,5.0000,3.2603,77652
2000-01-27,5.0750,5.0833,5.0000,5.0417,3.2875,30012
2000-01-28,5.0000,5.1250,5.0000,5.0750,3.3092,49740
2000-01-31,4.9583,5.0792,4.9167,5.0000,3.2603,41280
2000-02-01,5.0083,5.1250,5.0083,5.1250,3.3418,22836
2000-02-02,5.0417,5.4558,5.0000,5.4558,3.5575,93768
2000-02-03,5.3417,5.4583,5.1667,5.2083,3.3961,30924
2000-02-04,5.2583,5.3333,5.2083,5.2083,3.3961,32700
2000-02-07,5.2083,5.2917,5.0000,5.0917,3.3201,87444
2000-02-08,5.1842,5.1842,5.0000,5.0000,3.2603,67080
2000-02-09,5.0833,5.0833,4.8750,4.8750,3.1788,31236
2000-02-10,4.9167,4.9167,4.7167,4.7500,3.0973,32304
2000-02-11,4.8083,5.1667,4.8083,5.1333,3.3472,90624
2000-02-14,5.1292,5.1292,4.8917,4.8917,3.1897,55908
2000-02-15,5.0417,5.1250,4.9583,5.0833,3.3146,47736
2000-02-16,5.1250,5.1250,4.7083,5.0000,3.2603,242628
2000-02-17,5.0333,5.4333,4.9583,5.4333,3.5429,144096
2000-02-18,5.5667,6.0833,5.4167,5.9042,3.8499,529020
2000-02-21,5.9167,6.4083,5.6917,6.1417,4.0047,988164
2000-02-22,6.2483,6.2483,5.4167,5.5000,3.5863,223536
2000-02-23,5.5958,5.8967,5.5833,5.8333,3.8037,116568
2000-02-24,5.8333,5.9575,5.4167,5.5000,3.5863,155952
2000-02-25,5.6167,5.7500,5.4583,5.6667,3.6950,104760
2000-02-28,5.7675,5.7833,5.0417,5.2083,3.3961,133872
2000-02-29,5.2917,5.3917,5.2500,5.2917,3.4505,50448
2000-03-01,5.3750,5.5150,4.7917,5.0417,3.2875,179976
2000-03-02,5.0792,5.1417,4.8292,4.9083,3.2005,87180
2000-03-03,4.7958,5.0417,4.7925,4.9250,3.2114,116880
2000-03-06,5.0467,5.1250,4.9833,5.0417,3.2875,116484
2000-03-07,5.1667,5.3650,5.0750,5.2500,3.4233,59808
2000-03-08,5.5083,5.7083,5.5000,5.5833,3.6407,462372
2000-03-09,5.6633,5.8250,5.5833,5.7417,3.7439,150480
2000-03-10,5.6333,5.7917,5.5850,5.6667,3.6950,171600
2000-03-13,5.5917,5.5917,5.3333,5.4167,3.5320,158916
2000-03-14,5.4833,5.6633,5.3333,5.4158,3.5314,142224
2000-03-15,5.3333,5.4167,5.2508,5.2917,3.4505,61836
2000-03-16,5.3850,5.4167,5.2750,5.2983,3.4548,36348
2000-03-17,5.4083,5.6475,5.3750,5.4217,3.5352,152112
2000-03-20,5.5667,5.6667,5.4583,5.6667,3.6950,108144
2000-03-21,5.5833,5.6667,5.5167,5.5750,3.6352,49692
2000-03-22,5.6667,5.6667,5.5417,5.5417,3.6135,37440
2000-03-23,5.6250,5.6667,5.4583,5.6667,3.6950,75660
2000-03-24,5.6642,5.8167,5.5833,5.7500,3.7493,91980
2000-03-27,5.8333,5.9417,5.8167,5.9167,3.8580,104520
2000-03-28,5.8750,6.1167,5.8333,5.9992,3.9118,123048
2000-03-29,6.0000,6.0083,5.8333,5.9167,3.8580,80736
2000-03-30,5.8167,5.9567,5.7500,5.8333,3.8037,149508
2000-03-31,5.7500,5.9000,5.5167,5.8333,3.8037,105480
2000-04-03,5.9583,6.0075,5.6667,5.6667,3.6950,48156
2000-04-04,5.4925,5.7500,5.4167,5.4583,3.5592,80580
2000-04-05,5.5417,5.5417,5.0917,5.1667,3.3690,52644
2000-04-06,5.2917,6.0250,5.2917,5.9750,3.8961,110412
2000-04-07,5.8583,5.8583,5.5000,5.6667,3.6950,80928
2000-04-10,5.6667,5.7675,5.6667,5.6667,3.6950,103284
2000-04-11,5.6250,5.6667,5.4733,5.5575,3.6238,87228
2000-04-12,5.5833,5.6667,5.5800,5.6667,3.6950,27912
2000-04-13,5.5833,5.6150,5.3833,5.4917,3.5809,83892
2000-04-14,5.4333,5.5750,5.3750,5.3750,3.5048,38616
2000-04-17,5.2500,5.4375,5.1458,5.4375,3.5456,46404
2000-04-18,5.5667,5.5667,5.3750,5.5000,3.5863,18876
2000-04-19,5.5833,5.5833,5.3500,5.5000,3.5863,37188
2000-04-20,5.4583,5.5000,5.3500,5.3500,3.4885,11988
2000-04-21,5.3500,5.3500,5.3500,5.3500,3.4885,0
2000-04-24,5.3500,5.3500,5.3500,5.3500,3.4885,0
2000-04-25,5.5000,5.5000,5.3333,5.4000,3.5211,34188
2000-04-26,5.4167,5.4917,5.2417,5.2417,3.4179,32808
2000-04-27,5.2500,5.2500,5.0767,5.0833,3.3146,69024
2000-04-28,5.2083,5.2183,5.1233,5.1917,3.3853,14676
2000-05-01,5.1917,5.1917,5.1917,5.1917,3.3853,0
2000-05-02,5.1667,5.5000,5.1667,5.4167,3.5320,68892
2000-05-03,5.4167,5.4833,5.3833,5.4167,3.5320,19608
2000-05-04,5.3333,5.4167,5.3000,5.3917,3.5157,9768
2000-05-05,5.4042,5.4042,5.2500,5.2500,3.4233,11952
2000-05-08,5.2417,5.3500,5.2092,5.2092,3.3967,40968
2000-05-09,5.2092,5.2092,5.2092,5.2092,3.3967,0
2000-05-10,5.1658,5.2083,5.1250,5.1667,3.3690,15348
2000-05-11,5.0833,5.0833,4.8458,5.0000,3.2603,55176
2000-05-12,5.0717,5.2500,5.0000,5.2500,3.4233,52284
2000-05-15,5.2492,5.2492,5.0417,5.1667,3.3690,2796
2000-05-16,5.1667,5.1667,5.0833,5.1658,3.3684,3264
2000-05-17,5.1000,5.1900,5.0583,5.0583,3.2983,13668
2000-05-18,5.0250,5.0917,5.0000,5.0917,3.3201,4920
2000-05-19,5.0000,5.0383,4.9167,5.0383,3.2853,84696
2000-05-22,4.9167,5.0000,4.8467,5.0000,3.2603,24204
2000-05-23,5.0417,5.1242,4.9167,5.1233,3.3407,53592
2000-05-24,4.9583,5.1067,4.9583,5.0583,3.2983,32496
2000-05-25,5.0833,5.1250,5.0267,5.0267,3.2777,8604
2000-05-26,5.0008,5.0300,4.8750,5.0000,3.2603,39600
2000-05-29,5.0000,5.0000,4.9042,5.0000,3.2603,4860
2000-05-30,5.0333,5.0417,4.9367,5.0000,3.2603,4296
2000-05-31,5.0417,5.0833,4.9858,5.0583,3.2983,17832
