date,open,high,low,close,adj_close,volume
2000-01-03,39.5682,40.0666,38.4221,38.6712,14.1421,1236054
2000-01-04,38.9702,38.9702,36.9868,38.6812,14.1457,1448199
2000-01-05,36.8573,38.5217,36.3789,37.4154,13.6828,1475345
2000-01-06,37.3755,38.3722,37.1862,38.1629,13.9562,935343
2000-01-07,38.4719,38.8706,37.1762,37.3656,13.6646,1538811
2000-01-10,37.8539,37.8639,36.8373,37.1762,13.5953,1111296
2000-01-11,37.3755,37.3855,36.6779,37.0267,13.5407,1312451
2000-01-12,37.1662,37.4254,36.4287,36.9769,13.5224,799141
2000-01-13,36.5483,37.0765,36.1795,36.2792,13.2673,1314269
2000-01-14,36.1895,36.7775,35.9304,35.9304,13.1397,1212977
2000-01-17,36.4885,36.6280,35.2426,35.4818,12.9757,1002928
2000-01-18,35.6313,36.6280,35.1330,36.1795,13.2308,981534
2000-01-19,35.6014,35.9304,35.3822,35.8706,13.1179,929878
2000-01-20,36.2294,36.2692,34.9835,35.1828,12.8664,1126632
2000-01-21,35.5317,36.7775,35.3323,36.4287,13.3220,1817510
2000-01-24,36.4287,36.5782,35.4320,35.8905,13.1251,983030
2000-01-25,35.7808,35.8506,34.9636,35.0632,12.8226,1213937
2000-01-26,35.3822,35.5815,34.1862,34.5749,12.6440,1439423
2000-01-27,34.1862,34.7343,33.1097,33.7875,12.3561,1787826
2000-01-28,33.7875,34.7343,33.0798,34.0367,12.4472,770624
2000-01-31,33.5483,33.6380,32.2526,32.6413,11.9369,1272107
2000-02-01,33.4685,33.4685,31.8938,32.3622,11.8349,1426674
2000-02-02,32.8905,32.9204,31.8440,32.4719,11.8750,811530
2000-02-03,32.3921,32.7310,31.3157,31.6945,11.5907,1371662
2000-02-04,31.4951,31.8938,30.6978,30.9968,11.3355,1577963
2000-02-07,31.1463,31.1961,30.1596,31.1961,11.4084,1288974
2000-02-08,31.2460,32.7509,31.0964,32.1529,11.7583,1160189
2000-02-09,32.4918,32.4918,30.7177,31.2958,11.4449,1222209
2000-02-10,31.2759,31.8838,30.1994,31.4453,11.4995,1629470
2000-02-11,31.1562,31.1562,30.1197,30.3888,11.1132,2799675
2000-02-14,30.4984,32.9901,30.3988,32.8905,12.0280,1709613
2000-02-15,33.2094,34.8639,33.2094,34.4852,12.6112,3213657
2000-02-16,34.8340,35.4818,34.4353,35.0832,12.8299,2392097
2000-02-17,35.3822,35.5815,34.1363,34.2659,12.5310,1361948
2000-02-18,34.3855,34.9038,33.6878,33.8772,12.3889,1859573
2000-02-21,33.8373,35.4818,33.8373,34.6446,12.6695,1351412
2000-02-22,34.4951,35.6812,34.3755,35.2327,12.8846,2015001
2000-02-23,35.7709,36.9868,35.3822,36.3888,13.3074,2007163
2000-02-24,35.8406,35.8805,33.9470,33.9470,12.4144,2591067
