date,open,high,low,close,adj_close,volume
2000-01-03,75.4156,76.0563,71.4556,73.9598,31.9389,3612802
2000-01-04,72.1428,72.1486,68.6137,71.9214,31.0587,5131674
2000-01-05,67.1462,69.0155,64.9332,69.0155,29.8038,5907607
2000-01-06,66.1561,66.9073,64.7585,65.8650,28.4433,4990335
2000-01-07,65.9524,69.3300,64.7585,68.5147,29.5875,5871271
2000-01-10,71.0480,72.7950,70.4656,72.5912,31.3479,4664916
2000-01-11,72.7076,74.6586,72.2185,73.0920,31.5642,4936365
2000-01-12,72.1544,72.7950,70.9780,72.3175,31.2297,4463196
2000-01-13,71.7468,78.5546,71.6944,75.1245,32.4419,9291044
2000-01-14,75.8233,80.0454,75.8174,79.0263,34.1269,5742448
2000-01-17,79.7251,81.2393,76.3475,80.7792,34.8838,5226319
2000-01-18,80.9481,81.1810,76.0679,77.4539,33.4479,4930322
2000-01-19,76.4057,76.9880,74.6878,76.4349,33.0078,3891754
2000-01-20,77.4539,80.4822,77.4539,80.0338,34.5619,5196115
2000-01-21,79.1369,82.4039,78.3915,79.7833,34.4538,5176994
2000-01-24,83.3940,89.5030,81.9090,81.9090,35.3718,11326696
2000-01-25,81.5304,87.0570,81.5246,82.6952,35.7113,7513827
2000-01-26,84.4423,85.5197,81.5596,82.6952,35.7113,4599781
2000-01-27,83.0446,87.2958,82.1768,87.2958,37.6980,3903246
2000-01-28,87.3541,90.4700,86.1951,87.9944,37.9997,6881022
2000-01-31,86.4806,87.3482,80.6569,81.0121,34.9845,5545898
2000-02-01,84.1510,84.5471,81.9381,83.9472,36.2519,4997009
2000-02-02,84.4423,85.1703,83.2775,84.0346,36.2897,4398985
2000-02-03,83.1610,90.0446,83.1610,88.6758,38.2939,4932100
2000-02-04,89.3921,94.4997,89.1012,94.0516,40.6154,4389616
2000-02-07,94.1092,99.8397,94.1092,94.9251,40.9927,6047169
2000-02-08,94.6333,100.6320,94.6333,99.5837,43.0044,5157428
2000-02-09,100.1664,107.0376,100.1664,104.5917,45.1671,5816638
2000-02-10,101.3308,103.3635,97.9065,100.7481,43.5073,7199446
2000-02-11,101.9134,101.9711,98.4193,99.8746,43.1301,6643650
2000-02-14,99.5776,103.3338,98.7102,102.7398,44.3674,3914909
2000-02-15,102.7870,103.3574,94.6395,94.6395,40.8693,5696042
2000-02-16,97.6619,98.0113,89.6839,94.7504,40.9172,9618893
2000-02-17,95.5130,97.1378,92.3621,96.3228,41.5962,5608858
2000-02-18,97.2540,97.3125,91.8380,93.1955,40.2457,5314419
2000-02-21,91.5760,94.9251,88.5832,94.9251,40.9927,3903297
2000-02-22,94.9251,98.9137,94.4586,96.1481,41.5208,5188038
2000-02-23,99.0011,105.4015,97.8366,105.1744,45.4187,6784250
2000-02-24,107.4456,111.6971,102.5013,104.5279,45.1396,6167953
2000-02-25,106.2811,109.4835,105.4076,109.4835,47.7363,4569323
2000-02-28,107.7950,109.2215,103.3163,104.3008,45.4766,4385771
2000-02-29,105.4653,108.6100,103.7068,107.3870,46.8222,4353150
2000-03-01,110.6488,113.3743,108.0282,109.0765,47.5588,5701128
2000-03-02,110.5903,111.5276,107.1547,111.5276,48.6275,3570412
2000-03-03,111.2306,113.7936,108.9018,110.9572,48.3788,3687776
2000-03-06,111.8718,112.3959,106.3388,108.3191,47.2286,2851868
2000-03-07,108.0282,108.0282,103.6719,106.5720,46.4668,3656657
2000-03-08,103.6605,106.1353,101.9134,102.7171,44.7860,3788630
2000-03-09,102.6123,106.2811,102.5537,106.2811,46.3400,3044156
2000-03-10,108.0282,109.4835,106.8629,108.6100,47.3554,2853806
2000-03-13,106.5720,107.6203,97.8951,99.6422,43.4454,7472128
2000-03-14,100.2825,101.5928,95.9734,99.4675,43.3692,4286216
2000-03-15,98.4193,98.4193,89.1073,89.1536,38.8722,8126739
2000-03-16,90.7321,93.6960,87.5288,88.9850,38.7987,7647322
2000-03-17,92.3045,97.0793,91.5471,93.1719,40.6242,36972806
2000-03-20,94.9304,102.4664,93.8769,102.0532,44.4966,4878608
2000-03-21,100.7481,101.0050,94.9251,99.0011,43.1658,4468324
2000-03-22,100.7481,101.6164,91.1392,92.1874,40.1950,5893804
2000-03-23,93.7598,95.3322,91.4309,92.1647,40.1851,3844084
2000-03-24,94.3425,96.6661,91.7804,96.2642,41.9725,3880610
2000-03-27,97.1378,97.1378,91.4012,93.1780,40.6269,2748720
2000-03-28,93.1780,95.3619,90.2656,91.3724,39.8396,4230181
2000-03-29,91.7218,92.0075,88.6059,89.8289,39.1666,4040130
2000-03-30,88.4024,89.0724,83.8600,86.4806,37.7067,6545863
2000-03-31,85.6652,89.3344,83.0446,87.3482,38.0850,4662166
2000-04-03,87.9368,89.4620,82.5262,82.6952,36.0562,4195792
