date,open,high,low,close,adj_close,volume
2000-01-03,32.6039,32.6039,30.6158,31.2123,10.0816,186288
2000-01-04,31.5403,31.5403,29.6218,29.8206,9.6321,124950
2000-01-05,29.3236,30.3673,29.0552,30.0194,9.6963,165920
2000-01-06,30.3176,30.9439,29.8206,30.6655,9.9050,148235
2000-01-07,30.9737,31.8087,30.8146,31.4409,10.1555,103079
2000-01-10,31.8087,32.3057,31.4111,31.6596,10.2261,162460
2000-01-11,32.1069,32.3554,31.7093,31.9677,10.3256,339647
2000-01-12,31.9578,32.3057,31.3315,31.7291,10.2486,152764
2000-01-13,32.0075,32.1069,30.4170,30.8146,9.9532,192299
2000-01-14,31.3117,31.8087,30.8146,30.8246,9.9564,114434
2000-01-17,31.3117,31.8584,30.9141,31.8584,10.2903,175059
2000-01-18,31.3117,31.8087,30.7152,31.3514,10.1266,89292
2000-01-19,31.3514,31.6596,29.7212,30.4667,9.8408,276746
2000-01-20,30.5065,30.5065,29.6218,29.9200,9.6642,156814
2000-01-21,30.0194,30.1188,29.5224,29.9200,9.6642,190082
2000-01-24,29.6715,30.2182,29.4727,29.6715,9.5840,169150
2000-01-25,29.7013,29.7013,28.9757,29.0751,9.3913,105708
2000-01-26,29.4131,29.4131,28.5284,28.7670,9.2918,83666
2000-01-27,28.8266,29.5224,26.9877,29.5224,9.5358,159792
2000-01-28,29.3236,30.1188,28.8564,28.8564,9.3207,211097
2000-01-31,28.8266,28.8266,28.1308,28.4290,9.1826,184325
2000-02-01,28.6278,28.7272,27.9817,28.3197,9.1473,326207
2000-02-02,28.8266,28.8266,28.0314,28.3296,9.1505,390647
2000-02-03,28.5781,28.5781,27.8326,27.9320,9.0221,130112
2000-02-04,28.2302,28.2302,26.8386,27.0374,8.7331,118360
2000-02-07,26.8883,27.3356,26.1428,26.8286,8.6657,120246
2000-02-08,26.8386,26.8386,26.2422,26.3416,8.5084,189688
2000-02-09,26.3416,26.5404,26.1030,26.5404,8.5726,99281
2000-02-10,26.5801,26.6398,26.0433,26.5304,8.5694,133811
2000-02-11,26.6298,26.7889,25.9141,26.3217,8.5020,217490
2000-02-14,26.3217,26.5304,25.7451,25.8445,8.3478,123333
2000-02-15,25.8445,26.3316,25.8445,26.0433,8.4121,88917
2000-02-16,26.0433,26.2422,25.8445,25.9439,8.3800,90263
2000-02-17,25.8445,27.4250,25.8445,26.3515,8.5116,258554
2000-02-18,26.7889,26.9380,25.7948,25.8147,8.3382,111236
2000-02-21,25.6457,25.7451,25.3475,25.4469,8.2194,125824
2000-02-22,25.8445,26.0931,25.2283,25.5463,8.2515,186812
2000-02-23,25.4867,25.4867,23.3595,23.7074,7.6575,276505
2000-02-24,23.7571,24.0056,22.0772,22.1667,7.1599,417145
2000-02-25,22.6140,23.4589,22.5146,23.2601,7.5131,352870
2000-02-28,23.4589,23.8267,22.8625,23.5583,7.6094,195241
2000-02-29,23.7273,24.2044,23.3794,23.3794,7.5516,112148
2000-03-01,24.4529,24.4529,23.3595,23.6577,7.6415,469264
2000-03-02,24.3436,24.3436,23.5583,23.9062,7.7218,317221
2000-03-03,24.4330,24.5026,23.7869,23.7969,7.6864,256620
2000-03-06,24.1547,24.4330,23.6378,23.8565,7.7057,179172
2000-03-07,23.6577,23.8466,23.3595,23.6080,7.6254,130024
2000-03-08,23.3595,23.7571,23.1110,23.7074,7.6575,227515
2000-03-09,24.0454,24.3336,23.2601,23.8466,7.7025,171002
2000-03-10,23.4092,24.3336,23.4092,23.8466,7.7025,111091
2000-03-13,24.1050,24.3038,23.8565,24.3038,7.8502,89706
2000-03-14,24.3336,25.1984,24.3336,24.7710,8.0011,221633
2000-03-15,25.2481,26.4410,24.9499,25.6457,8.2836,285933
2000-03-16,26.3316,27.3356,26.0931,26.9877,8.7171,382925
2000-03-17,27.3356,27.7332,26.3416,26.8386,8.6689,516956
2000-03-20,27.1368,27.2859,26.0533,26.4410,8.5405,208481
2000-03-21,26.2422,26.9380,25.7849,25.7849,8.3286,76719
2000-03-22,26.0433,26.2422,25.4469,25.8942,8.3639,158849
2000-03-23,26.1328,26.3913,25.7451,26.3913,8.5244,88547
2000-03-24,26.4410,27.2362,26.4410,26.5404,8.5726,87335
2000-03-27,27.1865,27.3356,26.0931,26.3913,8.5244,203080
2000-03-28,26.8187,27.2262,26.3416,26.5901,8.5886,131675
2000-03-29,27.0374,27.1268,26.6398,27.1169,8.7588,86316
2000-03-30,27.1268,27.3356,26.4509,26.5304,8.5694,133544
2000-03-31,27.1169,27.1169,26.1527,26.1527,8.4474,33510
2000-04-03,27.0871,27.1268,25.8545,25.8545,8.3511,70096
2000-04-04,26.0135,26.3217,25.5463,25.5463,8.2515,83591
2000-04-05,25.9638,26.0931,24.5623,25.0394,8.0878,93245
2000-04-06,25.0493,25.8445,24.7213,25.3475,8.1873,71523
2000-04-07,25.5463,25.5463,24.8108,25.1487,8.1231,24360
2000-04-10,25.1487,25.3972,24.5523,24.5523,7.9305,46735
2000-04-11,25.0493,25.3774,24.6517,24.7809,8.0043,30316
2000-04-12,24.7809,25.1388,24.1050,24.7114,7.9818,60551
2000-04-13,24.7014,24.7014,24.3635,24.4927,7.9112,55865
2000-04-14,24.5623,25.3674,24.3833,24.8505,8.0268,90626
2000-04-17,24.2541,24.8505,24.0454,24.5026,7.9144,88466
