date,open,high,low,close,adj_close,volume
2014-10-01,24.1000,24.4850,21.5000,21.5000,21.5000,15682223
2014-10-02,21.4000,21.4000,18.2800,19.0000,19.0000,6565429
2014-10-06,19.0000,19.0000,19.0000,19.0000,19.0000,0
2014-10-07,17.7500,17.9800,17.1800,17.5000,17.5000,1179555
2014-10-08,17.2500,17.7150,17.0100,17.1000,17.1000,823752
2014-10-09,17.2800,18.1950,17.2500,17.8500,17.8500,525219
2014-10-10,18.0050,18.3150,17.7550,17.9500,17.9500,451171
2014-10-13,18.0650,18.6000,17.5000,18.5500,18.5500,259034
2014-10-14,18.5700,19.3950,18.4800,19.0100,19.0100,415192
2014-10-15,19.1700,19.3500,18.0000,18.2400,18.2400,271454
2014-10-16,18.3050,18.9200,18.2000,18.3000,18.3000,286457
2014-10-17,18.2950,18.4750,18.1000,18.3500,18.3500,207229
2014-10-20,18.4200,18.4200,18.1300,18.2500,18.2500,117360
2014-10-21,18.2950,18.7350,18.2350,18.7350,18.7350,132355
2014-10-22,18.8000,18.8800,18.6400,18.7500,18.7500,145330
2014-10-23,18.7950,18.7950,18.2250,18.6000,18.6000,145788
2014-10-24,18.5300,18.8200,18.2200,18.5000,18.5000,165208
2014-10-27,18.6550,18.8300,18.4100,18.8000,18.8000,112577
2014-10-28,18.9000,19.3750,18.5900,18.5900,18.5900,134280
2014-10-29,18.8000,19.2150,18.4500,18.8850,18.8850,150701
2014-10-30,18.9000,19.2000,18.4100,18.4500,18.4500,163504
2014-10-31,18.5000,18.6000,18.1500,18.5000,18.5000,198875
2014-11-03,18.6000,18.6000,18.2000,18.2500,18.2500,99863
2014-11-04,18.4050,18.5000,18.0000,18.0000,18.0000,166144
2014-11-05,18.0050,18.3000,17.1500,17.3500,17.3500,179475
2014-11-06,17.2900,17.6300,17.1800,17.5000,17.5000,178689
2014-11-07,17.9000,18.3550,17.8000,18.3550,18.3550,237693
2014-11-10,18.9000,19.4150,18.0000,18.2500,18.2500,422574
2014-11-11,18.5000,18.6400,18.2000,18.5000,18.5000,191614
2014-11-12,18.4500,18.7200,18.1700,18.3200,18.3200,177290
2014-11-13,18.2600,18.5850,17.5000,18.3000,18.3000,150016
2014-11-14,18.4500,18.6450,18.2750,18.5900,18.5900,83603
2014-11-17,18.4300,18.7850,18.4000,18.6000,18.6000,94942
2014-11-18,18.6500,19.0750,18.5500,18.9400,18.9400,132858
2014-11-19,19.0000,19.0850,18.6800,18.9850,18.9850,106514
2014-11-20,19.0850,19.0850,18.6000,18.7200,18.7200,113413
2014-11-21,18.7650,19.0000,18.7500,19.0000,19.0000,70587
2014-11-24,19.1600,20.2400,19.0150,19.8400,19.8400,279965
2014-11-25,20.1000,20.3150,19.8100,20.0700,20.0700,370898
2014-11-26,21.4000,23.3800,21.2000,23.2500,23.2500,1342839
2014-11-27,23.3900,23.3900,22.5000,23.2000,23.2000,212345
2014-11-28,23.5000,26.3250,23.3500,25.1000,25.1000,802195
2014-12-01,25.5000,26.3700,24.7950,25.4700,25.4700,451158
2014-12-02,24.8500,25.2000,23.5400,24.1000,24.1000,407950
2014-12-03,24.3100,25.6450,23.1100,25.3900,25.3900,422650
2014-12-04,25.6200,25.7600,24.3050,24.6150,24.6150,144592
2014-12-05,24.7900,25.1050,24.6650,25.0500,25.0500,50023
2014-12-08,25.4500,25.4500,24.2000,24.2300,24.2300,102487
2014-12-09,24.0900,24.0900,22.5600,23.4000,23.4000,209503
2014-12-10,23.0000,24.1000,23.0000,24.0000,24.0000,148032
2014-12-11,24.0000,24.6950,23.0850,24.5200,24.5200,92506
2014-12-12,24.5500,25.8000,24.5500,25.6500,25.6500,212956
2014-12-15,25.3950,25.6500,24.8700,25.2300,25.2300,142957
2014-12-16,25.1500,25.7550,24.8650,25.6000,25.6000,146016
2014-12-17,25.5350,25.7650,25.0200,25.6500,25.6500,75802
2014-12-18,25.8000,27.0800,25.6000,25.7550,25.7550,329980
2014-12-19,25.7550,26.6700,25.6600,25.7500,25.7500,284900
2014-12-22,25.9900,25.9900,24.5950,25.6950,25.6950,124148
2014-12-23,25.7200,25.9000,25.4850,25.7000,25.7000,51474
2014-12-29,25.7000,25.7000,25.0000,25.5000,25.5000,34804
2014-12-30,25.3500,25.6100,25.3500,25.5000,25.5000,25392
2015-01-02,25.6000,25.6000,25.1100,25.5000,25.5000,31334
2015-01-05,25.4100,25.4850,24.5500,24.7000,24.7000,126175
2015-01-06,24.2000,24.2150,23.3500,23.6300,23.6300,187524
2015-01-07,23.5900,23.6150,21.8450,21.9500,21.9500,578324
2015-01-08,22.2500,23.1800,22.0600,22.5500,22.5500,326244
2015-01-09,22.4800,22.9150,22.4400,22.5000,22.5000,206360
2015-01-12,22.6900,23.9400,22.6900,23.0900,23.0900,180466
2015-01-13,23.2050,25.0000,23.2050,24.3700,24.3700,186475
2015-01-14,24.2600,24.3750,23.2000,23.6000,23.6000,187617
2015-01-15,23.6100,24.0450,22.7500,23.6000,23.6000,121944
2015-01-16,23.4500,24.0000,23.3050,24.0000,24.0000,161448
2015-01-19,24.0500,24.0500,22.6100,23.2500,23.2500,166442
2015-01-20,23.2000,23.3200,22.8050,23.0000,23.0000,119878
2015-01-21,23.0950,23.7250,22.9600,23.6950,23.6950,50163
2015-01-22,23.5300,24.5550,23.5000,24.1900,24.1900,111834
2015-01-23,24.1150,25.1950,24.0150,24.2300,24.2300,182159
2015-01-26,24.3450,24.7250,23.8050,24.2000,24.2000,62587
2015-01-27,24.4050,24.4050,22.6500,22.7950,22.7950,341957
2015-01-28,22.9950,23.0700,22.3050,22.6900,22.6900,182085
2015-01-29,22.8250,23.5850,22.4950,23.2150,23.2150,124986
2015-01-30,23.0800,24.1000,22.9500,24.0000,24.0000,209137
2015-02-02,24.1700,24.4000,23.3500,23.6450,23.6450,118771
2015-02-03,23.6500,24.3500,23.4500,23.9800,23.9800,76257
2015-02-04,23.8900,24.5000,23.7350,24.4350,24.4350,64908
2015-02-05,24.2150,24.3050,23.3000,23.8900,23.8900,104907
2015-02-06,23.7600,24.3600,22.9700,23.0550,23.0550,172948
2015-02-09,23.1000,23.4550,22.5000,22.5500,22.5500,188915
2015-02-10,22.7500,23.2350,22.2950,22.6000,22.6000,141125
2015-02-11,22.7000,22.7500,22.3000,22.5000,22.5000,78444
2015-02-12,24.8800,26.1050,24.2700,24.6000,24.6000,898688
2015-02-13,24.6700,24.9850,23.8200,23.8500,23.8500,185268
2015-02-16,23.8900,23.8900,23.0650,23.1500,23.1500,171390
