date,open,high,low,close,adj_close,volume
2000-01-03,17057.6992,17426.1602,17057.6992,17369.6309,17369.6309,0
2000-01-04,17303.0000,17303.0000,16933.5195,17072.8203,17072.8203,0
2000-01-05,16608.5508,16608.5508,15688.4902,15846.7197,15846.7197,0
2000-01-06,15942.0703,15971.0303,14763.9697,15153.2305,15153.2305,0
2000-01-07,15329.3398,15513.8896,15108.7500,15405.6299,15405.6299,0
2000-01-10,15631.0000,16065.0898,15631.0000,15848.1504,15848.1504,0
2000-01-11,15981.1299,16196.0898,15736.1699,15862.0996,15862.0996,0
2000-01-12,15691.7305,15744.0400,15545.6699,15714.2002,15714.2002,0
2000-01-13,15763.2598,15861.1699,15458.6299,15633.9600,15633.9600,0
2000-01-14,15741.5400,15863.4805,15322.1904,15542.2305,15542.2305,0
2000-01-17,15666.0596,15827.5098,15474.3896,15574.5596,15574.5596,0
2000-01-18,15575.6797,15801.0703,15508.0801,15789.2002,15789.2002,0
2000-01-19,15719.0400,15719.0400,15192.2803,15275.3398,15275.3398,0
2000-01-20,15347.7002,15347.7002,15078.0303,15215.3096,15215.3096,0
2000-01-21,15094.9004,15120.3604,14903.7002,15108.4102,15108.4102,0
2000-01-24,15233.7900,15413.7500,15020.1699,15167.5498,15167.5498,0
2000-01-25,15093.5303,15150.2197,14910.2900,15103.0400,15103.0400,0
2000-01-26,15164.7998,15452.7197,15164.7998,15427.7197,15427.7197,0
2000-01-27,15460.2100,15925.1797,15460.2100,15917.8096,15917.8096,0
2000-01-28,16052.0703,16315.7402,16023.3701,16185.9404,16185.9404,0
2000-01-31,15889.0498,15889.0498,15444.8203,15532.3398,15532.3398,0
2000-02-01,15600.2598,15764.4004,15580.4600,15653.8604,15653.8604,0
2000-02-02,15747.5596,15957.9199,15747.5596,15789.8203,15789.8203,0
2000-02-03,15795.5898,16010.0303,15702.8496,15968.1201,15968.1201,0
2000-02-08,16079.8896,16285.9297,15940.3096,16228.7305,16228.7305,0
2000-02-09,16456.8691,16967.9004,16456.8691,16819.4609,16819.4609,0
2000-02-10,16679.7891,16874.0898,16525.5605,16845.1699,16845.1699,0
2000-02-11,17024.3691,17653.6504,17024.3691,17380.3008,17380.3008,0
