date,open,high,low,close,adj_close,volume
2000-01-03,504.7600,510.9600,489.9500,496.4200,496.4200,931800000
2000-01-04,497.0500,497.0500,478.2000,478.3800,478.3800,1009000000
2000-01-05,478.3800,479.4800,467.5600,478.8300,478.8300,1085500000
2000-01-06,478.8300,480.1900,474.4000,475.3400,475.3400,1092300000
2000-01-07,475.3400,488.3100,475.3400,488.3100,488.3100,1225200000
2000-01-10,488.3100,505.9600,488.3100,501.8900,501.8900,1064800000
2000-01-11,501.8900,501.9100,492.5600,492.6100,492.6100,1014000000
2000-01-12,492.6100,494.8400,487.0900,490.0400,490.0400,974600000
2000-01-13,490.0400,501.1900,490.0400,501.1900,501.1900,1030400000
2000-01-14,501.1900,508.1100,501.1900,507.5600,507.5600,1085900000
2000-01-18,507.5600,513.4600,506.2000,513.4600,513.4600,1056700000
2000-01-19,513.4600,520.0200,511.8900,520.0200,520.0200,1087800000
2000-01-20,520.0200,528.2300,520.0200,527.2800,527.2800,1100700000
2000-01-21,527.2800,533.9500,526.6600,533.9400,533.9400,1209800000
2000-01-24,533.9400,540.6000,522.2700,522.9500,522.9500,1115800000
2000-01-25,522.9600,525.2700,513.6900,521.5900,521.5900,1073700000
2000-01-26,521.5900,524.3900,520.3600,521.0400,521.0400,1117300000
2000-01-27,521.0400,526.0200,513.7300,517.0200,517.0200,1129500000
2000-01-28,517.0200,517.1100,503.0600,504.6200,504.6200,1095800000
2000-01-31,504.6200,504.6200,488.5300,496.2300,496.2300,993800000
2000-02-01,496.2300,503.7500,492.6500,503.7500,503.7500,981000000
2000-02-02,503.7500,511.4600,503.7500,509.8900,509.8900,1038600000
2000-02-03,509.8900,521.6300,509.8900,521.6300,521.6300,1146500000
2000-02-04,521.6300,527.2900,521.6300,525.5200,525.5200,1045100000
2000-02-07,525.5200,532.4000,525.5200,532.3900,532.3900,918100000
2000-02-08,532.3900,539.1500,532.3900,537.4900,537.4900,1047700000
2000-02-09,537.5100,541.4300,534.9000,536.0000,536.0000,1050500000
2000-02-10,536.0100,542.2100,536.0100,542.2100,542.2100,1058800000
2000-02-11,542.2100,544.0200,534.6400,537.1000,537.1000,1025700000
2000-02-14,537.1000,539.9400,533.5100,539.9400,539.9400,927300000
2000-02-15,539.9800,540.3600,533.0800,540.2400,540.2400,1092100000
2000-02-16,540.2400,549.6800,540.2400,547.7600,547.7600,1018800000
2000-02-17,547.7600,559.0800,547.7600,558.4200,558.4200,1034800000
2000-02-18,558.4200,560.3500,544.3300,545.6800,545.6800,1042300000
2000-02-22,545.6800,547.5500,531.4000,540.9500,540.9500,980000000
2000-02-23,540.9500,549.9300,540.9500,549.9100,549.9100,993700000
2000-02-24,549.9100,556.2400,547.3300,554.0400,554.0400,1215000000
2000-02-25,554.0400,561.0500,554.0400,556.7400,556.7400,1065200000
2000-02-28,556.7400,559.8100,548.1300,557.6800,557.6800,1026500000
2000-02-29,557.6800,577.7200,557.6800,577.7100,577.7100,1204300000
2000-03-01,577.7100,589.3800,577.7100,588.3500,588.3500,1274100000
2000-03-02,588.3500,591.4100,579.8000,584.0400,584.0400,1198600000
2000-03-03,583.9100,597.8800,583.9100,597.8800,597.8800,1150300000
2000-03-06,598.1900,604.0100,598.1900,601.6400,601.6400,1029000000
2000-03-07,601.6200,606.8700,595.1500,595.4700,595.4700,1314100000
2000-03-08,595.4700,600.3900,579.1600,594.6800,594.6800,1203000000
2000-03-09,594.7400,606.0500,591.7000,606.0500,606.0500,1123000000
2000-03-10,606.1100,614.1600,603.8000,603.8100,603.8100,1138800000
2000-03-13,603.8100,603.8100,582.9200,590.1400,590.1400,1016100000
2000-03-14,590.1400,600.5300,572.5600,572.9900,572.9900,1094000000
2000-03-15,572.9900,576.4800,556.4300,558.8700,558.8700,1302800000
2000-03-16,558.8800,574.2400,546.2200,574.2400,574.2400,1482300000
2000-03-17,574.2400,576.5800,567.3700,574.7700,574.7700,1295100000
2000-03-20,574.7900,574.7900,548.8200,549.2000,549.2000,920800000
2000-03-21,549.2000,552.7900,530.8700,552.7900,552.7900,1065900000
2000-03-22,552.7900,571.2400,552.7900,571.1900,571.1900,1075000000
2000-03-23,571.1900,577.9100,571.1900,573.7900,573.7900,1078300000
2000-03-24,573.7900,583.2700,571.2000,574.0100,574.0100,1052200000
2000-03-27,574.0100,577.8000,572.6400,573.6500,573.6500,901000000
2000-03-28,573.6500,573.6500,559.0400,559.0400,559.0400,959100000
2000-03-29,559.0400,561.7700,541.3600,543.0000,543.0000,1061900000
2000-03-30,543.0000,545.8900,524.2700,531.5700,531.5700,1193400000
2000-03-31,531.5700,544.3200,526.9300,539.0900,539.0900,1227400000
2000-04-03,539.0200,539.4700,515.5600,516.0400,516.0400,1021700000
2000-04-04,516.0100,520.1300,464.0800,506.1200,506.1200,1515460000
2000-04-05,506.1200,526.1300,494.5900,518.0400,518.0400,1110300000
2000-04-06,517.9900,535.6800,517.9900,532.5000,532.5000,1008000000
2000-04-07,532.5000,542.9900,532.5000,542.9900,542.9900,891600000
2000-04-10,542.9900,545.9000,518.6600,518.6600,518.6600,853700000
2000-04-11,518.6600,519.2400,502.4600,510.1300,510.1300,971400000
2000-04-12,510.1400,513.0500,493.4400,493.4400,493.4400,1175900000
2000-04-13,493.4400,502.5100,488.9400,489.2200,489.2200,1032000000
2000-04-14,489.2300,489.2300,450.1900,453.7200,453.7200,1279700000
2000-04-17,453.6700,459.2600,441.5600,459.2600,459.2600,1204700000
2000-04-18,459.2600,486.0900,459.2600,486.0900,486.0900,1109400000
2000-04-19,486.0900,493.7900,483.1300,486.2300,486.2300,1001400000
2000-04-20,486.2300,489.4600,478.4100,481.8400,481.8400,896200000
2000-04-24,481.8400,481.8400,460.9000,468.5400,468.5400,868700000
2000-04-25,468.5400,489.0300,468.5400,489.0300,489.0300,1071100000
2000-04-26,489.0200,495.0200,483.5800,484.2400,484.2400,999600000
2000-04-27,484.2400,494.5800,473.7600,494.5800,494.5800,1111000000
2000-04-28,494.5600,506.2500,494.5600,506.2500,506.2500,984600000
2000-05-01,506.2500,519.6300,506.2500,518.9300,518.9300,966300000
2000-05-02,518.9300,520.3200,504.9700,505.3500,505.3500,1011500000
2000-05-03,505.3500,505.3500,487.3300,495.5600,495.5600,991600000
2000-05-04,495.5900,502.6300,495.5200,501.9100,501.9100,925800000
2000-05-05,501.9100,512.8400,499.7300,512.8400,512.8400,805500000
2000-05-08,512.8400,512.8400,499.6000,500.0800,500.0800,787600000
2000-05-09,500.0800,504.0700,486.8200,490.8600,490.8600,896600000
2000-05-10,490.8600,490.8600,470.5700,474.2800,474.2800,1006400000
2000-05-11,474.2800,489.3900,474.2800,489.3900,489.3900,953600000
2000-05-12,489.3900,498.2700,489.3900,490.9400,490.9400,858200000
2000-05-15,490.9400,497.8100,483.7300,497.8100,497.8100,854600000
2000-05-16,497.8100,507.5200,497.8100,505.9800,505.9800,955500000
2000-05-17,505.9800,505.9800,497.5700,499.6600,499.6600,820500000
2000-05-18,499.6600,501.5100,490.9500,490.9500,490.9500,807900000
2000-05-19,490.9500,490.9500,477.7300,479.7000,479.7000,853700000
2000-05-22,479.7000,480.5900,458.2100,471.6700,471.6700,869000000
2000-05-23,471.6700,474.1700,459.0100,459.0100,459.0100,869900000
2000-05-24,459.0100,461.7400,443.9900,461.7400,461.7400,1152300000
2000-05-25,461.7400,469.9200,456.1600,456.1700,456.1700,984500000
2000-05-26,456.1700,458.8800,451.9500,457.3700,457.3700,722600000
2000-05-30,457.3700,476.7000,457.3700,476.7000,476.7000,844200000
2000-05-31,476.7200,481.6300,473.3200,476.1800,476.1800,960500000
2000-06-01,476.1800,492.4700,476.1800,492.4700,492.4700,960100000
2000-06-02,492.4700,513.0400,492.4700,513.0300,513.0300,1162400000
2000-06-05,513.0300,518.0300,509.3000,513.3000,513.3000,838600000
2000-06-06,513.3000,523.0500,511.4900,511.6500,511.6500,950100000
2000-06-07,511.6500,516.5400,507.9100,516.5400,516.5400,854600000
2000-06-08,516.4200,519.6300,513.5900,514.5400,514.5400,854300000
2000-06-09,514.5400,523.3500,514.5400,523.0600,523.0600,786000000
2000-06-12,523.0700,523.7900,508.2000,508.5100,508.5100,774100000
2000-06-13,508.5100,513.7600,500.9100,513.7500,513.7500,935900000
2000-06-14,513.7500,517.5800,509.4900,509.6700,509.6700,929700000
2000-06-15,509.6700,512.2800,504.1300,512.2500,512.2500,1011400000
2000-06-16,512.2500,514.9400,510.0000,513.7400,513.7400,1250800000
2000-06-19,513.7400,522.7900,510.0500,522.7900,522.7900,921700000
2000-06-20,522.7700,526.9800,520.7500,525.6900,525.6900,1031500000
2000-06-21,525.6900,528.4400,522.1700,527.6100,527.6100,1009600000
2000-06-22,527.6100,530.4100,515.0100,515.0100,515.0100,1022700000
2000-06-23,515.0100,518.2200,508.2200,510.4100,510.4100,847600000
2000-06-26,510.4100,516.3700,509.2300,516.3600,516.3600,889000000
2000-06-27,516.3600,518.5700,507.8800,508.0800,508.0800,1042500000
2000-06-28,508.0800,521.0000,508.0800,520.9900,520.9900,1095100000
2000-06-29,520.9900,520.9900,511.3000,512.5800,512.5800,1110900000
2000-06-30,512.5800,517.2400,509.9200,517.2300,517.2300,1459700000
