date,open,high,low,close,adj_close,volume
2000-01-04,18937.4492,19187.6094,18937.4492,19002.8594,19002.8594,0
2000-01-05,19003.5098,19003.5098,18221.8203,18542.5508,18542.5508,0
2000-01-06,18574.0098,18582.7402,18168.2695,18168.2695,18168.2695,0
2000-01-07,18194.0508,18285.7305,18068.0996,18193.4102,18193.4102,0
2000-01-11,18246.0996,18887.5605,18246.0996,18850.9199,18850.9199,0
2000-01-12,18780.1699,18811.8691,18626.9199,18677.4199,18677.4199,0
2000-01-13,18667.1797,18845.0293,18667.1797,18833.2891,18833.2891,0
2000-01-14,18882.9902,19058.0195,18733.8301,18956.5508,18956.5508,0
2000-01-17,19025.6191,19442.5801,19025.6191,19437.2305,19437.2305,0
2000-01-18,19412.4707,19412.4707,19145.1699,19196.5703,19196.5703,0
2000-01-19,19181.8691,19181.8691,18897.7500,18897.7500,18897.7500,0
2000-01-20,18930.2598,19167.0293,18921.1094,19008.0098,19008.0098,0
2000-01-21,18994.8906,18994.8906,18713.1699,18878.0898,18878.0898,0
2000-01-24,18878.4609,19124.5703,18877.1309,19056.7109,19056.7109,0
2000-01-25,19004.3906,19131.1895,18815.3691,18895.5293,18895.5293,0
2000-01-26,18982.8398,19145.9004,18982.8398,19111.1895,19111.1895,0
2000-01-27,19125.6191,19238.0801,18971.6797,19209.7207,19209.7207,0
2000-01-28,19261.0098,19595.8301,19237.4902,19434.7793,19434.7793,0
2000-01-31,19375.1094,19539.6992,19224.4707,19539.6992,19539.6992,0
2000-02-01,19536.6797,19553.6797,19266.9609,19423.3809,19423.3809,0
2000-02-02,19522.3301,19860.2598,19522.3301,19578.9102,19578.9102,0
2000-02-03,19648.3496,19878.8301,19648.3496,19786.4199,19786.4199,0
2000-02-04,19866.1895,20011.9102,19752.1191,19763.1309,19763.1309,0
2000-02-07,19832.7598,19948.5996,19780.5605,19945.4297,19945.4297,0
2000-02-08,19955.3008,19983.4395,19834.8105,19868.8809,19868.8809,0
2000-02-09,19930.4102,20046.1406,19925.6406,20007.7695,20007.7695,0
2000-02-10,19915.5293,19915.5605,19710.0195,19710.0195,19710.0195,0
2000-02-14,19698.5703,19748.4199,19556.4609,19556.4609,19556.4609,0
2000-02-15,19587.8203,19689.1602,19331.0508,19367.8301,19367.8301,0
2000-02-16,19418.5605,19612.5996,19300.1406,19599.1797,19599.1797,0
2000-02-17,19646.3691,19803.6895,19518.0801,19791.4004,19791.4004,0
2000-02-18,19852.1797,19862.9395,19670.0508,19789.0293,19789.0293,0
2000-02-21,19736.1504,19763.5098,19543.7500,19543.7500,19543.7500,0
2000-02-22,19553.6191,19712.3691,19353.4004,19390.5801,19390.5801,0
