date,open,high,low,close,adj_close,volume
2010-01-04,10430.6904,10604.9697,10430.6904,10583.9600,10583.9600,179780000
2010-01-05,10584.5596,10584.5596,10522.5195,10572.0195,10572.0195,188540000
2010-01-06,10564.7197,10594.9902,10546.5498,10573.6797,10573.6797,186040000
2010-01-07,10571.1104,10612.3701,10505.2100,10606.8604,10606.8604,217390000
2010-01-08,10606.4004,10619.4004,10554.3301,10618.1904,10618.1904,172710000
2010-01-11,10620.3096,10676.2305,10591.5898,10663.9902,10663.9902,182050000
2010-01-12,10662.8604,10663.0801,10568.8398,10627.2598,10627.2598,256050000
2010-01-13,10628.0898,10709.2598,10614.4902,10680.7695,10680.7695,202810000
2010-01-14,10680.1602,10723.7695,10666.8604,10710.5498,10710.5498,201320000
2010-01-15,10706.9902,10709.9404,10561.0596,10609.6504,10609.6504,362930000
2010-01-19,10608.3701,10729.8896,10591.9697,10725.4297,10725.4297,192150000
2010-01-20,10719.6904,10719.9199,10517.2998,10603.1504,10603.1504,203270000
2010-01-21,10603.9102,10614.9404,10374.6904,10389.8799,10389.8799,304290000
2010-01-22,10389.5801,10389.5801,10157.6396,10172.9805,10172.9805,323620000
2010-01-25,10175.0996,10256.8701,10171.7695,10196.8604,10196.8604,215330000
2010-01-26,10195.3496,10285.1299,10155.5996,10194.2900,10194.2900,217300000
2010-01-27,10194.2900,10255.0596,10104.3604,10236.1602,10236.1602,262170000
2010-01-28,10236.9199,10258.8301,10055.0801,10120.4600,10120.4600,240050000
2010-01-29,10122.0400,10239.3398,10043.7500,10067.3301,10067.3301,316900000
2010-02-01,10068.9902,10190.8896,10068.9102,10185.5303,10185.5303,198430000
2010-02-02,10186.1299,10314.8398,10173.5898,10296.8496,10296.8496,237140000
2010-02-03,10291.7305,10307.2002,10231.9297,10270.5498,10270.5498,198940000
2010-02-04,10273.1201,10273.1201,9998.0303,10002.1797,10002.1797,304240000
2010-02-05,10003.6904,10031.9600,9835.0898,10012.2305,10012.2305,308320000
2010-02-08,10005.4297,10028.5596,9904.0898,9908.3896,9908.3896,216270000
2010-02-09,9910.2803,10139.4297,9910.0596,10058.6396,10058.6396,236210000
2010-02-10,10055.4600,10085.5400,9962.9600,10038.3799,10038.3799,178600000
2010-02-11,10037.8496,10161.5703,9976.7100,10144.1904,10144.1904,194470000
2010-02-12,10137.2305,10137.3896,9983.8203,10099.1396,10099.1396,296510000
2010-02-16,10100.8096,10279.5400,10100.8096,10268.8096,10268.8096,234900000
2010-02-17,10261.4805,10320.1299,10261.4805,10309.2402,10309.2402,193270000
2010-02-18,10309.3896,10406.5801,10294.5098,10392.9004,10392.9004,185310000
2010-02-19,10387.7695,10438.5498,10339.1699,10402.3496,10402.3496,241750000
2010-02-22,10402.4297,10433.6396,10368.9502,10383.3799,10383.3799,158440000
2010-02-23,10383.1602,10411.1201,10267.8301,10282.4102,10282.4102,190740000
2010-02-24,10284.0000,10393.5098,10283.9297,10374.1602,10374.1602,181450000
2010-02-25,10366.5996,10366.6797,10185.8301,10321.0303,10321.0303,242550000
2010-02-26,10321.4102,10353.4502,10272.2900,10325.2598,10325.2598,282120000
2010-03-01,10326.0996,10413.9902,10326.0996,10403.7900,10403.7900,173750000
2010-03-02,10404.1602,10456.9199,10389.4297,10405.9805,10405.9805,217180000
2010-03-03,10406.2803,10469.5400,10376.5801,10396.7598,10396.7598,183290000
2010-03-04,10396.5303,10452.3799,10390.8604,10444.1396,10444.1396,165740000
2010-03-05,10445.1299,10571.9404,10445.0498,10566.2002,10566.2002,184270000
2010-03-08,10563.7803,10587.7402,10542.3896,10552.5195,10552.5195,171780000
2010-03-09,10552.2402,10612.5996,10533.9297,10564.3799,10564.3799,219860000
2010-03-10,10560.1299,10601.7900,10526.5195,10567.3301,10567.3301,186570000
2010-03-11,10560.9805,10611.8398,10507.1699,10611.8398,10611.8398,150000000
2010-03-12,10611.7695,10644.9502,10594.8398,10624.6904,10624.6904,166140000
2010-03-15,10623.4102,10644.1904,10570.5098,10642.1504,10642.1504,160570000
2010-03-16,10642.5303,10693.9902,10621.9004,10685.9805,10685.9805,227410000
2010-03-17,10686.3604,10767.9805,10686.3604,10733.6699,10733.6699,194190000
2010-03-18,10733.4404,10784.0000,10728.1504,10779.1699,10779.1699,153280000
2010-03-19,10780.0000,10819.9004,10694.2197,10741.9805,10741.9805,434190000
2010-03-22,10741.0000,10809.8496,10695.1299,10785.8896,10785.8896,157200000
2010-03-23,10787.1797,10893.8896,10784.7598,10888.8301,10888.8301,189140000
2010-03-24,10887.6201,10887.8398,10825.4199,10836.1504,10836.1504,195570000
2010-03-25,10837.5098,10955.4805,10834.1904,10841.2100,10841.2100,200330000
2010-03-26,10841.2900,10909.3799,10816.4297,10850.3604,10850.3604,175490000
2010-03-29,10849.2305,10916.6396,10849.2305,10895.8604,10895.8604,136710000
2010-03-30,10895.0195,10940.2197,10866.8301,10907.4199,10907.4199,148810000
2010-03-31,10907.3398,10907.4199,10832.8301,10856.6299,10856.6299,197060000
2010-04-01,10857.3096,10956.3896,10857.3096,10927.0703,10927.0703,159520000
2010-04-05,10927.4502,10988.0596,10923.9697,10973.5498,10973.5498,139480000
2010-04-06,10972.4902,10987.3799,10927.5195,10969.9902,10969.9902,159960000
2010-04-07,10961.9502,10962.6602,10845.4502,10897.5195,10897.5195,187000000
2010-04-08,10896.9902,10949.3604,10844.0898,10927.0703,10927.0703,158930000
2010-04-09,10926.9199,11000.9805,10926.9199,10997.3496,10997.3496,150660000
2010-04-12,10996.7500,11029.7695,10992.2100,11005.9697,11005.9697,153960000
2010-04-13,11006.7197,11038.9199,10947.7695,11019.4199,11019.4199,183950000
2010-04-14,11020.7002,11125.2197,11020.6299,11123.1104,11123.1104,223920000
2010-04-15,11122.9600,11154.5498,11096.2002,11144.5703,11144.5703,203720000
2010-04-16,11143.6602,11153.7900,10973.9199,11018.6602,11018.6602,373950000
2010-04-19,11018.3604,11095.2998,10977.8496,11092.0498,11092.0498,214850000
2010-04-20,11093.1104,11146.0801,11081.4697,11117.0596,11117.0596,175170000
2010-04-21,11116.9102,11153.7197,11071.3398,11124.9199,11124.9199,188880000
2010-04-22,11119.7803,11149.8604,11016.4004,11134.2900,11134.2900,214700000
2010-04-23,11132.1797,11205.6396,11105.6504,11204.2803,11204.2803,207380000
2010-04-26,11205.1104,11258.0098,11187.6504,11205.0303,11205.0303,191920000
2010-04-27,11203.6699,11218.8604,10973.1699,10991.9902,10991.9902,263400000
2010-04-28,10988.8701,11078.5195,10965.3799,11045.2695,11045.2695,236760000
2010-04-29,11045.6396,11197.3203,11041.6396,11167.3203,11167.3203,194310000
2010-04-30,11168.2305,11197.9297,10999.6904,11008.6104,11008.6104,255130000
2010-05-03,11009.5996,11177.6699,11009.5996,11151.8301,11151.8301,178080000
2010-05-04,11149.4805,11149.4805,10869.2500,10926.7695,10926.7695,242100000
2010-05-05,10918.4004,10946.7900,10814.8398,10866.8301,10866.8301,218830000
2010-05-06,10868.1201,10879.7598,9869.6201,10520.3203,10520.3203,459890000
2010-05-07,10519.4199,10579.1201,10241.2305,10380.4297,10380.4297,428730000
2010-05-10,10386.1797,10835.1699,10386.0303,10785.1396,10785.1396,313350000
2010-05-11,10780.0000,10874.5400,10685.3799,10748.2598,10748.2598,223950000
2010-05-12,10742.1504,10909.0801,10742.1504,10896.9102,10896.9102,196630000
2010-05-13,10896.6104,10920.2695,10771.6904,10782.9502,10782.9502,201480000
