date,open,high,low,close,adj_close,volume
2000-01-03,0.9364,1.0045,0.9079,0.9994,0.8370,535796800
2000-01-04,0.9665,0.9877,0.9035,0.9152,0.7664,512377600
2000-01-05,0.9263,0.9872,0.9196,0.9286,0.7776,778321600
2000-01-06,0.9475,0.9554,0.8482,0.8482,0.7104,767972800
2000-01-07,0.8616,0.9018,0.8527,0.8884,0.7440,460734400
2000-01-10,0.9107,0.9129,0.8460,0.8728,0.7309,505064000
2000-01-11,0.8566,0.8873,0.8080,0.8281,0.6935,441548800
2000-01-12,0.8482,0.8527,0.7723,0.7785,0.6519,976068800
2000-01-13,0.8436,0.8817,0.8259,0.8638,0.7234,1032684800
2000-01-14,0.8929,0.9129,0.8873,0.8968,0.7510,390376000
2000-01-18,0.9018,0.9464,0.8968,0.9280,0.7772,459177600
2000-01-19,0.9431,0.9710,0.9230,0.9515,0.7968,597643200
2000-01-20,1.0312,1.0848,1.0134,1.0134,0.8487,1831132800
2000-01-21,1.0201,1.0201,0.9838,0.9939,0.8323,495924800
2000-01-24,0.9682,1.0067,0.9386,0.9487,0.7945,440876800
2000-01-25,0.9375,1.0100,0.9141,1.0022,0.8393,497145600
2000-01-26,0.9821,1.0195,0.9799,0.9838,0.8239,367158400
2000-01-27,0.9715,1.0089,0.9554,0.9821,0.8225,340144000
2000-01-28,0.9660,0.9900,0.8984,0.9074,0.7599,423348800
2000-01-31,0.9018,0.9275,0.8438,0.9263,0.7758,701680000
2000-02-01,0.9286,0.9375,0.8929,0.8951,0.7496,318035200
2000-02-02,0.8996,0.9118,0.8661,0.8823,0.7389,464195200
2000-02-03,0.8956,0.9308,0.8951,0.9224,0.7725,475193600
2000-02-04,0.9280,0.9821,0.9252,0.9643,0.8076,425320000
2000-02-07,0.9643,1.0201,0.9459,1.0184,0.8529,441067200
2000-02-08,1.0179,1.0368,0.9933,1.0257,0.8590,408643200
2000-02-09,1.0190,1.0458,1.0039,1.0056,0.8421,299364800
2000-02-10,1.0078,1.0167,0.9821,1.0134,0.8487,302982400
2000-02-11,1.0145,1.0190,0.9665,0.9710,0.8132,212251200
2000-02-14,0.9760,1.0346,0.9699,1.0340,0.8660,367539200
2000-02-15,1.0290,1.0709,1.0285,1.0625,0.8898,485744000
2000-02-16,1.0513,1.0547,1.0011,1.0190,0.8534,378246400
2000-02-17,1.0285,1.0312,1.0100,1.0257,0.8590,289497600
2000-02-18,1.0234,1.0301,0.9900,0.9933,0.8319,233441600
2000-02-22,0.9833,1.0441,0.9526,1.0162,0.8510,422296000
2000-02-23,1.0110,1.0625,0.9911,1.0379,0.8692,473099200
2000-02-24,1.0474,1.0636,0.9978,1.0286,0.8614,376432000
2000-02-25,1.0251,1.0446,0.9833,0.9855,0.8253,249144000
2000-02-28,0.9833,1.0268,0.9676,1.0112,0.8468,328328000
2000-02-29,1.0140,1.0469,1.0050,1.0234,0.8571,368961600
2000-03-01,1.0586,1.1791,1.0580,1.1635,0.9744,1077003200
2000-03-02,1.1339,1.1423,1.0776,1.0893,0.9122,311259200
2000-03-03,1.1150,1.1450,1.0714,1.1429,0.9571,323366400
2000-03-06,1.1250,1.1529,1.1161,1.1222,0.9398,210560000
2000-03-07,1.1289,1.1378,1.0815,1.0971,0.9188,273011200
2000-03-08,1.0971,1.1066,1.0586,1.0893,0.9122,271230400
