date,open,high,low,close,adj_close,volume
2012-05-18,42.0500,45.0000,38.0000,38.2300,37.8972,573576400
2012-05-21,36.5300,36.6600,33.0000,34.0300,33.7338,168192700
2012-05-22,32.6100,33.5900,30.9400,31.0000,30.7301,101786600
2012-05-23,31.3700,32.5000,31.3600,32.0000,31.7214,73600000
2012-05-24,32.9500,33.2100,31.7700,33.0300,32.7425,50237200
2012-05-25,32.9000,32.9500,31.1100,31.9100,31.6322,37149800
2012-05-29,31.4800,31.6900,28.6500,28.8400,28.5889,78063400
2012-05-30,28.7000,29.5500,27.8600,28.1900,27.9446,57267900
2012-05-31,28.5500,29.6700,26.8300,29.6000,29.3423,111639200
2012-06-01,28.8900,29.1500,27.3900,27.7200,27.4787,41855500
2012-06-04,27.2000,27.6500,26.4400,26.9000,26.6658,35230300
2012-06-05,26.7000,27.7600,25.7500,25.8700,25.6448,42473400
2012-06-06,26.0700,27.1700,25.5200,26.8100,26.5766,61489200
2012-06-07,27.0000,27.3500,26.1500,26.3100,26.0810,26159500
2012-06-08,26.5500,27.7600,26.4400,27.1000,26.8641,38034000
2012-06-11,27.1800,28.0700,26.8400,27.0100,26.7749,28219600
2012-06-12,27.4800,27.7700,26.9600,27.4000,27.1615,15816800
2012-06-13,27.6600,28.1000,27.1000,27.2700,27.0326,17102800
2012-06-14,27.6500,28.3200,27.3800,28.2900,28.0437,16855000
2012-06-15,28.5100,30.1000,28.3500,30.0100,29.7488,43563800
2012-06-18,29.9600,32.0800,29.4100,31.4100,31.1366,42978900
2012-06-19,31.5400,32.1800,30.7000,31.9100,31.6322,30849000
2012-06-20,31.9200,31.9300,31.1500,31.6000,31.3249,15553600
2012-06-21,31.6700,32.5000,31.5100,31.8400,31.5628,21875300
2012-06-22,32.4100,33.4500,32.0600,33.0500,32.7623,74834000
2012-06-25,32.8600,33.0200,31.5500,32.0600,31.7809,24352900
2012-06-26,32.6900,33.4400,32.5000,33.1000,32.8119,24858700
2012-06-27,32.4600,32.9000,31.9000,32.2300,31.9494,28568000
2012-06-28,31.9600,32.1900,30.9000,31.3600,31.0870,17713300
2012-06-29,31.9200,31.9900,30.7600,31.1000,30.8293,19526900
2012-07-02,31.2500,31.7300,30.5500,30.7700,30.5021,14122000
2012-07-03,30.9100,31.4400,30.8000,31.2000,30.9284,8763600
2012-07-05,31.3200,31.6300,31.0200,31.4700,31.1961,10032100
2012-07-06,31.4400,31.9000,31.2600,31.7300,31.4538,10945600
2012-07-09,32.1000,32.8800,31.9900,32.1700,31.8900,17785200
2012-07-10,32.4300,32.4800,31.1600,31.4700,31.1961,14269500
2012-07-11,31.4800,31.5600,30.5500,30.9700,30.7004,13030300
2012-07-12,30.7000,31.4000,30.6000,30.8100,30.5418,11300700
2012-07-13,31.0400,31.0700,30.5600,30.7200,30.4526,8108300
2012-07-16,30.5000,30.5000,28.2100,28.2500,28.0041,24672100
2012-07-17,28.4800,28.5900,27.1500,28.0900,27.8455,30438600
2012-07-18,28.3100,29.2900,28.1500,29.1100,28.8566,16841800
2012-07-19,29.4100,29.5000,28.6300,29.0000,28.7476,13685100
2012-07-20,29.0000,29.4700,28.7200,28.7600,28.5096,11869100
2012-07-23,28.1200,29.0000,28.0100,28.7500,28.4997,12390700
2012-07-24,28.8200,29.4500,28.1000,28.4500,28.2023,11539800
2012-07-25,28.3900,29.4900,28.0800,29.3400,29.0846,17230200
2012-07-26,27.7500,28.2300,26.7300,26.8500,26.6163,64597400
2012-07-27,23.1900,24.5400,22.2800,23.7100,23.5036,123102300
2012-07-30,24.0000,24.0400,23.0300,23.1500,22.9485,29285900
2012-07-31,23.3700,23.3700,21.6100,21.7100,21.5210,56179400
2012-08-01,21.5000,21.5800,20.8400,20.8800,20.6982,44604400
2012-08-02,20.7700,20.8400,19.8200,20.0400,19.8655,56374500
2012-08-03,20.3600,22.1600,19.9000,21.0900,20.9064,80647000
2012-08-06,21.3900,22.1500,21.3000,21.9200,21.7292,27778900
2012-08-07,22.2000,22.4500,20.5000,20.7200,20.5396,36782900
2012-08-08,20.7100,21.1500,20.2200,20.7200,20.5396,29537400
2012-08-09,20.7500,21.1700,20.6100,21.0100,20.8271,15610700
2012-08-10,21.4100,21.8200,21.1300,21.8100,21.6201,25794700
2012-08-13,22.1500,22.4500,21.4000,21.6000,21.4120,24973100
2012-08-14,21.4100,21.6000,20.2500,20.3800,20.2026,39308800
2012-08-15,20.6400,21.4100,20.4000,21.2000,21.0155,47861100
2012-08-16,20.4400,20.4800,19.6900,19.8700,19.6970,157565300
2012-08-17,20.0100,20.0800,19.0000,19.0500,18.8842,129293400
2012-08-20,19.0500,20.1300,18.7500,20.0100,19.8358,101186600
2012-08-21,19.5800,19.9800,19.0900,19.1600,18.9932,70640600
2012-08-22,19.3600,19.5300,18.9600,19.4400,19.2708,49892200
2012-08-23,19.5000,19.7300,19.3600,19.4400,19.2708,32813700
2012-08-24,19.5200,19.6800,19.2500,19.4100,19.2410,29622200
2012-08-27,19.4900,19.5300,19.1000,19.1500,18.9833,20704000
2012-08-28,19.1000,19.3800,18.9500,19.3400,19.1716,25417000
2012-08-29,19.3200,19.3800,19.0700,19.1000,18.9337,16124700
2012-08-30,19.2700,19.4500,19.0600,19.0900,18.9238,30647500
2012-08-31,18.6800,18.7000,18.0300,18.0600,17.9028,58764200
2012-09-04,18.0800,18.2700,17.5500,17.7300,17.5757,46622400
2012-09-05,18.2700,18.7500,18.1800,18.5800,18.4183,60781800
2012-09-06,18.7400,19.2600,18.7200,18.9600,18.7950,46066500
2012-09-07,19.1000,19.4200,18.7800,18.9800,18.8148,36371700
2012-09-10,19.0600,19.2000,18.5500,18.8100,18.6463,24797800
2012-09-11,18.9200,19.5800,18.8500,19.4300,19.2609,50508200
2012-09-12,20.7600,21.1600,20.2800,20.9300,20.7478,121584000
2012-09-13,20.9600,21.4800,20.6100,20.7100,20.5297,65041600
2012-09-14,21.1300,22.0800,20.9000,22.0000,21.8085,72819800
2012-09-17,22.6700,22.7500,21.5000,21.5200,21.3327,50667600
2012-09-18,21.6000,21.9800,21.3700,21.8700,21.6796,36760500
2012-09-19,21.9900,23.3700,21.7700,23.2900,23.0873,78782800
2012-09-20,23.0200,23.2400,22.5400,22.5900,22.3934,57248900
2012-09-21,22.9700,23.2400,22.6000,22.8600,22.6610,51218100
2012-09-24,21.7800,21.9800,20.3600,20.7900,20.6090,79106500
2012-09-25,21.2000,21.2100,20.2200,20.2800,20.1035,46291700
2012-09-26,20.1500,20.7800,19.8000,20.6200,20.4405,38271900
2012-09-27,20.9900,21.0000,20.1600,20.3200,20.1431,30215900
2012-09-28,20.5700,21.9500,20.5000,21.6600,21.4714,65486000
2012-10-01,22.0800,22.5900,21.7300,21.9900,21.7986,51262700
2012-10-02,22.0800,22.4900,21.8200,22.2700,22.0761,29341400
2012-10-03,22.3000,22.4900,21.8000,21.8300,21.6400,32000100
2012-10-04,22.3200,22.4000,21.4100,21.9500,21.7589,46892100
2012-10-05,21.4900,21.6300,20.8800,20.9100,20.7280,40529300
2012-10-08,20.4000,20.7500,20.1600,20.4000,20.2224,32236700
2012-10-09,20.3900,20.5500,19.9700,20.2300,20.0539,27161800
2012-10-10,19.9300,19.9400,19.4500,19.6400,19.4690,39321800
2012-10-11,19.8800,19.9600,19.6100,19.7500,19.5781,21817300
2012-10-12,19.7500,19.8000,19.4800,19.5200,19.3501,18809400
2012-10-15,19.6800,19.8800,19.4900,19.5200,19.3501,20189700
2012-10-16,19.6800,19.6900,19.3000,19.4800,19.3104,21834700
2012-10-17,19.5000,20.4800,19.3700,19.8800,19.7069,44074500
2012-10-18,19.7000,19.7900,18.8900,18.9800,18.8148,52157400
2012-10-19,19.0000,19.0600,18.8000,19.0000,18.8346,34835000
2012-10-22,19.2000,19.4300,19.0500,19.3200,19.1518,32447300
2012-10-23,19.2500,19.8000,19.1000,19.5000,19.3302,78381200
2012-10-24,24.1300,24.2500,22.8500,23.2300,23.0278,228949900
2012-10-25,23.2900,23.3100,22.4700,22.5600,22.3636,76142000
2012-10-26,22.4000,22.8800,21.8800,21.9400,21.7490,73175800
2012-10-31,20.8200,21.5000,20.7300,21.1100,20.9262,99378200
2012-11-01,21.0800,21.4400,21.0100,21.2100,21.0254,37713900
2012-11-02,21.2600,21.6900,21.0700,21.1800,20.9956,38344400
2012-11-05,21.1000,21.4800,20.9200,21.2500,21.0650,31806700
2012-11-06,21.2400,21.3700,20.9900,21.1700,20.9857,29062700
2012-11-07,20.8500,20.9500,20.3700,20.4700,20.2918,33396800
2012-11-08,20.5200,20.7300,19.9800,19.9900,19.8160,34254600
2012-11-09,19.9600,20.0000,19.1300,19.2100,19.0428,42295500
2012-11-12,19.1500,20.1700,18.8700,20.0700,19.8953,67349200
2012-11-13,19.6100,20.1100,19.5600,19.8600,19.6871,71775100
2012-11-14,20.1000,22.5000,19.9300,22.3600,22.1654,229751000
2012-11-15,22.3400,22.5000,21.6500,22.1700,21.9770,78857700
2012-11-16,22.2500,23.9300,22.1800,23.5600,23.3549,107182200
2012-11-19,23.9600,24.1200,22.8200,22.9200,22.7205,85021300
2012-11-20,22.7300,23.9000,22.7000,23.1000,22.8989,46655300
2012-11-21,23.2200,24.5300,23.0500,24.3200,24.1083,89862400
2012-11-23,24.5800,24.6800,23.8800,24.0000,23.7911,29520900
2012-11-26,24.9400,26.0900,24.8100,25.9400,25.7142,123865000
2012-11-27,26.0400,26.5000,25.4600,26.1500,25.9224,85760600
2012-11-28,25.9400,26.4900,25.7500,26.3600,26.1305,49205600
2012-11-29,26.5000,27.5200,26.1600,27.3200,27.0822,88759700
2012-11-30,27.2600,28.0000,26.7600,28.0000,27.7563,127049600
2012-12-03,28.0000,28.8800,26.9800,27.0400,26.8046,123526100
2012-12-04,27.0600,27.7600,26.6800,27.4600,27.2210,72869200
2012-12-05,27.7500,27.9000,27.2600,27.7100,27.4688,58976300
2012-12-06,27.6800,27.7500,26.8200,26.9700,26.7352,46001500
2012-12-07,27.0700,27.7800,26.8400,27.4900,27.2507,51751900
2012-12-10,27.1700,28.1700,27.1000,27.8400,27.5976,50608500
