date,open,high,low,close,adj_close,volume
2000-01-03,58.6875,59.3125,56.0000,58.2812,35.3770,53228400
2000-01-04,56.7812,58.5625,56.1250,56.3125,34.1820,54119000
2000-01-05,55.5625,58.1875,54.6875,56.9062,34.5424,64059600
2000-01-06,56.0938,56.9375,54.1875,55.0000,33.3853,54976600
2000-01-07,54.3125,56.1250,53.6562,55.7188,33.8216,62013600
2000-01-10,56.7188,56.8438,55.6875,56.1250,34.0682,44963600
2000-01-11,55.7500,57.1250,54.3438,54.6875,33.1956,46743600
2000-01-12,54.2500,54.4375,52.2188,52.9062,32.1144,66532400
2000-01-13,52.1875,54.3125,50.7500,53.9062,32.7214,83144000
2000-01-14,53.5938,56.9688,52.8750,56.1250,34.0682,73416400
2000-01-18,55.9062,58.2500,55.8750,57.6562,34.9976,81483600
2000-01-19,55.2500,55.7500,53.0000,53.5000,32.4748,97568200
2000-01-20,53.5312,54.8438,52.9375,53.0000,32.1713,56349800
2000-01-21,53.5000,53.6250,51.6250,51.8750,31.4884,68416200
2000-01-24,51.8984,52.8438,50.4062,50.6250,30.7296,63597600
2000-01-25,50.5000,51.9375,49.7812,51.4062,31.2039,59823200
2000-01-26,51.2188,51.7500,49.5625,49.6875,30.1606,49365000
2000-01-27,49.9453,50.5938,48.6250,49.3750,29.9709,63654800
2000-01-28,49.0625,50.1250,48.6250,49.1250,29.8191,58225400
2000-01-31,48.8125,49.0938,47.4375,48.9375,29.7053,73194200
2000-02-01,49.2500,51.6250,48.8438,51.4688,31.2418,70196600
2000-02-02,51.2188,51.9688,50.2500,50.4062,30.5968,49915600
2000-02-03,51.0312,52.0938,50.0625,51.8125,31.4505,49186000
2000-02-04,52.1875,54.0000,52.0703,53.2812,32.3420,55365400
2000-02-07,53.4062,53.4375,52.1250,53.3125,32.3610,40005800
2000-02-08,53.2188,55.0000,53.2188,54.9688,33.3663,56229000
2000-02-09,54.7188,54.7188,51.9375,52.0000,31.5643,55090000
2000-02-10,51.9453,53.2812,51.2500,53.0000,32.1713,54527800
2000-02-11,52.4375,52.4375,49.5625,49.9688,30.3313,115559000
2000-02-14,50.6172,50.8750,49.5312,49.8125,30.2365,81028600
2000-02-15,49.8750,50.0000,49.0625,49.2812,29.9140,71027600
2000-02-16,49.6250,50.0938,48.5625,48.8125,29.6294,65202600
2000-02-17,49.2500,49.8438,48.5703,49.8125,30.2365,80343400
2000-02-18,50.0000,50.0312,47.4375,47.5312,28.8517,79063000
2000-02-22,47.5625,48.5625,46.4062,46.9062,28.4723,66296200
2000-02-23,46.7500,47.8750,46.0312,47.1250,28.6051,75847200
2000-02-24,47.1250,47.9375,46.0000,47.3750,28.7569,69733200
2000-02-25,47.3438,47.3516,45.2500,45.6562,27.7136,65301400
2000-02-28,45.1250,46.0625,44.0625,45.7812,27.7895,76131800
2000-02-29,45.8750,45.8750,44.4375,44.6875,27.1255,58437400
2000-03-01,44.8125,47.0469,44.4688,45.4062,27.5618,106889800
2000-03-02,45.9062,47.6875,45.5625,46.6875,28.3396,106932600
2000-03-03,47.3750,49.4375,46.9375,48.0625,29.1742,101435200
2000-03-06,48.0000,48.6875,45.0625,45.3125,27.5049,93609400
2000-03-07,48.0625,48.7500,45.9688,46.4375,28.1878,135061000
2000-03-08,46.9062,48.0938,45.5000,47.7812,29.0035,94290000
2000-03-09,47.6562,50.0000,47.5000,50.0000,30.3503,88198800
2000-03-10,49.7812,51.2500,49.7500,50.5000,30.6538,85589000
2000-03-13,48.8125,50.1250,48.7500,49.0000,29.7432,61831800
2000-03-14,49.3125,49.6250,47.5625,47.5625,28.8707,73489200
2000-03-15,47.2812,48.3125,46.8438,47.6875,28.9466,53208000
2000-03-16,47.9688,48.3438,46.6250,47.6875,28.9466,77300800
2000-03-17,47.6250,49.7500,47.2500,49.6875,30.1606,81161600
2000-03-20,49.3750,49.8750,48.2500,48.6875,29.5536,47773000
2000-03-21,48.3750,51.5625,48.2500,51.3750,31.1849,81648800
2000-03-22,51.4062,52.8125,50.5625,51.6250,31.3366,93975800
2000-03-23,53.4062,56.4375,53.3125,55.9375,33.9543,148224000
2000-03-24,56.3125,57.5000,54.7812,55.8438,33.8974,112196800
2000-03-27,53.8828,54.1250,51.9688,52.0312,31.5832,111434000
2000-03-28,51.8125,53.7188,51.1875,52.1562,31.6591,81114400
2000-03-29,52.5938,54.4688,52.5625,53.5938,32.5317,64363800
2000-03-30,53.0938,54.3125,51.2500,51.6875,31.3746,64178400
2000-03-31,53.0000,54.1250,52.0625,53.1250,32.2471,64281400
2000-04-03,47.2188,48.2500,45.0000,45.4375,27.5808,260118200
2000-04-04,45.7812,46.0000,42.4688,44.2812,26.8789,181244400
2000-04-05,44.1250,44.2500,42.9375,43.1875,26.2150,82887600
2000-04-06,43.9375,44.0000,42.6328,43.0000,26.1012,66421400
2000-04-07,43.5000,44.6875,42.5000,44.5312,27.0307,82613600
2000-04-10,44.3125,44.3125,43.0000,43.0312,26.1202,60685400
2000-04-11,42.5625,43.0312,41.7500,41.9375,25.4563,71961800
2000-04-12,41.0625,41.1250,39.3750,39.6875,24.0905,153003800
2000-04-13,40.4375,41.1250,39.5000,39.6250,24.0526,94316200
2000-04-14,39.5625,39.7500,36.6250,37.0625,22.4971,151217800
2000-04-17,37.1250,38.0000,36.5000,37.9375,23.0282,119772200
2000-04-18,38.2500,40.9688,37.9375,40.2812,24.4509,91794600
2000-04-19,40.7188,40.7500,39.0625,39.3438,23.8819,53715400
2000-04-20,39.3125,39.9375,38.7500,39.4688,23.9577,52387400
2000-04-24,33.6250,34.0000,32.5000,33.3125,20.2208,313645800
2000-04-25,34.3750,34.7500,33.8125,34.6875,21.0555,159517400
2000-04-26,35.0000,35.5625,33.6875,34.0000,20.6382,107091200
2000-04-27,33.7188,34.9688,33.6875,34.9062,21.1883,77669800
2000-04-28,35.3750,35.5000,34.1250,34.8750,21.1693,78082600
2000-05-01,36.4375,37.0000,35.8438,36.7188,22.2885,107811000
2000-05-02,36.4062,36.7500,34.7500,34.9375,21.2072,97716200
2000-05-03,35.1875,35.4062,34.4062,35.2812,21.4159,55354800
2000-05-04,35.1562,35.6250,34.6562,35.2188,21.3780,43317200
2000-05-05,35.1250,35.9062,34.9375,35.5625,21.5866,36402200
2000-05-08,35.4688,35.6875,34.8438,34.9062,21.1883,36187600
2000-05-09,35.0938,35.2188,33.7500,33.9062,20.5813,60778400
2000-05-10,33.8750,33.9375,32.8750,33.0938,20.0881,67740000
2000-05-11,33.3125,34.0625,32.8750,33.9375,20.6002,58390800
2000-05-12,34.2188,34.8750,34.1250,34.4062,20.8848,37886000
2000-05-15,34.5000,34.7188,34.0000,34.6875,21.0555,33899600
2000-05-16,34.7812,35.3125,34.5312,34.7500,21.0934,48410600
2000-05-17,34.4375,34.5625,33.6250,33.8438,20.5433,53242000
2000-05-18,34.0312,34.0312,32.9375,33.0938,20.0881,53640400
2000-05-19,32.6875,32.9688,32.2500,32.5312,19.7466,66578000
2000-05-22,32.5625,32.6250,31.2188,32.0938,19.4811,69955000
2000-05-23,31.9375,32.7812,31.5312,31.5938,19.1776,57963200
2000-05-24,31.5625,33.2812,31.5000,32.7812,19.8984,85482400
2000-05-25,32.2812,32.3750,30.5625,30.7500,18.6654,94348800
2000-05-26,31.0312,31.3125,30.1875,30.7188,18.6464,55822000
2000-05-30,31.2188,32.0625,31.0000,31.6875,19.2345,68536400
2000-05-31,31.8203,31.8516,31.0312,31.2812,18.9879,54968200
2000-06-01,32.1875,33.0000,31.9062,32.2812,19.5949,94507200
2000-06-02,33.0000,33.3750,32.5000,33.1562,20.1260,80463200
2000-06-05,33.0078,34.1875,33.0000,33.4375,20.2967,64400000
2000-06-06,34.0938,34.9375,33.9062,34.8125,21.1314,99019000
2000-06-07,34.6250,35.3750,33.5625,35.2500,21.3969,76310600
2000-06-08,35.7812,36.0625,34.1250,34.4062,20.8848,94765600
2000-06-09,34.8125,34.8438,34.1562,34.4062,20.8848,35710200
2000-06-12,34.5000,34.5000,33.1875,33.4375,20.2967,49260600
2000-06-13,33.3750,34.0000,33.0625,33.9375,20.6002,44289200
2000-06-14,34.9062,35.5000,34.7500,35.2500,21.3969,79992400
2000-06-15,35.4062,36.3438,35.3125,36.1875,21.9660,65592600
2000-06-16,36.3125,36.5625,35.7500,36.2812,22.0229,68710600
2000-06-19,36.2812,36.9062,36.0000,36.8438,22.3643,46604800
2000-06-20,36.9375,37.6250,36.8750,37.4688,22.7437,62275000
2000-06-21,38.5000,41.0938,38.4688,40.3438,24.4889,160399600
2000-06-22,40.6875,41.0000,39.6562,39.9375,24.2423,87315200
2000-06-23,39.9688,40.0312,38.5000,38.8438,23.5783,49811600
2000-06-26,38.7500,40.0625,38.7500,39.7500,24.1284,48287000
2000-06-27,39.6250,40.0625,39.1875,39.4062,23.9198,31071200
2000-06-28,39.5000,40.0312,39.3125,39.4688,23.9577,37459200
2000-06-29,39.1250,39.4688,38.5312,38.5938,23.4266,38449000
2000-06-30,38.5312,40.0000,38.3438,40.0000,24.2802,52356400
2000-07-03,39.8438,40.0312,39.6875,40.0000,24.2802,15734800
2000-07-05,39.9375,39.9375,39.1250,39.2500,23.8249,34824400
2000-07-06,39.4375,40.8438,39.2500,40.4688,24.5647,47873200
2000-07-07,40.6328,41.4375,40.2812,41.0000,24.8872,54153200
2000-07-10,40.3438,40.6562,39.6875,39.7188,24.1095,52689800
2000-07-11,39.4062,40.2500,39.2500,39.5625,24.0146,37164800
2000-07-12,39.1250,40.5000,38.5938,40.1562,24.3750,58370200
2000-07-13,39.4062,40.0000,38.6875,39.9688,24.2612,80843200
2000-07-14,39.7500,39.8750,39.2188,39.4688,23.9577,51180600
2000-07-17,39.1250,39.7812,38.7500,39.0938,23.7301,53992800
2000-07-18,38.8125,39.7500,38.7188,39.2500,23.8249,70617200
2000-07-19,38.0312,38.7500,36.4062,36.5625,22.1936,139924600
