date,open,high,low,close,adj_close,volume
2002-05-23,0.1156,0.1243,0.1146,0.1196,0.1196,1047900000
2002-05-24,0.1214,0.1225,0.1197,0.1210,0.1210,111048000
2002-05-28,0.1214,0.1232,0.1157,0.1157,0.1157,66094000
2002-05-29,0.1164,0.1164,0.1086,0.1104,0.1104,67578000
2002-05-30,0.1108,0.1108,0.1071,0.1071,0.1071,101542000
2002-05-31,0.1079,0.1079,0.1071,0.1076,0.1076,84644000
2002-06-03,0.1080,0.1149,0.1076,0.1129,0.1129,31514000
2002-06-04,0.1136,0.1140,0.1111,0.1118,0.1118,31052000
2002-06-05,0.1111,0.1159,0.1107,0.1147,0.1147,15316000
2002-06-06,0.1150,0.1232,0.1149,0.1182,0.1182,23058000
2002-06-07,0.1178,0.1178,0.1104,0.1119,0.1119,13692000
2002-06-10,0.1135,0.1175,0.1134,0.1156,0.1156,4844000
2002-06-11,0.1156,0.1189,0.1129,0.1154,0.1154,10038000
2002-06-12,0.1154,0.1182,0.1089,0.1093,0.1093,17990000
2002-06-13,0.1104,0.1122,0.1080,0.1083,0.1083,25676000
2002-06-14,0.1082,0.1086,0.0980,0.0986,0.0986,47838000
2002-06-17,0.1014,0.1059,0.0918,0.0922,0.0922,48552000
2002-06-18,0.0939,0.0939,0.0842,0.0911,0.0911,108080000
2002-06-19,0.0911,0.0996,0.0893,0.0951,0.0951,54824000
2002-06-20,0.0971,0.1040,0.0950,0.0957,0.0957,61110000
2002-06-21,0.0982,0.0989,0.0948,0.0979,0.0979,23464000
2002-06-24,0.0979,0.1014,0.0957,0.0979,0.0979,25676000
2002-06-25,0.0989,0.1007,0.0947,0.0964,0.0964,39410000
2002-06-26,0.0964,0.0996,0.0921,0.0989,0.0989,29246000
2002-06-27,0.1009,0.1019,0.0943,0.0944,0.0944,38178000
2002-06-28,0.0961,0.1014,0.0961,0.0999,0.0999,92344000
2002-07-01,0.1000,0.1046,0.0993,0.1028,0.1028,45850000
2002-07-02,0.1054,0.1195,0.1039,0.1173,0.1173,90202000
2002-07-03,0.1179,0.1214,0.1118,0.1214,0.1214,49574000
2002-07-05,0.1214,0.1299,0.1214,0.1276,0.1276,20034000
2002-07-08,0.1252,0.1252,0.1168,0.1176,0.1176,19530000
2002-07-09,0.1175,0.1196,0.1114,0.1161,0.1161,29358000
2002-07-10,0.1161,0.1179,0.1132,0.1164,0.1164,15540000
2002-07-11,0.1154,0.1279,0.1133,0.1269,0.1269,25298000
2002-07-12,0.1279,0.1280,0.1207,0.1208,0.1208,28378000
2002-07-15,0.1243,0.1249,0.1076,0.1143,0.1143,42392000
2002-07-16,0.1153,0.1157,0.1104,0.1126,0.1126,19418000
2002-07-17,0.1145,0.1164,0.1076,0.1089,0.1089,12614000
2002-07-18,0.1117,0.1166,0.1111,0.1149,0.1149,28994000
2002-07-19,0.1153,0.1161,0.1122,0.1160,0.1160,17920000
2002-07-22,0.1136,0.1179,0.1115,0.1171,0.1171,19936000
2002-07-23,0.1176,0.1214,0.1131,0.1146,0.1146,15778000
2002-07-24,0.1146,0.1159,0.1074,0.1114,0.1114,33558000
2002-07-25,0.1125,0.1128,0.1035,0.1036,0.1036,47558000
2002-07-26,0.1050,0.1059,0.0850,0.0871,0.0871,70462000
2002-07-29,0.0896,0.0924,0.0850,0.0876,0.0876,32606000
2002-07-30,0.0894,0.0943,0.0894,0.0914,0.0914,37772000
2002-07-31,0.0929,0.0960,0.0906,0.0954,0.0954,33334000
2002-08-01,0.0950,0.0960,0.0878,0.0891,0.0891,45290000
2002-08-02,0.0886,0.0888,0.0706,0.0778,0.0778,66556000
2002-08-05,0.0779,0.0813,0.0761,0.0775,0.0775,38080000
2002-08-06,0.0796,0.0804,0.0743,0.0761,0.0761,32172000
2002-08-07,0.0761,0.0794,0.0743,0.0794,0.0794,27580000
2002-08-08,0.0796,0.0804,0.0751,0.0796,0.0796,22834000
2002-08-09,0.0799,0.0821,0.0779,0.0787,0.0787,15008000
2002-08-12,0.0803,0.0807,0.0754,0.0757,0.0757,21308000
2002-08-13,0.0768,0.0805,0.0754,0.0773,0.0773,16772000
2002-08-14,0.0776,0.0834,0.0771,0.0834,0.0834,40474000
2002-08-15,0.0837,0.0911,0.0833,0.0883,0.0883,32634000
2002-08-16,0.0893,0.0924,0.0857,0.0913,0.0913,18284000
2002-08-19,0.0925,0.0984,0.0918,0.0982,0.0982,20748000
2002-08-20,0.0985,0.0994,0.0921,0.0946,0.0946,25396000
2002-08-21,0.0953,0.0971,0.0919,0.0969,0.0969,27790000
2002-08-22,0.0974,0.0999,0.0929,0.0984,0.0984,29638000
2002-08-23,0.0994,0.0996,0.0968,0.0994,0.0994,24066000
2002-08-26,0.0996,0.0996,0.0938,0.0968,0.0968,26446000
2002-08-27,0.0968,0.0968,0.0858,0.0874,0.0874,49840000
2002-08-28,0.0861,0.0890,0.0825,0.0864,0.0864,22750000
2002-08-29,0.0833,0.0922,0.0824,0.0904,0.0904,23954000
2002-08-30,0.0914,0.0963,0.0894,0.0936,0.0936,21210000
2002-09-03,0.0936,0.0964,0.0914,0.0925,0.0925,15932000
2002-09-04,0.0926,0.0946,0.0908,0.0929,0.0929,3738000
2002-09-05,0.0918,0.0936,0.0911,0.0918,0.0918,2856000
2002-09-06,0.0928,0.0936,0.0911,0.0914,0.0914,7630000
2002-09-09,0.0919,0.0925,0.0893,0.0901,0.0901,14196000
2002-09-10,0.0901,0.0950,0.0889,0.0945,0.0945,47460000
2002-09-11,0.0939,0.0976,0.0939,0.0961,0.0961,16296000
2002-09-12,0.0963,0.0967,0.0914,0.0925,0.0925,19432000
2002-09-13,0.0921,0.0927,0.0864,0.0879,0.0879,24850000
2002-09-16,0.0892,0.0892,0.0853,0.0857,0.0857,35126000
2002-09-17,0.0864,0.0864,0.0825,0.0830,0.0830,28630000
2002-09-18,0.0836,0.0841,0.0785,0.0788,0.0788,15218000
2002-09-19,0.0785,0.0786,0.0718,0.0724,0.0724,49784000
2002-09-20,0.0754,0.0768,0.0700,0.0708,0.0708,34846000
2002-09-23,0.0714,0.0732,0.0706,0.0711,0.0711,48398000
2002-09-24,0.0711,0.0725,0.0689,0.0718,0.0718,37478000
2002-09-25,0.0724,0.0750,0.0708,0.0732,0.0732,14574000
2002-09-26,0.0749,0.0783,0.0729,0.0783,0.0783,41622000
2002-09-27,0.0776,0.0784,0.0712,0.0720,0.0720,51058000
2002-09-30,0.0707,0.0721,0.0689,0.0693,0.0693,48370000
2002-10-01,0.0709,0.0710,0.0661,0.0679,0.0679,38500000
2002-10-02,0.0689,0.0689,0.0561,0.0579,0.0579,93142000
2002-10-03,0.0569,0.0570,0.0489,0.0518,0.0518,97650000
2002-10-04,0.0518,0.0531,0.0447,0.0469,0.0469,84336000
2002-10-07,0.0450,0.0459,0.0382,0.0412,0.0412,157248000
2002-10-08,0.0411,0.0428,0.0391,0.0405,0.0405,45318000
2002-10-09,0.0410,0.0411,0.0347,0.0373,0.0373,59822000
2002-10-10,0.0378,0.0525,0.0346,0.0506,0.0506,135772000
2002-10-11,0.0509,0.0529,0.0446,0.0471,0.0471,132818000
2002-10-14,0.0464,0.0535,0.0464,0.0534,0.0534,52724000
2002-10-15,0.0543,0.0586,0.0542,0.0550,0.0550,41258000
2002-10-16,0.0529,0.0533,0.0443,0.0459,0.0459,58002000
2002-10-17,0.0472,0.0586,0.0471,0.0550,0.0550,74816000
2002-10-18,0.0586,0.0736,0.0586,0.0683,0.0683,249046000
2002-10-21,0.0639,0.0664,0.0609,0.0636,0.0636,96866000
2002-10-22,0.0636,0.0644,0.0618,0.0625,0.0625,42630000
2002-10-23,0.0625,0.0625,0.0586,0.0589,0.0589,35392000
2002-10-24,0.0606,0.0606,0.0554,0.0579,0.0579,24318000
2002-10-25,0.0580,0.0685,0.0568,0.0643,0.0643,64470000
2002-10-28,0.0664,0.0707,0.0650,0.0686,0.0686,56476000
2002-10-29,0.0675,0.0679,0.0633,0.0657,0.0657,20048000
2002-10-30,0.0664,0.0666,0.0636,0.0641,0.0641,14238000
2002-10-31,0.0636,0.0643,0.0624,0.0641,0.0641,16590000
2002-11-01,0.0629,0.0643,0.0607,0.0639,0.0639,21266000
2002-11-04,0.0643,0.0703,0.0639,0.0671,0.0671,35896000
2002-11-05,0.0672,0.0676,0.0651,0.0651,0.0651,10458000
2002-11-06,0.0664,0.0664,0.0613,0.0629,0.0629,70322000
2002-11-07,0.0632,0.0638,0.0593,0.0593,0.0593,25858000
2002-11-08,0.0605,0.0613,0.0554,0.0611,0.0611,49224000
2002-11-11,0.0607,0.0607,0.0586,0.0601,0.0601,3710000
2002-11-12,0.0600,0.0614,0.0572,0.0578,0.0578,21910000
2002-11-13,0.0579,0.0643,0.0556,0.0641,0.0641,32312000
2002-11-14,0.0643,0.0645,0.0619,0.0619,0.0619,9310000
2002-11-15,0.0642,0.0654,0.0589,0.0650,0.0650,20454000
2002-11-18,0.0649,0.0781,0.0625,0.0779,0.0779,100618000
2002-11-19,0.0720,0.0721,0.0624,0.0664,0.0664,281946000
2002-11-20,0.0674,0.0728,0.0661,0.0717,0.0717,100856000
2002-11-21,0.0729,0.0786,0.0718,0.0786,0.0786,105168000
2002-11-22,0.0757,0.0800,0.0752,0.0786,0.0786,44926000
2002-11-25,0.0793,0.0796,0.0754,0.0793,0.0793,47712000
2002-11-26,0.0771,0.0786,0.0749,0.0749,0.0749,17710000
2002-11-27,0.0761,0.0766,0.0744,0.0751,0.0751,10696000
2002-11-29,0.0750,0.0795,0.0743,0.0775,0.0775,9324000
2002-12-02,0.0743,0.0796,0.0724,0.0761,0.0761,20090000
2002-12-03,0.0750,0.0789,0.0739,0.0771,0.0771,11648000
2002-12-04,0.0743,0.0750,0.0696,0.0710,0.0710,24682000
2002-12-05,0.0859,0.0864,0.0770,0.0786,0.0786,126322000
2002-12-06,0.0785,0.0798,0.0738,0.0782,0.0782,38836000
2002-12-09,0.0796,0.0800,0.0764,0.0799,0.0799,40684000
2002-12-10,0.0800,0.0873,0.0799,0.0871,0.0871,32368000
2002-12-11,0.0854,0.0929,0.0841,0.0897,0.0897,48958000
2002-12-12,0.0906,0.0914,0.0886,0.0901,0.0901,25340000
2002-12-13,0.0900,0.0914,0.0861,0.0893,0.0893,13958000
2002-12-16,0.0899,0.0928,0.0868,0.0914,0.0914,20986000
2002-12-17,0.0914,0.0927,0.0893,0.0906,0.0906,16800000
2002-12-18,0.0896,0.0899,0.0764,0.0785,0.0785,133784000
2002-12-19,0.0771,0.0799,0.0759,0.0771,0.0771,37814000
2002-12-20,0.0764,0.0771,0.0729,0.0764,0.0764,43848000
2002-12-23,0.0739,0.0761,0.0728,0.0732,0.0732,33110000
2002-12-24,0.0729,0.0732,0.0699,0.0707,0.0707,48958000
2002-12-26,0.0702,0.0714,0.0684,0.0696,0.0696,21224000
2002-12-27,0.0693,0.0709,0.0686,0.0691,0.0691,45920000
2002-12-30,0.0704,0.0714,0.0686,0.0714,0.0714,51982000
2002-12-31,0.0713,0.0800,0.0693,0.0786,0.0786,113694000
2003-01-02,0.0846,0.0900,0.0811,0.0818,0.0818,83972000
2003-01-03,0.0850,0.0850,0.0771,0.0773,0.0773,32480000
2003-01-06,0.0786,0.0800,0.0762,0.0793,0.0793,30030000
2003-01-07,0.0771,0.0796,0.0771,0.0784,0.0784,19376000
2003-01-08,0.0771,0.0857,0.0762,0.0815,0.0815,53564000
2003-01-09,0.0825,0.0846,0.0809,0.0839,0.0839,53228000
2003-01-10,0.0835,0.0907,0.0829,0.0886,0.0886,54348000
2003-01-13,0.0858,0.0884,0.0855,0.0867,0.0867,44086000
2003-01-14,0.0871,0.0882,0.0836,0.0860,0.0860,25494000
2003-01-15,0.0849,0.0882,0.0848,0.0871,0.0871,94304000
2003-01-16,0.0907,0.0956,0.0857,0.0857,0.0857,186536000
2003-01-17,0.0843,0.0850,0.0789,0.0817,0.0817,53648000
2003-01-21,0.0826,0.0850,0.0793,0.0814,0.0814,60816000
2003-01-22,0.0813,0.0854,0.0806,0.0829,0.0829,41734000
2003-01-23,0.0851,0.0906,0.0836,0.0870,0.0870,72198000
2003-01-24,0.0875,0.0884,0.0846,0.0881,0.0881,63532000
2003-01-27,0.0864,0.0877,0.0836,0.0877,0.0877,34398000
2003-01-28,0.0859,0.0918,0.0851,0.0896,0.0896,49462000
2003-01-29,0.0900,0.0900,0.0845,0.0881,0.0881,29568000
2003-01-30,0.0893,0.0911,0.0882,0.0902,0.0902,37002000
2003-01-31,0.0906,0.0946,0.0890,0.0943,0.0943,40194000
2003-02-03,0.0939,0.0941,0.0893,0.0914,0.0914,28364000
2003-02-04,0.0900,0.0911,0.0861,0.0879,0.0879,20398000
2003-02-05,0.0876,0.0886,0.0844,0.0853,0.0853,34846000
2003-02-06,0.0854,0.0857,0.0824,0.0832,0.0832,37352000
2003-02-07,0.0843,0.0875,0.0835,0.0870,0.0870,50162000
2003-02-10,0.0874,0.0912,0.0868,0.0891,0.0891,73052000
2003-02-11,0.0921,0.0936,0.0901,0.0927,0.0927,47908000
2003-02-12,0.0955,0.0957,0.0929,0.0949,0.0949,56154000
2003-02-13,0.0951,0.0951,0.0944,0.0944,0.0944,60928000
2003-02-14,0.0952,0.1020,0.0947,0.1017,0.1017,84350000
2003-02-18,0.1022,0.1056,0.1003,0.1047,0.1047,62678000
2003-02-19,0.1059,0.1089,0.1049,0.1081,0.1081,51184000
2003-02-20,0.1106,0.1125,0.1074,0.1099,0.1099,63392000
