date,open,high,low,close,adj_close,volume
2014-09-19,92.7000,99.7000,89.9500,93.8900,88.3554,271879400
2014-09-22,92.7000,92.9500,89.5000,89.8900,84.5912,66657800
2014-09-23,88.9400,90.4800,86.6200,87.1700,82.0315,39009800
2014-09-24,88.4700,90.5700,87.2200,90.5700,85.2311,32088000
2014-09-25,91.0900,91.5000,88.5000,88.9200,83.6784,28598000
2014-09-26,89.7300,90.4600,88.6600,90.4600,85.1276,18340000
2014-09-29,89.6200,89.7000,88.0200,88.7500,83.5184,25302000
2014-09-30,89.0000,90.8800,88.4600,88.8500,83.6125,24419400
2014-10-01,88.7000,88.9400,86.0400,86.1000,81.0246,24029600
2014-10-02,86.2700,88.2000,85.6110,87.0600,81.9280,21469700
2014-10-03,88.1000,89.9400,87.6500,88.1000,82.9067,18485700
2014-10-06,89.1500,89.6500,88.0600,88.3100,83.1043,9268400
2014-10-07,87.9500,89.7000,87.0600,87.6700,82.5021,12791700
2014-10-08,88.0000,88.5000,87.0600,88.3000,83.0949,10252600
2014-10-09,88.5100,90.3500,88.0000,88.7900,83.5560,21507000
2014-10-10,88.2500,88.7400,85.2400,85.8800,80.8176,15431400
2014-10-13,86.8500,86.8900,84.9200,85.1200,80.1024,14845000
2014-10-14,85.8100,85.8800,83.2200,84.9500,79.9424,15559200
2014-10-15,84.0400,86.4900,82.8100,85.6000,80.5541,16824300
2014-10-16,84.9800,89.1750,84.0150,88.8500,83.6125,15232000
2014-10-17,90.4000,90.9000,87.6700,87.9100,82.7279,17360700
2014-10-20,88.0000,89.5000,87.8600,88.2600,83.0573,9891400
2014-10-21,89.1000,92.5000,88.5000,90.9000,85.5417,23243800
2014-10-22,92.2500,93.5000,91.0100,91.6300,86.2286,20364500
2014-10-23,92.9200,94.7000,92.8200,94.4500,88.8824,20641000
2014-10-24,95.0700,98.0000,94.7800,95.7600,90.1152,32132600
2014-10-27,97.0000,98.8500,96.3000,97.7900,92.0255,28302400
2014-10-28,99.8400,100.6700,98.6100,99.6800,93.8041,32127600
2014-10-29,99.8800,100.0000,96.8200,98.3100,92.5149,28655400
2014-10-30,98.4800,99.4400,97.3000,98.7300,92.9101,15484600
2014-10-31,100.1000,100.2200,98.1360,98.6000,92.7878,18128300
