date,open,high,low,close,adj_close,volume
2000-01-03,36.5000,36.5800,34.8200,35.3000,35.3000,875000
2000-01-04,34.5000,34.6600,33.9000,34.0800,34.0800,1380000
2000-01-05,34.1400,35.4600,33.9000,34.6400,34.6400,995000
2000-01-06,34.9000,36.0800,34.5400,36.0800,36.0800,915000
2000-01-07,36.6000,36.9600,36.1000,36.4000,36.4000,1000000
2000-01-10,36.9000,37.7600,36.1200,36.2600,36.2600,1010000
2000-01-11,35.8000,35.9600,35.3000,35.5800,35.5800,725000
2000-01-12,35.5000,35.6800,34.7200,34.9000,34.9000,515000
2000-01-13,35.2000,35.4600,35.0200,35.2000,35.2000,615000
2000-01-14,35.6000,35.7000,34.0200,34.0200,34.0200,1345000
2000-01-18,34.0800,34.3800,33.8000,34.0000,34.0000,1375000
2000-01-19,34.1000,34.2600,33.5400,34.1800,34.1800,885000
2000-01-20,34.1800,34.6800,34.0000,34.0000,34.0000,815000
2000-01-21,34.0000,34.2600,33.8800,34.2200,34.2200,710000
2000-01-24,34.7000,34.8000,33.7600,34.0000,34.0000,660000
2000-01-25,33.9000,34.4600,33.8000,34.0600,34.0600,625000
2000-01-26,34.1600,34.4800,34.0000,34.1400,34.1400,530000
2000-01-27,34.1400,34.4000,33.7200,33.9200,33.9200,470000
2000-01-28,33.8000,33.8600,33.0800,33.2000,33.2000,985000
2000-01-31,33.2400,33.6600,32.9200,32.9200,32.9200,1120000
2000-02-01,33.3200,33.5600,33.0600,33.5000,33.5000,525000
2000-02-02,33.3000,33.3600,32.7000,32.8000,32.8000,1040000
2000-02-03,33.0000,33.4800,33.0000,33.4000,33.4000,600000
2000-02-04,33.5400,33.6600,33.0000,33.1000,33.1000,620000
2000-02-07,32.9800,33.4000,32.8200,33.2800,33.2800,770000
2000-02-08,32.9000,33.1000,32.6000,32.7000,32.7000,1035000
2000-02-09,32.2600,32.7600,31.5400,31.7600,31.7600,1760000
2000-02-10,31.9000,31.9600,30.0000,30.9600,30.9600,2220000
2000-02-11,31.2000,31.3600,29.7000,30.1400,30.1400,2525000
2000-02-14,29.5000,29.5800,28.3200,28.4800,28.4800,2715000
2000-02-15,30.4000,30.8000,30.0200,30.6400,30.6400,2290000
2000-02-16,31.3400,34.0000,31.2000,33.2800,33.2800,2215000
2000-02-17,34.0000,34.1800,32.1000,33.2600,33.2600,975000
2000-02-18,33.1800,33.7200,31.0000,33.7200,33.7200,1010000
2000-02-22,32.6000,32.6600,32.0000,32.4000,32.4000,825000
2000-02-23,32.4000,32.5800,32.0000,32.3200,32.3200,610000
2000-02-24,32.1000,32.1000,30.4000,30.7800,30.7800,745000
2000-02-25,30.8800,30.9400,29.6000,29.8000,29.8000,1770000
2000-02-28,29.7000,29.7600,29.0400,29.2000,29.2000,2225000
2000-02-29,29.6000,29.6200,28.7000,28.8000,28.8000,1900000
