date,open,high,low,close,adj_close,volume
2004-06-23,3.7500,4.3250,3.6875,4.3000,4.2269,43574400
2004-06-24,4.3875,4.4225,4.1250,4.1900,4.1187,8887200
2004-06-25,4.1275,4.1875,3.9475,3.9500,3.8828,6710000
2004-06-28,4.0000,4.0525,3.8600,4.0000,3.9320,2270800
2004-06-29,4.0000,4.1750,3.9575,4.1000,4.0303,2112000
2004-06-30,4.1000,4.2350,4.0075,4.0175,3.9492,2087600
2004-07-01,4.0200,4.0500,3.9750,4.0075,3.9393,1754800
2004-07-02,4.0250,4.2450,4.0125,4.2450,4.1728,993200
2004-07-06,4.2325,4.2500,4.1200,4.2500,4.1777,1216800
2004-07-07,4.2250,4.2250,4.0125,4.0775,4.0082,1787600
2004-07-08,4.0775,4.0775,3.9150,3.9350,3.8681,2179200
2004-07-09,3.9850,4.1425,3.9750,4.1000,4.0303,596800
2004-07-12,4.1500,4.2075,4.0375,4.1875,4.1163,780800
2004-07-13,4.1850,4.1850,4.0200,4.0200,3.9516,1674000
2004-07-14,4.0125,4.0125,3.8950,3.9125,3.8460,2366000
2004-07-15,3.9375,3.9500,3.7350,3.8350,3.7698,1806000
2004-07-16,3.8500,4.1000,3.7400,4.0000,3.9320,3278800
2004-07-19,4.0125,4.0425,3.9575,4.0025,3.9344,954800
2004-07-20,4.0025,4.0450,3.8825,4.0150,3.9467,2245200
2004-07-21,4.0250,4.0250,2.7625,2.9250,2.8753,25415200
2004-07-22,2.8875,3.2950,2.8250,3.2450,3.1898,9824800
2004-07-23,3.2375,3.3750,3.1875,3.2600,3.2046,1674400
2004-07-26,3.3875,3.3875,3.2200,3.3200,3.2635,1286000
2004-07-27,3.3450,3.3575,3.2750,3.2850,3.2291,751200
2004-07-28,3.2625,3.3050,3.1500,3.2475,3.1923,1534800
2004-07-29,3.2500,3.3375,3.2375,3.2400,3.1849,908000
2004-07-30,3.2400,3.3000,3.1375,3.2525,3.1972,815200
2004-08-02,3.2450,3.2700,3.1425,3.2025,3.1480,1297600
2004-08-03,3.2000,3.2725,2.9975,3.0325,2.9809,2944400
2004-08-04,3.0325,3.0375,2.9875,2.9950,2.9441,2746800
2004-08-05,2.9975,2.9975,2.6700,2.7250,2.6787,3030400
2004-08-06,2.7250,2.7500,2.6775,2.6925,2.6467,1797200
2004-08-09,2.7375,2.7625,2.7150,2.7475,2.7008,1121600
2004-08-10,2.7500,2.7600,2.7200,2.7500,2.7032,733200
2004-08-11,2.7375,2.7375,2.6475,2.6550,2.6098,628400
