date,open,high,low,close,adj_close,volume
2000-01-03,68.6250,69.1875,63.8125,65.1875,37.1129,12030800
2000-01-04,64.0000,64.3125,61.2500,61.7500,35.1558,8774500
2000-01-05,61.7500,63.0000,61.0000,63.0000,35.8675,6931400
2000-01-06,61.6250,62.0000,60.0000,60.0000,34.1595,6603400
2000-01-07,61.7500,63.5000,60.7500,63.5000,36.1521,6201600
2000-01-10,62.0000,63.5625,62.0000,63.1875,35.9743,5453000
2000-01-11,63.4375,63.6250,61.2500,61.5625,35.0491,4371500
2000-01-12,61.5625,62.0625,60.6875,61.0625,34.7644,4599400
2000-01-13,62.1250,62.5000,61.5000,62.1250,35.3693,4538900
2000-01-14,62.3750,62.4375,61.1875,61.9375,35.2626,4578000
2000-01-18,61.2500,61.2500,60.1250,60.5000,34.4442,5322000
2000-01-19,60.1250,62.4375,60.1250,61.8750,35.2270,5176400
2000-01-20,61.5625,61.7500,59.8750,60.8125,34.6221,7213400
2000-01-21,61.5000,61.5000,59.4375,60.0000,34.1595,6682900
2000-01-24,60.9375,60.9375,56.6875,58.0000,33.0209,7339600
2000-01-25,57.0000,57.1250,54.8750,56.1250,31.9534,10252400
2000-01-26,55.9375,57.6875,55.0625,57.3750,32.6650,8468400
2000-01-27,57.8750,59.5000,56.1875,58.2500,33.1632,6915900
2000-01-28,57.0000,57.4375,55.5000,55.6250,31.6687,7425100
2000-01-31,56.5000,56.8125,55.0625,56.6250,32.2380,5958600
2000-02-01,56.9375,62.0000,56.8125,62.0000,35.2982,10950500
2000-02-02,61.0000,61.5000,59.6250,60.7500,34.5865,5862100
2000-02-03,60.5000,60.6250,59.0000,60.5000,34.4442,4008800
2000-02-04,61.0000,61.5000,60.3125,61.1250,34.8000,4063900
2000-02-07,61.0000,61.0000,59.0000,59.0000,33.5902,3796600
2000-02-08,59.7500,61.4375,59.5625,61.0000,34.7289,4501700
2000-02-09,61.3125,61.3125,58.7500,58.7500,33.4479,5289700
2000-02-10,59.0000,59.9375,58.3750,59.5625,33.9104,3644900
2000-02-11,59.5000,60.5000,59.1875,60.0625,34.1951,4647100
2000-02-14,59.5000,60.5000,59.4375,60.3125,34.3374,3173900
2000-02-15,60.0625,60.1875,59.0625,59.7500,34.0172,3531100
2000-02-16,58.7500,59.3750,55.7500,57.2500,32.5939,6829800
2000-02-17,57.2500,57.4375,53.5625,54.5000,31.0282,10785700
2000-02-18,54.5625,55.8125,52.8125,53.7500,30.6012,10402700
2000-02-22,54.1250,55.5625,53.1250,53.6250,30.5301,8019200
2000-02-23,54.1875,55.0000,52.8750,54.8125,31.2061,6533700
2000-02-24,54.9375,55.1875,52.6250,53.0625,30.2098,7763600
2000-02-25,53.5000,54.2500,52.7500,53.0000,30.1742,6155600
2000-02-28,53.7500,56.8750,52.9375,56.8125,32.3448,8120100
2000-02-29,57.4375,58.4375,56.8125,57.5000,32.7362,7119900
2000-03-01,57.8125,58.3125,54.3125,55.6250,31.6687,6504000
2000-03-02,55.5625,56.2500,54.1875,55.1250,31.3841,5352000
2000-03-03,55.5000,55.8125,54.3750,54.5000,31.0282,5832800
2000-03-06,54.3750,54.6875,53.1250,53.8750,30.6724,4821800
2000-03-07,55.0000,55.0000,51.0000,52.3750,29.8406,8491900
2000-03-08,52.3125,53.7500,51.6875,52.5000,29.9118,6631400
2000-03-09,53.3125,55.5000,51.7500,55.3125,31.5142,5736400
2000-03-10,55.6250,55.8125,53.3750,53.5000,30.4815,4456000
2000-03-13,52.6250,53.1875,51.8125,53.0000,30.1967,4412500
2000-03-14,52.7500,53.3125,51.8750,52.3125,29.8049,5094600
2000-03-15,52.6250,57.2500,51.8750,57.0000,32.4757,8097100
2000-03-16,59.0000,61.8750,58.6250,61.5000,35.0395,12165000
2000-03-17,61.5000,64.5625,61.5000,63.1875,36.0010,13587500
2000-03-20,63.4375,64.1250,61.9375,63.6250,36.2502,5350300
2000-03-21,63.6250,64.6875,61.8125,63.5000,36.1790,5552300
2000-03-22,62.3750,63.9375,61.1250,63.0625,35.9298,4746500
2000-03-23,63.0625,64.3125,62.1875,64.1250,36.5351,5540300
2000-03-24,64.0000,65.3125,63.5000,64.3750,36.6775,5903600
2000-03-27,64.3750,64.6250,63.0000,64.3750,36.6775,3828000
2000-03-28,63.0625,65.7500,63.0000,64.0000,36.4639,4848400
2000-03-29,64.8750,68.5625,64.8750,68.5000,39.0277,6944300
2000-03-30,68.0000,69.5625,65.9375,67.0000,38.1731,7934300
2000-03-31,67.0000,67.3125,64.2500,64.5000,36.7487,5169700
2000-04-03,65.5000,68.0625,65.4375,68.0000,38.7429,5898500
2000-04-04,67.7500,68.6250,63.4375,64.6250,36.8200,8188500
2000-04-05,63.5000,64.6250,63.0000,64.0000,36.4639,5348300
2000-04-06,63.9375,67.0000,63.2500,65.9375,37.5678,4234800
2000-04-07,66.1250,67.3125,64.1250,64.1250,36.5351,3425100
2000-04-10,65.1250,67.2500,64.2500,66.6875,37.9951,3992300
2000-04-11,65.6875,67.3750,65.6250,67.3750,38.3868,3714600
2000-04-12,68.1875,70.0000,66.0000,66.0000,37.6034,7081600
2000-04-13,66.3125,66.3125,60.0000,62.5000,35.6092,7953100
2000-04-14,60.0000,60.2500,56.9375,60.2500,34.3273,7695600
2000-04-17,56.3750,58.1875,55.3125,57.2500,32.6181,8667000
2000-04-18,57.0000,59.3125,56.0625,58.7500,33.4727,7233700
2000-04-19,58.6875,60.0000,57.6250,58.7500,33.4727,5078400
2000-04-20,58.1250,59.1250,57.2500,58.6250,33.4015,4111100
2000-04-24,58.0000,61.7500,57.8750,59.5625,33.9356,4850200
2000-04-25,60.2500,60.3125,58.6875,59.0000,33.6152,5227700
2000-04-26,59.5000,60.8750,59.4375,60.5000,34.4698,4469400
2000-04-27,60.0000,60.0000,58.2500,58.8125,33.5083,4940000
2000-04-28,58.2500,58.8750,55.5000,56.5000,32.1908,6475300
2000-05-01,56.5000,57.8750,56.1250,56.1250,31.9771,4360000
2000-05-02,57.2500,57.9375,56.0625,56.8125,32.3688,3961700
2000-05-03,55.5000,55.5625,52.5625,54.0000,30.7664,6666000
2000-05-04,53.7500,53.8125,51.8125,52.5000,29.9118,6863800
2000-05-05,51.8125,53.5000,51.1875,53.3125,30.3747,6345700
2000-05-08,53.1250,54.1250,52.0000,53.5625,30.5171,5133800
2000-05-09,53.5625,54.6250,51.7500,52.5000,29.9118,4821700
2000-05-10,52.5000,54.2500,51.6875,54.0000,30.7664,6547300
2000-05-11,54.5000,55.2500,53.0625,53.8750,30.6952,4413300
