date,open,high,low,close,adj_close,volume
2000-01-03,46.5625,46.8750,45.7812,46.0938,23.0355,4642400
2000-01-04,45.5625,45.7812,44.3750,44.4062,22.1921,7822200
2000-01-05,44.4062,45.4062,44.2188,44.8750,22.4264,8229600
2000-01-06,45.1562,46.9688,45.0625,46.2812,23.1292,5356400
2000-01-07,47.0625,48.4688,46.8125,48.2500,24.1131,9863800
2000-01-10,48.3438,48.4688,47.0312,47.0312,23.5040,4928600
2000-01-11,46.5000,47.4688,46.4688,47.1875,23.5821,6153000
2000-01-12,46.9375,47.5312,46.5938,46.7500,23.3634,5163200
2000-01-13,46.9688,48.0000,46.5312,46.6875,23.3322,4659200
2000-01-14,46.9688,47.1875,46.4062,46.8438,23.4103,5404800
2000-01-18,46.0000,46.5312,45.5312,45.6562,22.8168,4870000
2000-01-19,45.5000,46.0312,45.3125,45.8125,22.8949,5507400
2000-01-20,46.1250,46.1562,45.0312,45.9688,22.9730,4823400
2000-01-21,45.8750,45.8750,44.8125,44.9375,22.4576,8538000
2000-01-24,45.0625,45.0938,41.7812,41.8438,20.9115,11304200
2000-01-25,41.9375,43.4688,41.7812,42.6250,21.3020,12956800
2000-01-26,43.1250,43.4375,41.5312,41.7500,20.8647,9491400
2000-01-27,41.8750,41.9688,40.2500,40.2500,20.1150,12406600
2000-01-28,40.4375,42.5938,40.4375,42.2500,21.1145,12340000
2000-01-31,42.5938,43.3750,41.4062,43.0312,21.5050,9055200
2000-02-01,42.7188,42.7500,42.1875,42.4062,21.1926,6079200
2000-02-02,42.7500,43.1562,42.4688,42.6875,21.3332,5791600
2000-02-03,42.5000,42.5000,40.9375,41.6562,20.8178,10237200
2000-02-04,41.5625,41.8125,40.9062,41.0625,20.5211,6906000
2000-02-07,40.7812,41.0000,40.5000,40.7188,20.3493,5822000
2000-02-08,41.2188,41.5000,40.6250,41.0312,20.5055,6125400
2000-02-09,41.0312,41.0625,39.8438,40.0000,19.9901,12422600
2000-02-10,39.9062,40.1875,38.7500,39.0000,19.4904,11344800
2000-02-11,38.8750,39.2188,37.9688,38.7188,19.4195,10233200
2000-02-14,38.4688,39.1250,38.3438,38.8125,19.4665,7373000
2000-02-15,38.8438,40.1250,38.7500,39.8438,19.9838,9863400
2000-02-16,40.1250,40.3125,39.4688,39.9062,20.0151,9247200
2000-02-17,40.4688,40.5625,39.3750,39.5938,19.8584,5774400
2000-02-18,39.2500,39.4688,38.4375,38.7188,19.4195,8246200
2000-02-22,39.0000,39.5312,38.3750,39.3125,19.7173,7307400
2000-02-23,39.0625,39.1562,38.0625,38.0625,19.0904,8293200
2000-02-24,37.5000,37.6250,36.0000,36.8750,18.4948,18512800
