date,open,high,low,close,adj_close,volume
2006-05-25,4.0300,4.6050,4.0200,4.6000,4.1598,395343000
2006-05-26,4.6300,4.6740,4.4110,4.4930,4.0630,103044000
2006-05-30,4.4970,4.4980,4.2850,4.4000,3.9789,49898000
2006-05-31,4.4350,4.5360,4.4350,4.4940,4.0639,30002000
2006-06-01,4.4930,4.8100,4.4900,4.7510,4.2963,62344000
2006-06-02,4.8500,4.8700,4.6790,4.6990,4.2493,37253000
2006-06-05,4.7050,4.9250,4.7000,4.9150,4.4446,37188000
2006-06-06,4.9980,5.0630,4.7800,4.8300,4.3677,49045000
2006-06-07,4.8330,4.8400,4.6750,4.7600,4.3044,25013000
2006-06-08,4.7600,4.7720,4.5500,4.7720,4.3153,34439000
2006-06-09,4.8800,4.8800,4.7680,4.7780,4.3207,13372000
2006-06-12,4.8000,4.8250,4.6300,4.6950,4.2457,14546000
2006-06-13,4.6200,4.7350,4.5300,4.5500,4.1145,16716000
2006-06-14,4.4900,4.5450,4.4440,4.5120,4.0802,15971000
2006-06-15,4.5400,4.6120,4.5130,4.5950,4.1552,16500000
2006-06-16,4.5500,4.6000,4.5000,4.5020,4.0711,12280000
2006-06-19,4.5450,4.5450,4.4100,4.4340,4.0096,11509000
2006-06-20,4.4740,4.5000,4.3470,4.4020,3.9807,23792000
2006-06-21,4.4020,4.5880,4.4000,4.5300,4.0965,18063000
2006-06-22,4.6400,4.6950,4.5880,4.6600,4.2140,13038000
2006-06-23,4.6990,4.7930,4.6870,4.6950,4.2457,11612000
2006-06-26,4.6950,4.7500,4.6430,4.7500,4.2954,8565000
2006-06-27,4.7500,4.8030,4.7250,4.7310,4.2782,9826000
2006-06-28,4.6850,4.7400,4.6500,4.6960,4.2466,8756000
2006-06-29,4.6950,4.8090,4.6950,4.8000,4.3406,14470000
2006-06-30,4.7650,4.8000,4.6600,4.8000,4.3406,25964000
2006-07-03,4.7900,4.8000,4.6810,4.7300,4.2773,7029000
2006-07-05,4.7400,4.7840,4.6710,4.7600,4.3044,13266000
2006-07-06,4.7250,4.7350,4.6790,4.6800,4.2321,8097000
2006-07-07,4.6750,4.6850,4.5750,4.6120,4.1706,8380000
2006-07-10,4.6200,4.6570,4.6120,4.6490,4.2041,4978000
2006-07-11,4.6490,4.6490,4.5300,4.6350,4.1914,8079000
2006-07-12,4.6400,4.6400,4.5540,4.5550,4.1191,7672000
2006-07-13,4.5180,4.5180,4.4300,4.4720,4.0440,16625000
2006-07-14,4.4620,4.4680,4.3900,4.3950,3.9744,9663000
2006-07-17,4.3910,4.4170,4.3750,4.3990,3.9780,6458000
2006-07-18,4.3990,4.4100,4.3670,4.3900,3.9698,12483000
2006-07-19,4.3910,4.5450,4.3800,4.5280,4.0946,15840000
2006-07-20,4.5400,4.5780,4.5100,4.5550,4.1191,8829000
2006-07-21,4.5550,4.5550,4.4770,4.5280,4.0946,8510000
2006-07-24,4.5450,4.5530,4.4990,4.5000,4.0693,5017000
2006-07-25,4.5200,4.6400,4.5160,4.6080,4.1670,6900000
2006-07-26,4.6140,4.7850,4.5800,4.6680,4.2212,10338000
2006-07-27,4.6900,4.7170,4.6520,4.6520,4.2068,6009000
2006-07-28,4.6510,4.6800,4.6260,4.6300,4.1869,4339000
2006-07-31,4.6300,4.6410,4.5860,4.5870,4.1480,4616000
2006-08-01,4.5920,4.5920,4.4700,4.5000,4.0693,7390000
2006-08-02,4.7990,5.0050,4.7310,5.0020,4.5233,53372000
2006-08-03,4.9130,5.0240,4.8650,4.9990,4.5206,21689000
2006-08-04,5.0300,5.1500,4.9990,5.0050,4.5260,14216000
2006-08-07,5.0500,5.1300,5.0250,5.1100,4.6209,6918000
2006-08-08,5.1100,5.2670,5.1050,5.2570,4.7539,14073000
2006-08-09,5.3000,5.4500,5.2000,5.2850,4.7792,15043000
2006-08-10,5.2200,5.3910,5.2100,5.3560,4.8434,8725000
2006-08-11,5.3500,5.4450,5.3250,5.3680,4.8542,9078000
2006-08-14,5.3750,5.4540,5.3520,5.4230,4.9040,6314000
2006-08-15,5.4700,5.4930,5.4260,5.4490,4.9275,8553000
2006-08-16,5.4650,5.5430,5.4160,5.4270,4.9076,15344000
2006-08-17,5.4200,5.4240,5.3190,5.3460,4.8344,10216000
2006-08-18,5.3100,5.3650,5.2460,5.3450,4.8335,9343000
2006-08-21,5.3300,5.5550,5.2800,5.4260,4.9067,12487000
2006-08-22,5.4200,5.5500,5.4200,5.5230,4.9944,9761000
2006-08-23,5.5480,5.5750,5.4540,5.4600,4.9374,10439000
2006-08-24,5.4900,5.5850,5.4820,5.5650,5.0324,5420000
2006-08-25,5.5750,5.5850,5.4930,5.5000,4.9736,8016000
2006-08-28,5.4850,5.5450,5.4770,5.5020,4.9754,3748000
