date,open,high,low,close,adj_close,volume
2000-01-03,53.9062,53.9688,52.8438,53.5938,26.4358,4275000
2000-01-04,53.1875,54.1875,51.8750,52.5625,25.9271,4270800
2000-01-05,52.4375,52.6875,51.2500,51.5625,25.4339,5098400
2000-01-06,52.5625,54.7188,52.5312,53.9375,26.6054,6524200
2000-01-07,54.7812,58.5000,54.5938,58.2500,28.7326,9832000
2000-01-10,57.9062,58.6562,57.1875,57.9688,28.5938,6862000
2000-01-11,57.6875,58.8750,57.2188,58.8750,29.0408,4421800
2000-01-12,58.3125,59.1875,58.0625,58.5000,28.8559,6231600
2000-01-13,58.4375,58.5000,57.2812,57.5000,28.3626,5285200
2000-01-14,57.7500,58.5000,57.6875,58.5000,28.8559,4904400
2000-01-18,58.4688,59.0000,58.0312,58.4688,28.8405,4456800
2000-01-19,57.0000,58.0000,56.7812,57.6875,28.5332,5553400
2000-01-20,57.0000,57.1250,53.8125,56.2812,27.8376,10231800
2000-01-21,56.3125,56.3125,49.7500,51.3438,25.3955,24378800
2000-01-24,48.0000,54.4375,47.4062,51.5625,25.5037,28554600
2000-01-25,51.8125,51.8438,48.5000,48.7500,24.1126,17097800
2000-01-26,49.5000,50.4062,49.4062,50.3125,24.8854,10243200
2000-01-27,51.0000,52.2188,50.5938,52.0312,25.7355,8989000
2000-01-28,51.8438,51.8438,49.6875,50.1562,24.8081,9583400
2000-01-31,50.1250,50.5625,49.1875,50.5312,24.9936,4518200
2000-02-01,50.3438,50.4375,49.3750,49.7500,24.6072,4044200
2000-02-02,49.8750,50.0000,49.1562,49.3125,24.3908,3920800
2000-02-03,49.9062,49.9062,48.3438,48.9062,24.1898,6259600
2000-02-04,48.8125,48.8438,47.0000,47.3750,23.4324,7647800
2000-02-07,47.0000,47.4062,46.2812,46.6250,23.0615,6464400
2000-02-08,47.0000,47.9375,46.4062,47.8750,23.6798,6787800
2000-02-09,47.6250,47.9375,46.8750,47.0000,23.2470,6255800
2000-02-10,46.8750,47.3438,45.0312,45.7188,22.6132,5267800
2000-02-11,45.6562,46.9688,45.6562,46.8750,23.1851,5335000
2000-02-14,46.8438,46.9062,45.5000,45.9375,22.7214,5252200
2000-02-15,46.2500,47.9062,46.0625,47.8750,23.6798,6864000
2000-02-16,47.9062,48.1250,46.5000,47.0234,23.2586,5314600
2000-02-17,47.0000,47.5000,46.5000,47.0938,23.2933,4682400
2000-02-18,46.9062,47.2188,46.0000,46.8203,23.1581,4651600
2000-02-22,46.1562,46.7188,45.0312,46.4375,22.9688,5226800
2000-02-23,46.4375,46.4375,45.0625,45.3125,22.4123,5357000
2000-02-24,45.1875,45.4375,43.2812,44.2500,21.8868,7223200
2000-02-25,44.3750,44.5000,42.5625,42.5625,21.0521,7177200
2000-02-28,42.9062,45.0000,42.5000,44.1875,21.8559,7081600
2000-02-29,44.7500,44.9375,43.6250,43.9375,21.7322,6661800
2000-03-01,44.0000,44.3438,43.4375,44.1250,21.8249,4153600
2000-03-02,44.0000,44.2188,43.3438,43.6562,21.5931,3565800
2000-03-03,43.9062,44.9062,43.5000,44.2188,21.8713,4902200
2000-03-06,44.1875,44.2188,43.3125,43.7188,21.6240,3668600
2000-03-07,29.0000,36.1875,28.6250,30.5000,15.0858,137287200
2000-03-08,30.5000,30.8438,28.5625,29.0000,14.3439,74584200
2000-03-09,29.2500,29.7500,28.2500,28.8750,14.2820,34217200
2000-03-10,28.5625,28.8750,26.3750,26.8750,13.2928,48561600
2000-03-13,26.8750,28.6250,26.6250,28.6250,14.1584,35996800
