date,open,high,low,close,adj_close,volume
2000-01-03,6.6406,6.7578,6.6172,6.7188,5.1404,3431200
2000-01-04,6.6719,6.7812,6.6172,6.6328,5.0747,5997600
2000-01-05,6.6406,6.7734,6.5781,6.6172,5.0627,10562400
2000-01-06,6.6250,6.9375,6.6094,6.8594,5.2480,15300000
2000-01-07,7.1875,7.6875,7.1094,7.6641,5.8637,16160800
2000-01-10,7.7266,7.7344,7.4766,7.5312,5.7621,9336000
2000-01-11,7.3750,7.6641,7.3359,7.5469,5.7740,9988000
2000-01-12,7.4844,7.6250,7.4375,7.4766,5.7202,6378400
2000-01-13,7.5156,7.7422,7.4766,7.7109,5.8996,6981600
2000-01-14,7.7500,7.8516,7.6875,7.7031,5.8936,9292800
2000-01-18,7.5312,7.6250,7.2812,7.3750,5.6425,5514400
2000-01-19,7.3125,7.5547,7.3125,7.4375,5.6904,7730400
2000-01-20,7.4375,7.6250,7.3125,7.6250,5.8338,8457600
2000-01-21,7.6250,7.6250,7.2188,7.2969,5.5828,12880800
2000-01-24,7.1719,7.2578,6.8203,6.8984,5.2779,9503200
2000-01-25,6.9375,7.0234,6.8203,6.8984,5.2779,8416000
2000-01-26,6.8125,7.0391,6.8125,6.8828,5.2660,8797600
2000-01-27,6.8828,6.9141,6.7344,6.7734,5.1823,9053600
2000-01-28,6.5312,6.8281,6.5312,6.5781,5.0329,12754400
2000-01-31,6.5781,6.9062,6.5703,6.6250,5.0687,4790400
2000-02-01,6.6875,6.9297,6.6406,6.8047,5.2062,3984000
2000-02-02,6.8594,7.0625,6.8594,6.9844,5.3437,6660000
2000-02-03,6.9219,7.0000,6.8828,6.9219,5.2959,13720800
2000-02-04,6.9531,7.1016,6.9531,7.0938,5.4274,7199200
2000-02-07,7.0000,7.3125,6.9766,7.2734,5.5648,11616800
2000-02-08,7.0000,7.1406,6.9688,7.0000,5.3556,8325600
2000-02-09,7.0625,7.0859,6.7188,6.7422,5.1584,7526400
2000-02-10,7.2344,7.5547,7.1328,7.2344,5.5349,20888000
2000-02-11,7.1406,7.3906,6.9844,7.0000,5.3556,18896000
2000-02-14,7.0781,7.1875,7.0469,7.1094,5.4393,7276000
2000-02-15,7.2969,7.6797,7.2812,7.4219,5.6784,16885600
2000-02-16,7.4609,7.8125,7.4141,7.6641,5.8637,16412800
2000-02-17,7.7500,8.0859,7.7344,7.8594,6.0131,12419200
2000-02-18,7.7656,7.8125,7.1562,7.2344,5.5349,15170400
2000-02-22,7.2500,7.4531,7.2109,7.3516,5.6246,5828800
2000-02-23,7.2812,7.3125,7.1094,7.1562,5.4752,9806400
2000-02-24,7.0781,7.0938,6.4922,6.5781,5.0329,13012000
2000-02-25,6.5781,6.6094,6.3203,6.4062,4.9014,9658400
2000-02-28,6.3750,6.5547,6.3125,6.4297,4.9193,8533600
2000-02-29,6.3984,6.4922,6.3750,6.3906,4.8894,7711200
2000-03-01,6.3906,6.9219,6.2266,6.8281,5.2241,12564800
2000-03-02,6.8438,6.8750,6.5000,6.5625,5.0209,7538400
