date,open,high,low,close,adj_close,volume
2008-03-19,14.8750,17.2500,13.7500,14.1250,12.3931,708486000
2008-03-20,14.6000,16.2500,14.3750,16.0875,14.1150,198985200
2008-03-24,16.8100,16.9250,14.7500,14.9325,13.1016,149566400
2008-03-25,15.1450,16.0625,14.9550,15.8125,13.8737,87092000
2008-03-26,15.6825,16.1200,15.3925,15.9900,14.0295,43111600
2008-03-27,16.0125,16.1850,15.6625,15.7275,13.7992,39829600
2008-03-28,15.8425,15.8600,15.5400,15.6900,13.7663,24675200
2008-03-31,15.6500,15.8700,15.5125,15.5900,13.6785,22157200
2008-04-01,15.7650,15.9200,15.0775,15.4025,13.5140,60410800
2008-04-02,15.4300,15.5800,15.1250,15.5800,13.6698,43836400
2008-04-03,15.4875,16.5725,15.4550,16.3750,14.3673,100868000
2008-04-04,16.2250,16.3300,15.9375,16.1200,14.1435,36394400
2008-04-07,16.2750,16.4500,16.0050,16.2600,14.2664,28301600
2008-04-08,16.2250,17.0600,16.2025,17.0225,14.9354,53925600
2008-04-09,17.1100,17.1800,16.4025,16.4475,14.4309,48324400
2008-04-10,16.5400,16.6825,16.2775,16.5275,14.5011,22372000
2008-04-11,16.3125,16.6925,16.3125,16.5275,14.5011,26421600
2008-04-14,16.6750,16.8100,16.3825,16.4200,14.4068,28443600
2008-04-15,16.5725,16.6375,16.0000,16.0875,14.1150,23888000
2008-04-16,16.1400,16.7375,16.1400,16.5350,14.5077,25136800
2008-04-17,16.5650,16.9375,16.5025,16.7600,14.7051,22459600
2008-04-18,17.0025,17.6125,16.8000,17.2500,15.1350,104099600
2008-04-21,17.3700,18.1250,17.2125,17.7425,15.5671,58848000
2008-04-22,17.9800,18.1000,17.5000,17.5700,15.4158,47357600
2008-04-23,17.7375,17.9250,17.4225,17.5200,15.3719,37319600
2008-04-24,17.8000,18.2475,17.5100,18.0750,15.8588,38086800
2008-04-25,19.0000,19.0200,18.4775,18.7750,16.4730,101460000
2008-04-28,19.1250,19.3225,18.7250,18.9075,16.5893,132517200
2008-04-29,18.5375,20.2200,17.7500,20.2200,17.7408,197308400
2008-04-30,20.3500,21.2025,20.2675,20.8625,18.3046,147543600
2008-05-01,21.0975,21.9100,20.9750,21.3500,18.7323,116395600
2008-05-02,21.8225,21.8750,20.2500,20.6875,18.1510,136648800
2008-05-05,20.7125,21.3750,20.2050,21.2650,18.6577,70377200
2008-05-06,21.3675,22.0375,21.1875,21.8825,19.1995,75913200
2008-05-07,22.2075,22.4600,21.9150,22.1250,19.4123,100464800
2008-05-08,22.3750,22.4375,21.4850,21.8250,19.1491,92836400
2008-05-09,21.4525,21.6675,20.6300,20.7150,18.1752,94312000
2008-05-12,20.9125,21.1200,19.5250,20.4750,17.9646,147471600
2008-05-13,20.4575,20.8750,20.1975,20.5950,18.0699,53249600
2008-05-14,20.8250,21.0875,20.3625,20.5575,18.0370,51400400
2008-05-15,20.6325,20.7325,20.2775,20.5625,18.0414,36688800
2008-05-16,20.6775,20.7125,20.3150,20.5925,18.0677,34066800
2008-05-19,20.5675,21.1850,20.5375,20.8300,18.2761,45473200
2008-05-20,20.7200,20.9600,20.4775,20.6850,18.1488,40702000
2008-05-21,20.6700,20.8575,20.1300,20.2125,17.7343,41831600
2008-05-22,20.1425,20.1500,19.0400,19.3275,16.9578,85283600
2008-05-23,18.9600,19.3275,18.7800,19.0875,16.7472,42196400
2008-05-27,19.2300,19.7350,18.5900,19.6850,17.2714,62776400
2008-05-28,20.0725,20.4875,19.8875,20.4800,17.9690,52996000
2008-05-29,20.8575,21.7375,20.7525,21.3125,18.6994,100613200
2008-05-30,21.5050,21.8900,21.4525,21.5900,18.9429,72016000
2008-06-02,21.5525,21.7375,21.1500,21.5175,18.8793,36856000
2008-06-03,21.7525,21.9875,21.5075,21.8900,19.2061,48411600
2008-06-04,21.7700,22.0250,21.3200,21.3700,18.7498,40684400
2008-06-05,21.6150,21.8100,21.3975,21.8100,19.1359,27059600
2008-06-06,21.4750,21.4975,20.8875,20.9125,18.3484,41748000
2008-06-09,21.0000,21.2375,20.1400,20.5350,18.0172,45240000
2008-06-10,20.0750,20.7175,19.9025,20.0775,17.6158,36048400
2008-06-11,20.2500,20.2500,19.4000,19.4350,17.0521,56996400
2008-06-12,19.7375,20.1925,19.6375,19.8900,17.4513,44605600
2008-06-13,20.0650,20.4525,20.0375,20.3825,17.8834,30689200
2008-06-16,20.3700,20.8750,20.2750,20.8175,18.2651,34384000
2008-06-17,21.0250,21.2450,20.9200,21.1675,18.5722,33277600
2008-06-18,20.9300,21.1750,20.8600,20.9650,18.3945,33724000
2008-06-19,20.8700,21.1000,20.4050,21.0675,18.4844,36925200
